Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD
27-Nov-2020,176.890000,+4.000000,+2.313610%,173.760000,173.450000,179.625000,"8,470,660","1,490,867,706.013900"
20-Nov-2020,172.890000,+3.100000,+1.825785%,172.620000,169.300000,174.700000,"13,283,128","2,289,278,142.793600"
13-Nov-2020,169.790000,+6.770000,+4.152865%,174.130000,163.150000,175.430000,"14,834,552","2,490,169,217.977500"
06-Nov-2020,163.020000,+3.060000,+1.912978%,162.190000,159.900000,166.830000,"11,018,233","1,797,001,171.856400"
30-Oct-2020,159.960000,-9.840000,-5.795053%,167.680000,156.130000,168.090000,"15,213,757","2,455,701,516.752200"
23-Oct-2020,169.800000,-1.170000,-0.684331%,171.020000,168.390100,173.190000,"9,035,198","1,540,009,407.897400"
16-Oct-2020,170.970000,+1.670000,+0.986415%,169.470000,165.800000,172.070000,"8,661,726","1,464,659,587.457900"
09-Oct-2020,169.300000,+8.940000,+5.574956%,162.250000,161.760000,170.480000,"9,553,299","1,586,120,842.898900"
02-Oct-2020,160.360000,+0.090000,+0.056155%,162.000000,156.250000,164.140000,"10,939,822","1,756,458,853.450800"
25-Sep-2020,160.270000,-9.280000,-5.473312%,165.980000,158.070000,166.669900,"11,782,378","1,897,779,634.720800"
18-Sep-2020,169.550000,+3.380000,+2.034062%,167.660000,166.170100,173.200000,"14,094,456","2,392,824,010.143900"
11-Sep-2020,166.170000,+0.400000,+0.241298%,165.580000,161.880100,167.340000,"9,338,635","1,539,418,903.354200"
04-Sep-2020,165.770000,+0.110000,+0.066401%,165.160000,161.640000,170.420000,"16,474,917","2,736,836,095.502700"
28-Aug-2020,165.660000,+3.950000,+2.442644%,161.550000,161.150000,166.170000,"12,419,122","2,035,909,709.024000"
21-Aug-2020,161.710000,-4.390000,-2.642986%,165.170000,160.740000,166.370000,"9,596,533","1,570,812,800.728500"
14-Aug-2020,166.100000,+7.770000,+4.907472%,158.550000,158.550000,167.490000,"12,608,763","2,073,445,442.565300"
07-Aug-2020,158.330000,+7.860000,+5.223633%,151.090000,149.310000,158.420000,"11,907,355","1,832,959,521.243100"
31-Jul-2020,150.470000,-9.370000,-5.862112%,159.530000,148.800000,163.380000,"20,639,777","3,206,026,821.521500"
24-Jul-2020,159.840000,+0.010000,+0.006257%,158.850000,156.370000,161.600000,"11,666,904","1,852,172,025.045800"
17-Jul-2020,159.830000,+6.980000,+4.566569%,154.350000,153.920500,161.560000,"13,242,224","2,099,879,395.850000"
10-Jul-2020,152.850000,-4.190000,-2.668110%,158.870000,150.990000,159.960000,"9,477,790","1,464,168,258.448800"
03-Jul-2020,157.040000,+4.520000,+2.963546%,153.900000,153.480000,158.880000,"8,695,582","1,356,988,502.620300"
26-Jun-2020,152.520000,-5.630000,-3.559911%,157.000000,150.100000,158.670000,"12,253,099","1,893,147,801.224600"
19-Jun-2020,158.150000,+3.280000,+2.117905%,150.880000,150.490000,163.380000,"17,405,976","2,759,358,859.441900"
12-Jun-2020,154.870000,-12.540000,-7.490592%,167.100000,151.730000,169.540000,"16,716,267","2,688,639,929.771300"
05-Jun-2020,167.410000,+10.970000,+7.012273%,155.950000,154.890000,168.350000,"15,500,990","2,505,605,774.018700"
29-May-2020,156.440000,+10.000000,+6.828735%,150.430000,149.200000,159.870000,"26,036,570","4,054,913,285.788600"
22-May-2020,146.440000,+7.750000,+5.588002%,143.160000,142.515000,151.650000,"18,957,939","2,803,587,003.770400"
15-May-2020,138.690000,-9.820000,-6.612349%,147.820000,131.120000,147.960000,"26,881,947","3,718,824,498.499300"
08-May-2020,148.510000,-0.090000,-0.060565%,148.540000,144.900000,150.000000,"11,638,764","1,714,582,259.810100"
01-May-2020,148.600000,+1.600000,+1.088435%,148.000000,147.730000,163.080000,"23,520,734","3,643,197,102.728700"
24-Apr-2020,147.000000,+0.540000,+0.368701%,144.750000,140.503800,147.580000,"12,807,820","1,847,108,219.226300"
17-Apr-2020,146.460000,-1.320000,-0.893220%,147.500000,143.230000,150.980000,"18,568,031","2,720,049,457.901600"
10-Apr-2020,147.780000,+13.990000,+10.456686%,137.860000,136.900000,150.639900,"18,991,704","2,753,965,012.405600"
03-Apr-2020,133.790000,+0.550000,+0.412789%,132.250000,131.010000,139.440000,"18,841,013","2,550,231,880.146700"
27-Mar-2020,133.240000,+8.350000,+6.685884%,128.160000,114.040000,137.070000,"35,969,152","4,621,932,820.100300"
20-Mar-2020,124.890000,-16.790000,-11.850649%,129.860000,122.710000,140.180000,"36,791,839","4,875,675,927.511600"
13-Mar-2020,141.680000,-11.970000,-7.790433%,146.590000,130.340000,153.380000,"33,396,011","4,745,228,014.070100"
06-Mar-2020,153.650000,+4.410000,+2.954972%,151.340000,144.440000,154.740000,"35,138,750","5,298,887,490.138900"
28-Feb-2020,149.240000,-7.690000,-4.900274%,154.450000,145.970000,156.720000,"33,804,731","5,088,986,575.048700"
21-Feb-2020,156.930000,-4.080000,-2.534004%,160.360000,156.120000,161.390000,"11,589,242","1,838,782,152.370300"
14-Feb-2020,161.010000,+0.930000,+0.580960%,160.210000,158.820000,165.040000,"13,414,426","2,162,245,716.533500"
07-Feb-2020,160.080000,+1.420000,+0.894996%,160.030000,156.380000,165.000000,"17,559,244","2,806,753,705.834200"
31-Jan-2020,158.660000,-19.490000,-10.940219%,179.860000,158.225000,180.590000,"28,724,323","4,751,286,445.836200"
24-Jan-2020,178.150000,-3.200000,-1.764544%,181.850000,176.390000,181.910000,"10,789,779","1,929,024,672.918200"
17-Jan-2020,181.350000,+0.880000,+0.487616%,180.940000,179.180000,182.545000,"13,324,788","2,412,166,526.353300"
10-Jan-2020,180.470000,+2.020000,+1.131970%,177.150000,176.350000,182.180000,"11,783,099","2,117,342,981.841100"
03-Jan-2020,178.450000,+1.190000,+0.671330%,177.260000,175.070000,180.010000,"9,204,775","1,635,512,003.638100"
27-Dec-2019,177.260000,+1.890000,+1.077721%,176.710000,175.500000,179.180000,"9,044,390","1,605,452,904.345600"
