Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,fiscalDateEnding,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,incomeBeforeTax,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,interestExpense,incomeTaxExpense,totalOtherIncomeExpense,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInCashAndCashEquivalents,totalAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,commonStockTotalEquity,retainedEarningsTotalEquity,otherNonCurrrentAssets,totalNonCurrentAssets,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,commonStockSharesOutstanding
2020-11-27,116.59,-0.75,-0.639168%,117.18,112.59,117.6202,"365,024,101","42,089,826,980.449400",2020-09-30,64698000000,9914000000,40009000000,24689000000,18237000000,12673000000,4978000000,14901000000,4936000000,126000000,14775000000,634000000,2228000000,-8000000,12673000000,12673000000,5531000000,7157000000,-4289000000,3020000000,-703000000,-86820000000,-3760000000,-10435000000,80674000000,-2396000000,2702000000,-3511000000,-71478000000,-137000000,1768000000,1324000000,7309000000,-5364000000,4750000000,323888000000,11264000000,258549000000,65339000000,42684000000,50779000000,14966000000,46108000000,33952000000,20243000000,105392000000,4996000000,-2252000000,45336000000,143713000000,100887000000,65339000000,52927000000,16120000000,98667000000,4061000000,42296000000,50779000000,14966000000,42522000000,180175000000,99304000000,26320000000,153157000000,323888000000,90943000000,16976763000
2020-11-20,117.34,-1.92,-1.609928%,118.92,116.81,120.99,"389,493,361","46,362,765,413.437500",2020-09-30,64698000000,9914000000,40009000000,24689000000,18237000000,12673000000,4978000000,14901000000,4936000000,126000000,14775000000,634000000,2228000000,-8000000,12673000000,12673000000,5531000000,7157000000,-4289000000,3020000000,-703000000,-86820000000,-3760000000,-10435000000,80674000000,-2396000000,2702000000,-3511000000,-71478000000,-137000000,1768000000,1324000000,7309000000,-5364000000,4750000000,323888000000,11264000000,258549000000,65339000000,42684000000,50779000000,14966000000,46108000000,33952000000,20243000000,105392000000,4996000000,-2252000000,45336000000,143713000000,100887000000,65339000000,52927000000,16120000000,98667000000,4061000000,42296000000,50779000000,14966000000,42522000000,180175000000,99304000000,26320000000,153157000000,323888000000,90943000000,16976763000
2020-11-13,119.26,0.57,+0.480243%,120.5,114.13,121.99,"589,872,919","69,888,582,724.498600",2020-09-30,64698000000,9914000000,40009000000,24689000000,18237000000,12673000000,4978000000,14901000000,4936000000,126000000,14775000000,634000000,2228000000,-8000000,12673000000,12673000000,5531000000,7157000000,-4289000000,3020000000,-703000000,-86820000000,-3760000000,-10435000000,80674000000,-2396000000,2702000000,-3511000000,-71478000000,-137000000,1768000000,1324000000,7309000000,-5364000000,4750000000,323888000000,11264000000,258549000000,65339000000,42684000000,50779000000,14966000000,46108000000,33952000000,20243000000,105392000000,4996000000,-2252000000,45336000000,143713000000,100887000000,65339000000,52927000000,16120000000,98667000000,4061000000,42296000000,50779000000,14966000000,42522000000,180175000000,99304000000,26320000000,153157000000,323888000000,90943000000,16976763000
2020-11-06,118.69,9.83,+9.029947%,109.11,107.32,119.62,"609,571,825","69,567,899,087.663800",2020-09-30,64698000000,9914000000,40009000000,24689000000,18237000000,12673000000,4978000000,14901000000,4936000000,126000000,14775000000,634000000,2228000000,-8000000,12673000000,12673000000,5531000000,7157000000,-4289000000,3020000000,-703000000,-86820000000,-3760000000,-10435000000,80674000000,-2396000000,2702000000,-3511000000,-71478000000,-137000000,1768000000,1324000000,7309000000,-5364000000,4750000000,323888000000,11264000000,258549000000,65339000000,42684000000,50779000000,14966000000,46108000000,33952000000,20243000000,105392000000,4996000000,-2252000000,45336000000,143713000000,100887000000,65339000000,52927000000,16120000000,98667000000,4061000000,42296000000,50779000000,14966000000,42522000000,180175000000,99304000000,26320000000,153157000000,323888000000,90943000000,16976763000
2020-10-30,108.86,-6.18,-5.372045%,114.01,107.72,117.28,"684,767,901","77,304,080,934.840700",2020-09-30,64698000000,9914000000,40009000000,24689000000,18237000000,12673000000,4978000000,14901000000,4936000000,126000000,14775000000,634000000,2228000000,-8000000,12673000000,12673000000,5531000000,7157000000,-4289000000,3020000000,-703000000,-86820000000,-3760000000,-10435000000,80674000000,-2396000000,2702000000,-3511000000,-71478000000,-137000000,1768000000,1324000000,7309000000,-5364000000,4750000000,323888000000,11264000000,258549000000,65339000000,42684000000,50779000000,14966000000,46108000000,33952000000,20243000000,105392000000,4996000000,-2252000000,45336000000,143713000000,100887000000,65339000000,52927000000,16120000000,98667000000,4061000000,42296000000,50779000000,14966000000,42522000000,180175000000,99304000000,26320000000,153157000000,323888000000,90943000000,16976763000
2020-10-23,115.04,-3.98,-3.343976%,119.96,114.28,120.419,"519,569,644","60,746,900,242.392800",2020-09-30,64698000000,9914000000,40009000000,24689000000,18237000000,12673000000,4978000000,14901000000,4936000000,126000000,14775000000,634000000,2228000000,-8000000,12673000000,12673000000,5531000000,7157000000,-4289000000,3020000000,-703000000,-86820000000,-3760000000,-10435000000,80674000000,-2396000000,2702000000,-3511000000,-71478000000,-137000000,1768000000,1324000000,7309000000,-5364000000,4750000000,323888000000,11264000000,258549000000,65339000000,42684000000,50779000000,14966000000,46108000000,33952000000,20243000000,105392000000,4996000000,-2252000000,45336000000,143713000000,100887000000,65339000000,52927000000,16120000000,98667000000,4061000000,42296000000,50779000000,14966000000,42522000000,180175000000,99304000000,26320000000,153157000000,323888000000,90943000000,16976763000
2020-10-16,119.02,2.05,+1.752586%,120.06,118.15,125.39,"881,572,555","107,378,226,204.742000",2020-09-30,64698000000,9914000000,40009000000,24689000000,18237000000,12673000000,4978000000,14901000000,4936000000,126000000,14775000000,634000000,2228000000,-8000000,12673000000,12673000000,5531000000,7157000000,-4289000000,3020000000,-703000000,-86820000000,-3760000000,-10435000000,80674000000,-2396000000,2702000000,-3511000000,-71478000000,-137000000,1768000000,1324000000,7309000000,-5364000000,4750000000,323888000000,11264000000,258549000000,65339000000,42684000000,50779000000,14966000000,46108000000,33952000000,20243000000,105392000000,4996000000,-2252000000,45336000000,143713000000,100887000000,65339000000,52927000000,16120000000,98667000000,4061000000,42296000000,50779000000,14966000000,42522000000,180175000000,99304000000,26320000000,153157000000,323888000000,90943000000,16976763000
2020-10-09,116.97,3.95,+3.494957%,113.91,112.25,117.0,"548,575,054","63,183,763,317.890100",2020-09-30,64698000000,9914000000,40009000000,24689000000,18237000000,12673000000,4978000000,14901000000,4936000000,126000000,14775000000,634000000,2228000000,-8000000,12673000000,12673000000,5531000000,7157000000,-4289000000,3020000000,-703000000,-86820000000,-3760000000,-10435000000,80674000000,-2396000000,2702000000,-3511000000,-71478000000,-137000000,1768000000,1324000000,7309000000,-5364000000,4750000000,323888000000,11264000000,258549000000,65339000000,42684000000,50779000000,14966000000,46108000000,33952000000,20243000000,105392000000,4996000000,-2252000000,45336000000,143713000000,100887000000,65339000000,52927000000,16120000000,98667000000,4061000000,42296000000,50779000000,14966000000,42522000000,180175000000,99304000000,26320000000,153157000000,323888000000,90943000000,16976763000
2020-10-02,113.02,0.74,+0.659067%,115.01,112.22,117.72,"641,240,539","73,688,123,646.967400",2020-09-30,64698000000,9914000000,40009000000,24689000000,18237000000,12673000000,4978000000,14901000000,4936000000,126000000,14775000000,634000000,2228000000,-8000000,12673000000,12673000000,5531000000,7157000000,-4289000000,3020000000,-703000000,-86820000000,-3760000000,-10435000000,80674000000,-2396000000,2702000000,-3511000000,-71478000000,-137000000,1768000000,1324000000,7309000000,-5364000000,4750000000,323888000000,11264000000,258549000000,65339000000,42684000000,50779000000,14966000000,46108000000,33952000000,20243000000,105392000000,4996000000,-2252000000,45336000000,143713000000,100887000000,65339000000,52927000000,16120000000,98667000000,4061000000,42296000000,50779000000,14966000000,42522000000,180175000000,99304000000,26320000000,153157000000,323888000000,90943000000,16976763000
2020-09-25,112.28,5.44,+5.091726%,104.54,103.1,112.86,"847,212,649","92,498,503,336.975100",2020-06-30,59685000000,9589000000,37005000000,22680000000,13137000000,11253000000,4758000000,13137000000,4831000000,46000000,13091000000,697000000,1884000000,-158000000,11253000000,11253000000,-2998000000,-900000000,-5165000000,-602000000,2168000000,-19116000000,-1737000000,-8010000000,16271000000,2532000000,2752000000,-3656000000,-15891000000,-689000000,-2135000000,2696000000,1565000000,-1373000000,-8010000000,317344000000,10987000000,245062000000,72282000000,41318000000,48696000000,24136000000,47606000000,32836000000,33383000000,95318000000,18675000000,-550000000,35687000000,140065000000,100592000000,72282000000,59642000000,32075000000,94048000000,3978000000,35325000000,48696000000,24136000000,41000000000,177279000000,94048000000,55696000000,149744000000,317344000000,93025000000,4283939000
