Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,fiscalDateEnding,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,incomeBeforeTax,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,incomeTaxExpense,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInCashAndCashEquivalents,totalAssets,intangibleAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,commonStockTotalEquity,retainedEarningsTotalEquity,otherNonCurrrentAssets,totalNonCurrentAssets,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,commonStockSharesOutstanding
2020-11-27,224.81,1.64,+0.73%,222.06,218.92,226.21,"9,481,171","2,100,004,597.99",2020-09-30,6423000000,3970000000,1561000000,4862000000,3409000000,2021000000,1062000000,2206000000,1346000000,55000000,2453000000,1000000,302000000,185000000,2021000000,2021000000,-1628000000,14000000,-1628000000,14000000,-88000000,-1798000000,-9000000,-58000000,3368000000,-75000000,901000000,-936000000,-765000000,-90000000,1146000000,-53000000,135000000,1146000000,-58000000,64637000000,17254000000,2265000000,53678000000,10959000000,210000000,31713000000,-19851000000,9529000000,14674000000,5232000000,9087000000,9953000000,91000000,-903000000,4816000000,22661000000,-20969000000,3273000000,4094000000,34196000000,3942000000,1161000000,31713000000,-19851000000,5232000000,41976000000,34196000000,1759000000,43725000000,64637000000,12360000000,583500000
2020-11-20,223.17,-14.19,-5.98%,237.42,221.48,239.82,"12,023,364","2,751,164,954.80",2020-09-30,6423000000,3970000000,1561000000,4862000000,3409000000,2021000000,1062000000,2206000000,1346000000,55000000,2453000000,1000000,302000000,185000000,2021000000,2021000000,-1628000000,14000000,-1628000000,14000000,-88000000,-1798000000,-9000000,-58000000,3368000000,-75000000,901000000,-936000000,-765000000,-90000000,1146000000,-53000000,135000000,1146000000,-58000000,64637000000,17254000000,2265000000,53678000000,10959000000,210000000,31713000000,-19851000000,9529000000,14674000000,5232000000,9087000000,9953000000,91000000,-903000000,4816000000,22661000000,-20969000000,3273000000,4094000000,34196000000,3942000000,1161000000,31713000000,-19851000000,5232000000,41976000000,34196000000,1759000000,43725000000,64637000000,12360000000,583500000
2020-11-13,237.36,5.69,+2.46%,242.94,234.0,245.84,"13,190,289","3,156,476,397.56",2020-09-30,6423000000,3970000000,1561000000,4862000000,3409000000,2021000000,1062000000,2206000000,1346000000,55000000,2453000000,1000000,302000000,185000000,2021000000,2021000000,-1628000000,14000000,-1628000000,14000000,-88000000,-1798000000,-9000000,-58000000,3368000000,-75000000,901000000,-936000000,-765000000,-90000000,1146000000,-53000000,135000000,1146000000,-58000000,64637000000,17254000000,2265000000,53678000000,10959000000,210000000,31713000000,-19851000000,9529000000,14674000000,5232000000,9087000000,9953000000,91000000,-903000000,4816000000,22661000000,-20969000000,3273000000,4094000000,34196000000,3942000000,1161000000,31713000000,-19851000000,5232000000,41976000000,34196000000,1759000000,43725000000,64637000000,12360000000,583500000
2020-11-06,231.67,14.73,+6.79%,221.56,217.2,235.98,"12,471,650","2,836,382,470.80",2020-09-30,6423000000,3970000000,1561000000,4862000000,3409000000,2021000000,1062000000,2206000000,1346000000,55000000,2453000000,1000000,302000000,185000000,2021000000,2021000000,-1628000000,14000000,-1628000000,14000000,-88000000,-1798000000,-9000000,-58000000,3368000000,-75000000,901000000,-936000000,-765000000,-90000000,1146000000,-53000000,135000000,1146000000,-58000000,64637000000,17254000000,2265000000,53678000000,10959000000,210000000,31713000000,-19851000000,9529000000,14674000000,5232000000,9087000000,9953000000,91000000,-903000000,4816000000,22661000000,-20969000000,3273000000,4094000000,34196000000,3942000000,1161000000,31713000000,-19851000000,5232000000,41976000000,34196000000,1759000000,43725000000,64637000000,12360000000,583500000
2020-10-30,216.94,-10.22,-4.50%,226.02,210.28,228.23,"14,152,251","3,106,942,971.38",2020-09-30,6423000000,3970000000,1561000000,4862000000,3409000000,2021000000,1062000000,2206000000,1346000000,55000000,2453000000,1000000,302000000,185000000,2021000000,2021000000,-1628000000,14000000,-1628000000,14000000,-88000000,-1798000000,-9000000,-58000000,3368000000,-75000000,901000000,-936000000,-765000000,-90000000,1146000000,-53000000,135000000,1146000000,-58000000,64637000000,17254000000,2265000000,53678000000,10959000000,210000000,31713000000,-19851000000,9529000000,14674000000,5232000000,9087000000,9953000000,91000000,-903000000,4816000000,22661000000,-20969000000,3273000000,4094000000,34196000000,3942000000,1161000000,31713000000,-19851000000,5232000000,41976000000,34196000000,1759000000,43725000000,64637000000,12360000000,583500000
2020-10-23,227.16,-8.56,-3.63%,236.21,226.16,237.44,"10,956,373","2,517,892,933.87",2020-09-30,6423000000,3970000000,1561000000,4862000000,3409000000,2021000000,1062000000,2206000000,1346000000,55000000,2453000000,1000000,302000000,185000000,2021000000,2021000000,-1628000000,14000000,-1628000000,14000000,-88000000,-1798000000,-9000000,-58000000,3368000000,-75000000,901000000,-936000000,-765000000,-90000000,1146000000,-53000000,135000000,1146000000,-58000000,64637000000,17254000000,2265000000,53678000000,10959000000,210000000,31713000000,-19851000000,9529000000,14674000000,5232000000,9087000000,9953000000,91000000,-903000000,4816000000,22661000000,-20969000000,3273000000,4094000000,34196000000,3942000000,1161000000,31713000000,-19851000000,5232000000,41976000000,34196000000,1759000000,43725000000,64637000000,12360000000,583500000
2020-10-16,235.72,-0.98,-0.41%,237.73,232.87,242.27,"12,232,877","2,908,463,757.83",2020-09-30,6423000000,3970000000,1561000000,4862000000,3409000000,2021000000,1062000000,2206000000,1346000000,55000000,2453000000,1000000,302000000,185000000,2021000000,2021000000,-1628000000,14000000,-1628000000,14000000,-88000000,-1798000000,-9000000,-58000000,3368000000,-75000000,901000000,-936000000,-765000000,-90000000,1146000000,-53000000,135000000,1146000000,-58000000,64637000000,17254000000,2265000000,53678000000,10959000000,210000000,31713000000,-19851000000,9529000000,14674000000,5232000000,9087000000,9953000000,91000000,-903000000,4816000000,22661000000,-20969000000,3273000000,4094000000,34196000000,3942000000,1161000000,31713000000,-19851000000,5232000000,41976000000,34196000000,1759000000,43725000000,64637000000,12360000000,583500000
2020-10-09,236.7,-8.71,-3.55%,246.52,234.02,258.41,"16,901,818","4,165,890,745.64",2020-09-30,6423000000,3970000000,1561000000,4862000000,3409000000,2021000000,1062000000,2206000000,1346000000,55000000,2453000000,1000000,302000000,185000000,2021000000,2021000000,-1628000000,14000000,-1628000000,14000000,-88000000,-1798000000,-9000000,-58000000,3368000000,-75000000,901000000,-936000000,-765000000,-90000000,1146000000,-53000000,135000000,1146000000,-58000000,64637000000,17254000000,2265000000,53678000000,10959000000,210000000,31713000000,-19851000000,9529000000,14674000000,5232000000,9087000000,9953000000,91000000,-903000000,4816000000,22661000000,-20969000000,3273000000,4094000000,34196000000,3942000000,1161000000,31713000000,-19851000000,5232000000,41976000000,34196000000,1759000000,43725000000,64637000000,12360000000,583500000
2020-10-02,245.41,1.59,+0.65%,247.68,244.01,258.51,"12,692,160","3,181,326,496.18",2020-09-30,6423000000,3970000000,1561000000,4862000000,3409000000,2021000000,1062000000,2206000000,1346000000,55000000,2453000000,1000000,302000000,185000000,2021000000,2021000000,-1628000000,14000000,-1628000000,14000000,-88000000,-1798000000,-9000000,-58000000,3368000000,-75000000,901000000,-936000000,-765000000,-90000000,1146000000,-53000000,135000000,1146000000,-58000000,64637000000,17254000000,2265000000,53678000000,10959000000,210000000,31713000000,-19851000000,9529000000,14674000000,5232000000,9087000000,9953000000,91000000,-903000000,4816000000,22661000000,-20969000000,3273000000,4094000000,34196000000,3942000000,1161000000,31713000000,-19851000000,5232000000,41976000000,34196000000,1759000000,43725000000,64637000000,12360000000,583500000
2020-09-25,243.82,-3.9,-1.57%,247.04,237.78,249.23,"11,485,570","2,787,569,664.46",2020-06-30,6206000000,-3513000000,1488000000,4718000000,2326000000,1803000000,964000000,2030000000,1431000000,3000000,2323000000,-5908000000,296000000,227000000,1803000000,1803000000,-1954000000,627000000,-2159000000,-47000000,2289000000,775000000,-17000000,1458000000,2842000000,-144000000,930000000,-942000000,-555000000,-113000000,-222000000,-39000000,158000000,-222000000,1458000000,65011000000,17948000000,2268000000,54352000000,10659000000,259000000,31610000000,-20168000000,9696000000,14678000000,856000000,9145000000,10523000000,91000000,-783000000,4843000000,22895000000,-21967000000,2276000000,5366000000,34133000000,3840000000,10432000000,31610000000,-20168000000,4647000000,42116000000,34133000000,9437000000,43829000000,65011000000,11421000000,586400000
