Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,fiscalDateEnding,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,incomeBeforeTax,sellingGeneralAdministrative,operatingIncome,otherOperatingExpense,interestExpense,incomeTaxExpense,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInNetIncome,capitalExpenditures,changeInCashAndCashEquivalents,totalAssets,totalLiabilities,totalShareholderEquity,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,netReceivables,longTermDebt,accountsPayable,commonStockTotalEquity,retainedEarningsTotalEquity,otherNonCurrrentAssets,totalNonCurrentAssets,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,commonStockSharesOutstanding
2020-11-27,120.59,8.01,+7.114940%,114.24,113.72,121.69,"16,287,587","1,944,210,362.392000",2020-09-30,8953000000,7387000000,2465000000,6488000000,-510000000,1073000000,1364000000,4228000000,1364000000,1233000000,450000000,291000000,1073000000,1050000000,-4957000000,868000000,17189000000,18231000000,-3878000000,-8382000000,12158000000,11181000000,2091000000,-640000000,1115000000,-1112000000,-992000000,475000000,1042000000,-6379000000,187259000000,165390000000,21869000000,85461000000,161000000,12762000000,25063000000,2597000000,30817000000,95550000000,87177000000,-2948000000,4835000000,143233000000,22443000000,21869000000,40389000000,44777000000,93693000000,161000000,12762000000,45087000000,113840000000,44777000000,25204000000,69981000000,11818000000,187259000000,32922000000,805000000
2020-11-20,112.58,-2.41,-2.095834%,119.1,111.9,120.39,"19,579,382","2,265,155,961.581600",2020-09-30,8953000000,7387000000,2465000000,6488000000,-510000000,1073000000,1364000000,4228000000,1364000000,1233000000,450000000,291000000,1073000000,1050000000,-4957000000,868000000,17189000000,18231000000,-3878000000,-8382000000,12158000000,11181000000,2091000000,-640000000,1115000000,-1112000000,-992000000,475000000,1042000000,-6379000000,187259000000,165390000000,21869000000,85461000000,161000000,12762000000,25063000000,2597000000,30817000000,95550000000,87177000000,-2948000000,4835000000,143233000000,22443000000,21869000000,40389000000,44777000000,93693000000,161000000,12762000000,45087000000,113840000000,44777000000,25204000000,69981000000,11818000000,187259000000,32922000000,805000000
2020-11-13,114.99,18.3,+18.926466%,110.54,109.5523,119.89,"39,716,975","4,559,847,419.163100",2020-09-30,8953000000,7387000000,2465000000,6488000000,-510000000,1073000000,1364000000,4228000000,1364000000,1233000000,450000000,291000000,1073000000,1050000000,-4957000000,868000000,17189000000,18231000000,-3878000000,-8382000000,12158000000,11181000000,2091000000,-640000000,1115000000,-1112000000,-992000000,475000000,1042000000,-6379000000,187259000000,165390000000,21869000000,85461000000,161000000,12762000000,25063000000,2597000000,30817000000,95550000000,87177000000,-2948000000,4835000000,143233000000,22443000000,21869000000,40389000000,44777000000,93693000000,161000000,12762000000,45087000000,113840000000,44777000000,25204000000,69981000000,11818000000,187259000000,32922000000,805000000
2020-11-06,96.69,5.45,+5.973257%,92.96,92.27,98.64,"19,446,897","1,869,908,363.432300",2020-09-30,8953000000,7387000000,2465000000,6488000000,-510000000,1073000000,1364000000,4228000000,1364000000,1233000000,450000000,291000000,1073000000,1050000000,-4957000000,868000000,17189000000,18231000000,-3878000000,-8382000000,12158000000,11181000000,2091000000,-640000000,1115000000,-1112000000,-992000000,475000000,1042000000,-6379000000,187259000000,165390000000,21869000000,85461000000,161000000,12762000000,25063000000,2597000000,30817000000,95550000000,87177000000,-2948000000,4835000000,143233000000,22443000000,21869000000,40389000000,44777000000,93693000000,161000000,12762000000,45087000000,113840000000,44777000000,25204000000,69981000000,11818000000,187259000000,32922000000,805000000
2020-10-30,91.24,-9.74,-9.645474%,99.77,89.11,100.1,"26,705,528","2,484,752,361.673500",2020-09-30,8953000000,7387000000,2465000000,6488000000,-510000000,1073000000,1364000000,4228000000,1364000000,1233000000,450000000,291000000,1073000000,1050000000,-4957000000,868000000,17189000000,18231000000,-3878000000,-8382000000,12158000000,11181000000,2091000000,-640000000,1115000000,-1112000000,-992000000,475000000,1042000000,-6379000000,187259000000,165390000000,21869000000,85461000000,161000000,12762000000,25063000000,2597000000,30817000000,95550000000,87177000000,-2948000000,4835000000,143233000000,22443000000,21869000000,40389000000,44777000000,93693000000,161000000,12762000000,45087000000,113840000000,44777000000,25204000000,69981000000,11818000000,187259000000,32922000000,805000000
2020-10-23,100.98,-3.93,-3.746068%,105.13,100.0,105.22,"21,410,286","2,193,394,823.233500",2020-09-30,8953000000,7387000000,2465000000,6488000000,-510000000,1073000000,1364000000,4228000000,1364000000,1233000000,450000000,291000000,1073000000,1050000000,-4957000000,868000000,17189000000,18231000000,-3878000000,-8382000000,12158000000,11181000000,2091000000,-640000000,1115000000,-1112000000,-992000000,475000000,1042000000,-6379000000,187259000000,165390000000,21869000000,85461000000,161000000,12762000000,25063000000,2597000000,30817000000,95550000000,87177000000,-2948000000,4835000000,143233000000,22443000000,21869000000,40389000000,44777000000,93693000000,161000000,12762000000,45087000000,113840000000,44777000000,25204000000,69981000000,11818000000,187259000000,32922000000,805000000
2020-10-16,104.91,-1.43,-1.344743%,106.46,103.02,107.01,"13,149,633","1,385,270,125.809500",2020-09-30,8953000000,7387000000,2465000000,6488000000,-510000000,1073000000,1364000000,4228000000,1364000000,1233000000,450000000,291000000,1073000000,1050000000,-4957000000,868000000,17189000000,18231000000,-3878000000,-8382000000,12158000000,11181000000,2091000000,-640000000,1115000000,-1112000000,-992000000,475000000,1042000000,-6379000000,187259000000,165390000000,21869000000,85461000000,161000000,12762000000,25063000000,2597000000,30817000000,95550000000,87177000000,-2948000000,4835000000,143233000000,22443000000,21869000000,40389000000,44777000000,93693000000,161000000,12762000000,45087000000,113840000000,44777000000,25204000000,69981000000,11818000000,187259000000,32922000000,805000000
2020-10-09,106.34,4.73,+4.655054%,103.33,101.32,107.21,"15,655,048","1,634,399,985.749100",2020-09-30,8953000000,7387000000,2465000000,6488000000,-510000000,1073000000,1364000000,4228000000,1364000000,1233000000,450000000,291000000,1073000000,1050000000,-4957000000,868000000,17189000000,18231000000,-3878000000,-8382000000,12158000000,11181000000,2091000000,-640000000,1115000000,-1112000000,-992000000,475000000,1042000000,-6379000000,187259000000,165390000000,21869000000,85461000000,161000000,12762000000,25063000000,2597000000,30817000000,95550000000,87177000000,-2948000000,4835000000,143233000000,22443000000,21869000000,40389000000,44777000000,93693000000,161000000,12762000000,45087000000,113840000000,44777000000,25204000000,69981000000,11818000000,187259000000,32922000000,805000000
2020-10-02,101.61,5.35,+5.557864%,99.0,97.23,103.14,"20,155,614","2,015,234,810.850400",2020-09-30,8953000000,7387000000,2465000000,6488000000,-510000000,1073000000,1364000000,4228000000,1364000000,1233000000,450000000,291000000,1073000000,1050000000,-4957000000,868000000,17189000000,18231000000,-3878000000,-8382000000,12158000000,11181000000,2091000000,-640000000,1115000000,-1112000000,-992000000,475000000,1042000000,-6379000000,187259000000,165390000000,21869000000,85461000000,161000000,12762000000,25063000000,2597000000,30817000000,95550000000,87177000000,-2948000000,4835000000,143233000000,22443000000,21869000000,40389000000,44777000000,93693000000,161000000,12762000000,45087000000,113840000000,44777000000,25204000000,69981000000,11818000000,187259000000,32922000000,805000000
2020-09-25,96.26,-7.18,-6.941222%,100.6,93.71,100.63,"29,676,748","2,867,460,400.595600",2020-06-30,5791000000,7053000000,1817000000,5791000000,-1262000000,257000000,622000000,5498000000,-1262000000,1555000000,-1884000000,365000000,257000000,257000000,571000000,977000000,219000000,2000000,-5829000000,638000000,6816000000,2987000000,2130000000,-1101000000,374000000,-366000000,17000000,1623000000,354000000,2987000000,188608000000,167546000000,21062000000,84805000000,161000000,12052000000,24463000000,15935000000,41497000000,94103000000,1567000000,-2911000000,4829000000,78531000000,64431000000,21062000000,37034000000,48797000000,7731000000,161000000,12052000000,40817000000,110077000000,48797000000,24646000000,73443000000,11760000000,188608000000,41497000000,805000000
