Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,fiscalDateEnding,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,incomeTaxExpense,totalOtherIncomeExpense,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInCashAndCashEquivalents,totalAssets,intangibleAssets,totalLiabilities,totalShareholderEquity,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,commonStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,otherNonCurrrentAssets,totalNonCurrentAssets,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments
2020-11-27,216.5,16.88,+8.456067%,203.24,201.87,222.95,"88,728,763","19,109,124,012.001600",2020-09-30,14139000000,14634000000,13105000000,1034000000,283000000,-449000000,574000000,-925000000,268000000,955000000,119000000,-401000000,14000000,14000000,-459000000,213000000,-466000000,-449000000,-4060000000,-1516000000,-16823000000,-15785000000,-467000000,32274000000,-169000000,1076000000,-14401000000,-1649000000,1668000000,-1158000000,31000000,-2912000000,-18000000,62000000,1038000000,-18000000,-9424000000,161261000000,2270000000,173082000000,-11821000000,52181000000,5061000000,47029000000,23182000000,8071000000,4877000000,10564000000,92307000000,3634000000,-15780000000,11969000000,131012000000,1052000000,-22833000000,16552000000,11622000000,57325000000,86961000000,14479000000,5061000000,47029000000,-54819000000,3502000000,30249000000,57325000000,2907000000,80507000000,6687000000,161261000000,27116000000
2020-11-20,199.62,12.51,+6.685907%,194.56,191.3501,223.02,"197,319,766","40,711,469,394.018700",2020-09-30,14139000000,14634000000,13105000000,1034000000,283000000,-449000000,574000000,-925000000,268000000,955000000,119000000,-401000000,14000000,14000000,-459000000,213000000,-466000000,-449000000,-4060000000,-1516000000,-16823000000,-15785000000,-467000000,32274000000,-169000000,1076000000,-14401000000,-1649000000,1668000000,-1158000000,31000000,-2912000000,-18000000,62000000,1038000000,-18000000,-9424000000,161261000000,2270000000,173082000000,-11821000000,52181000000,5061000000,47029000000,23182000000,8071000000,4877000000,10564000000,92307000000,3634000000,-15780000000,11969000000,131012000000,1052000000,-22833000000,16552000000,11622000000,57325000000,86961000000,14479000000,5061000000,47029000000,-54819000000,3502000000,30249000000,57325000000,2907000000,80507000000,6687000000,161261000000,27116000000
2020-11-13,187.11,29.37,+18.619247%,179.0,172.16,193.95,"165,447,446","30,364,295,056.565900",2020-09-30,14139000000,14634000000,13105000000,1034000000,283000000,-449000000,574000000,-925000000,268000000,955000000,119000000,-401000000,14000000,14000000,-459000000,213000000,-466000000,-449000000,-4060000000,-1516000000,-16823000000,-15785000000,-467000000,32274000000,-169000000,1076000000,-14401000000,-1649000000,1668000000,-1158000000,31000000,-2912000000,-18000000,62000000,1038000000,-18000000,-9424000000,161261000000,2270000000,173082000000,-11821000000,52181000000,5061000000,47029000000,23182000000,8071000000,4877000000,10564000000,92307000000,3634000000,-15780000000,11969000000,131012000000,1052000000,-22833000000,16552000000,11622000000,57325000000,86961000000,14479000000,5061000000,47029000000,-54819000000,3502000000,30249000000,57325000000,2907000000,80507000000,6687000000,161261000000,27116000000
2020-11-06,157.74,13.35,+9.245793%,145.75,143.38,158.47,"58,773,018","8,984,919,606.964400",2020-09-30,14139000000,14634000000,13105000000,1034000000,283000000,-449000000,574000000,-925000000,268000000,955000000,119000000,-401000000,14000000,14000000,-459000000,213000000,-466000000,-449000000,-4060000000,-1516000000,-16823000000,-15785000000,-467000000,32274000000,-169000000,1076000000,-14401000000,-1649000000,1668000000,-1158000000,31000000,-2912000000,-18000000,62000000,1038000000,-18000000,-9424000000,161261000000,2270000000,173082000000,-11821000000,52181000000,5061000000,47029000000,23182000000,8071000000,4877000000,10564000000,92307000000,3634000000,-15780000000,11969000000,131012000000,1052000000,-22833000000,16552000000,11622000000,57325000000,86961000000,14479000000,5061000000,47029000000,-54819000000,3502000000,30249000000,57325000000,2907000000,80507000000,6687000000,161261000000,27116000000
2020-10-30,144.39,-22.97,-13.724904%,164.95,141.58,165.5,"81,869,792","12,465,989,355.037600",2020-09-30,14139000000,14634000000,13105000000,1034000000,283000000,-449000000,574000000,-925000000,268000000,955000000,119000000,-401000000,14000000,14000000,-459000000,213000000,-466000000,-449000000,-4060000000,-1516000000,-16823000000,-15785000000,-467000000,32274000000,-169000000,1076000000,-14401000000,-1649000000,1668000000,-1158000000,31000000,-2912000000,-18000000,62000000,1038000000,-18000000,-9424000000,161261000000,2270000000,173082000000,-11821000000,52181000000,5061000000,47029000000,23182000000,8071000000,4877000000,10564000000,92307000000,3634000000,-15780000000,11969000000,131012000000,1052000000,-22833000000,16552000000,11622000000,57325000000,86961000000,14479000000,5061000000,47029000000,-54819000000,3502000000,30249000000,57325000000,2907000000,80507000000,6687000000,161261000000,27116000000
2020-10-23,167.36,0.01,+0.005976%,169.09,163.82,170.84,"64,552,528","10,803,798,745.541700",2020-09-30,14139000000,14634000000,13105000000,1034000000,283000000,-449000000,574000000,-925000000,268000000,955000000,119000000,-401000000,14000000,14000000,-459000000,213000000,-466000000,-449000000,-4060000000,-1516000000,-16823000000,-15785000000,-467000000,32274000000,-169000000,1076000000,-14401000000,-1649000000,1668000000,-1158000000,31000000,-2912000000,-18000000,62000000,1038000000,-18000000,-9424000000,161261000000,2270000000,173082000000,-11821000000,52181000000,5061000000,47029000000,23182000000,8071000000,4877000000,10564000000,92307000000,3634000000,-15780000000,11969000000,131012000000,1052000000,-22833000000,16552000000,11622000000,57325000000,86961000000,14479000000,5061000000,47029000000,-54819000000,3502000000,30249000000,57325000000,2907000000,80507000000,6687000000,161261000000,27116000000
2020-10-16,167.35,0.02,+0.011952%,167.75,158.73,173.42,"82,908,497","13,790,982,825.394700",2020-09-30,14139000000,14634000000,13105000000,1034000000,283000000,-449000000,574000000,-925000000,268000000,955000000,119000000,-401000000,14000000,14000000,-459000000,213000000,-466000000,-449000000,-4060000000,-1516000000,-16823000000,-15785000000,-467000000,32274000000,-169000000,1076000000,-14401000000,-1649000000,1668000000,-1158000000,31000000,-2912000000,-18000000,62000000,1038000000,-18000000,-9424000000,161261000000,2270000000,173082000000,-11821000000,52181000000,5061000000,47029000000,23182000000,8071000000,4877000000,10564000000,92307000000,3634000000,-15780000000,11969000000,131012000000,1052000000,-22833000000,16552000000,11622000000,57325000000,86961000000,14479000000,5061000000,47029000000,-54819000000,3502000000,30249000000,57325000000,2907000000,80507000000,6687000000,161261000000,27116000000
2020-10-09,167.33,-0.75,-0.446216%,169.49,159.33,175.56,"130,238,342","21,739,996,192.422500",2020-09-30,14139000000,14634000000,13105000000,1034000000,283000000,-449000000,574000000,-925000000,268000000,955000000,119000000,-401000000,14000000,14000000,-459000000,213000000,-466000000,-449000000,-4060000000,-1516000000,-16823000000,-15785000000,-467000000,32274000000,-169000000,1076000000,-14401000000,-1649000000,1668000000,-1158000000,31000000,-2912000000,-18000000,62000000,1038000000,-18000000,-9424000000,161261000000,2270000000,173082000000,-11821000000,52181000000,5061000000,47029000000,23182000000,8071000000,4877000000,10564000000,92307000000,3634000000,-15780000000,11969000000,131012000000,1052000000,-22833000000,16552000000,11622000000,57325000000,86961000000,14479000000,5061000000,47029000000,-54819000000,3502000000,30249000000,57325000000,2907000000,80507000000,6687000000,161261000000,27116000000
2020-10-02,168.08,12.05,+7.722874%,160.33,159.2,172.76,"159,676,687","26,571,254,475.941000",2020-09-30,14139000000,14634000000,13105000000,1034000000,283000000,-449000000,574000000,-925000000,268000000,955000000,119000000,-401000000,14000000,14000000,-459000000,213000000,-466000000,-449000000,-4060000000,-1516000000,-16823000000,-15785000000,-467000000,32274000000,-169000000,1076000000,-14401000000,-1649000000,1668000000,-1158000000,31000000,-2912000000,-18000000,62000000,1038000000,-18000000,-9424000000,161261000000,2270000000,173082000000,-11821000000,52181000000,5061000000,47029000000,23182000000,8071000000,4877000000,10564000000,92307000000,3634000000,-15780000000,11969000000,131012000000,1052000000,-22833000000,16552000000,11622000000,57325000000,86961000000,14479000000,5061000000,47029000000,-54819000000,3502000000,30249000000,57325000000,2907000000,80507000000,6687000000,161261000000,27116000000
2020-09-25,156.03,-5.11,-3.171156%,157.83,145.02,160.42,"115,362,900","17,649,203,573.428500",2020-06-30,11845000000,1831000000,12978000000,-1171000000,-2870000000,-2376000000,625000000,-3423000000,-19000000,1161000000,94000000,-2964000000,45000000,553000000,1028000000,87000000,-4451000000,-2376000000,-11997000000,-3611000000,-12307000000,38000000,22458000000,22462000000,-2000000,4875000000,-5280000000,2345000000,547000000,-1158000000,6000000,-3768000000,197000000,1003000000,348000000,599000000,4875000000,162872000000,3019000000,174254000000,-11667000000,53367000000,5061000000,47478000000,23315000000,8064000000,6210000000,19992000000,92482000000,2922000000,-16025000000,12182000000,130277000000,3120000000,-22750000000,12438000000,11478000000,58457000000,83745000000,36193000000,5061000000,47478000000,-54829000000,5481000000,729000000,58457000000,22911000000,81772000000,6648000000,162872000000,32430000000
2020-09-18,161.14,0.91,+0.567934%,161.75,158.9,170.57,"95,771,335","15,796,259,532.338100",2020-06-30,11845000000,1831000000,12978000000,-1171000000,-2870000000,-2376000000,625000000,-3423000000,-19000000,1161000000,94000000,-2964000000,45000000,553000000,1028000000,87000000,-4451000000,-2376000000,-11997000000,-3611000000,-12307000000,38000000,22458000000,22462000000,-2000000,4875000000,-5280000000,2345000000,547000000,-1158000000,6000000,-3768000000,197000000,1003000000,348000000,599000000,4875000000,162872000000,3019000000,174254000000,-11667000000,53367000000,5061000000,47478000000,23315000000,8064000000,6210000000,19992000000,92482000000,2922000000,-16025000000,12182000000,130277000000,3120000000,-22750000000,12438000000,11478000000,58457000000,83745000000,36193000000,5061000000,47478000000,-54829000000,5481000000,729000000,58457000000,22911000000,81772000000,6648000000,162872000000,32430000000
2020-09-11,160.23,-10.82,-6.325636%,165.8,156.32,166.9,"73,829,106","11,878,457,494.155400",2020-06-30,11845000000,1831000000,12978000000,-1171000000,-2870000000,-2376000000,625000000,-3423000000,-19000000,1161000000,94000000,-2964000000,45000000,553000000,1028000000,87000000,-4451000000,-2376000000,-11997000000,-3611000000,-12307000000,38000000,22458000000,22462000000,-2000000,4875000000,-5280000000,2345000000,547000000,-1158000000,6000000,-3768000000,197000000,1003000000,348000000,599000000,4875000000,162872000000,3019000000,174254000000,-11667000000,53367000000,5061000000,47478000000,23315000000,8064000000,6210000000,19992000000,92482000000,2922000000,-16025000000,12182000000,130277000000,3120000000,-22750000000,12438000000,11478000000,58457000000,83745000000,36193000000,5061000000,47478000000,-54829000000,5481000000,729000000,58457000000,22911000000,81772000000,6648000000,162872000000,32430000000
2020-09-04,171.05,-4.75,-2.701934%,174.65,164.0,180.85,"98,480,457","16,982,645,853.342000",2020-06-30,11845000000,1831000000,12978000000,-1171000000,-2870000000,-2376000000,625000000,-3423000000,-19000000,1161000000,94000000,-2964000000,45000000,553000000,1028000000,87000000,-4451000000,-2376000000,-11997000000,-3611000000,-12307000000,38000000,22458000000,22462000000,-2000000,4875000000,-5280000000,2345000000,547000000,-1158000000,6000000,-3768000000,197000000,1003000000,348000000,599000000,4875000000,162872000000,3019000000,174254000000,-11667000000,53367000000,5061000000,47478000000,23315000000,8064000000,6210000000,19992000000,92482000000,2922000000,-16025000000,12182000000,130277000000,3120000000,-22750000000,12438000000,11478000000,58457000000,83745000000,36193000000,5061000000,47478000000,-54829000000,5481000000,729000000,58457000000,22911000000,81772000000,6648000000,162872000000,32430000000
2020-08-28,175.8,8.3,+4.955224%,168.78,167.93,181.31,"136,757,400","23,939,106,275.620500",2020-06-30,11845000000,1831000000,12978000000,-1171000000,-2870000000,-2376000000,625000000,-3423000000,-19000000,1161000000,94000000,-2964000000,45000000,553000000,1028000000,87000000,-4451000000,-2376000000,-11997000000,-3611000000,-12307000000,38000000,22458000000,22462000000,-2000000,4875000000,-5280000000,2345000000,547000000,-1158000000,6000000,-3768000000,197000000,1003000000,348000000,599000000,4875000000,162872000000,3019000000,174254000000,-11667000000,53367000000,5061000000,47478000000,23315000000,8064000000,6210000000,19992000000,92482000000,2922000000,-16025000000,12182000000,130277000000,3120000000,-22750000000,12438000000,11478000000,58457000000,83745000000,36193000000,5061000000,47478000000,-54829000000,5481000000,729000000,58457000000,22911000000,81772000000,6648000000,162872000000,32430000000
2020-08-21,167.5,-10.58,-5.941150%,178.24,165.86,178.29,"110,601,435","18,848,873,577.425000",2020-06-30,11845000000,1831000000,12978000000,-1171000000,-2870000000,-2376000000,625000000,-3423000000,-19000000,1161000000,94000000,-2964000000,45000000,553000000,1028000000,87000000,-4451000000,-2376000000,-11997000000,-3611000000,-12307000000,38000000,22458000000,22462000000,-2000000,4875000000,-5280000000,2345000000,547000000,-1158000000,6000000,-3768000000,197000000,1003000000,348000000,599000000,4875000000,162872000000,3019000000,174254000000,-11667000000,53367000000,5061000000,47478000000,23315000000,8064000000,6210000000,19992000000,92482000000,2922000000,-16025000000,12182000000,130277000000,3120000000,-22750000000,12438000000,11478000000,58457000000,83745000000,36193000000,5061000000,47478000000,-54829000000,5481000000,729000000,58457000000,22911000000,81772000000,6648000000,162872000000,32430000000
2020-08-14,178.08,8.06,+4.740619%,171.36,171.33,189.97,"192,969,507","34,697,741,775.153500",2020-06-30,11845000000,1831000000,12978000000,-1171000000,-2870000000,-2376000000,625000000,-3423000000,-19000000,1161000000,94000000,-2964000000,45000000,553000000,1028000000,87000000,-4451000000,-2376000000,-11997000000,-3611000000,-12307000000,38000000,22458000000,22462000000,-2000000,4875000000,-5280000000,2345000000,547000000,-1158000000,6000000,-3768000000,197000000,1003000000,348000000,599000000,4875000000,162872000000,3019000000,174254000000,-11667000000,53367000000,5061000000,47478000000,23315000000,8064000000,6210000000,19992000000,92482000000,2922000000,-16025000000,12182000000,130277000000,3120000000,-22750000000,12438000000,11478000000,58457000000,83745000000,36193000000,5061000000,47478000000,-54829000000,5481000000,729000000,58457000000,22911000000,81772000000,6648000000,162872000000,32430000000
2020-08-07,170.02,12.02,+7.607595%,156.51,153.41,175.57,"168,164,506","28,223,932,229.601800",2020-06-30,11845000000,1831000000,12978000000,-1171000000,-2870000000,-2376000000,625000000,-3423000000,-19000000,1161000000,94000000,-2964000000,45000000,553000000,1028000000,87000000,-4451000000,-2376000000,-11997000000,-3611000000,-12307000000,38000000,22458000000,22462000000,-2000000,4875000000,-5280000000,2345000000,547000000,-1158000000,6000000,-3768000000,197000000,1003000000,348000000,599000000,4875000000,162872000000,3019000000,174254000000,-11667000000,53367000000,5061000000,47478000000,23315000000,8064000000,6210000000,19992000000,92482000000,2922000000,-16025000000,12182000000,130277000000,3120000000,-22750000000,12438000000,11478000000,58457000000,83745000000,36193000000,5061000000,47478000000,-54829000000,5481000000,729000000,58457000000,22911000000,81772000000,6648000000,162872000000,32430000000
