Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,fiscalDateEnding,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,incomeTaxExpense,totalOtherIncomeExpense,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInCashAndCashEquivalents,totalAssets,intangibleAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,netReceivables,longTermDebt,inventory,accountsPayable,commonStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,otherNonCurrrentAssets,totalNonCurrentAssets,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,commonStockSharesOutstanding
2020-11-27,175.08,2.85,+1.654764%,173.76,172.7801,178.32,"9,336,514","1,637,551,329.746200",2020-09-30,9881000000,8896000000,6907000000,2974000000,1592000000,668000000,344000000,863000000,45000000,1126000000,9000000,985000000,83000000,137000000,187000000,14000000,671000000,668000000,-216000000,74000000,-959000000,532000000,-562000000,-2213000000,-1000000,1027000000,4255000000,7000000,1815000000,-1683000000,-1020000000,6000000,319000000,1491000000,297000000,518000000,76741000000,1363000000,45000000,61792000000,14949000000,3187000000,6204000000,35508000000,10661000000,6304000000,4950000000,9315000000,24978000000,2660000000,-1497000000,12232000000,38534000000,13358000000,7282000000,6969000000,26107000000,11453000000,5193000000,6204000000,35508000000,-25315000000,3510000000,38207000000,26107000000,4408000000,36769000000,76741000000,9315000000,543300000
2020-11-20,172.23,0.52,+0.302836%,175.0,170.19,175.3821,"13,641,137","2,357,932,433.445100",2020-09-30,9881000000,8896000000,6907000000,2974000000,1592000000,668000000,344000000,863000000,45000000,1126000000,9000000,985000000,83000000,137000000,187000000,14000000,671000000,668000000,-216000000,74000000,-959000000,532000000,-562000000,-2213000000,-1000000,1027000000,4255000000,7000000,1815000000,-1683000000,-1020000000,6000000,319000000,1491000000,297000000,518000000,76741000000,1363000000,45000000,61792000000,14949000000,3187000000,6204000000,35508000000,10661000000,6304000000,4950000000,9315000000,24978000000,2660000000,-1497000000,12232000000,38534000000,13358000000,7282000000,6969000000,26107000000,11453000000,5193000000,6204000000,35508000000,-25315000000,3510000000,38207000000,26107000000,4408000000,36769000000,76741000000,9315000000,543300000
2020-11-13,171.71,10.42,+6.460413%,174.03,167.47,176.37,"16,121,975","2,765,660,284.880200",2020-09-30,9881000000,8896000000,6907000000,2974000000,1592000000,668000000,344000000,863000000,45000000,1126000000,9000000,985000000,83000000,137000000,187000000,14000000,671000000,668000000,-216000000,74000000,-959000000,532000000,-562000000,-2213000000,-1000000,1027000000,4255000000,7000000,1815000000,-1683000000,-1020000000,6000000,319000000,1491000000,297000000,518000000,76741000000,1363000000,45000000,61792000000,14949000000,3187000000,6204000000,35508000000,10661000000,6304000000,4950000000,9315000000,24978000000,2660000000,-1497000000,12232000000,38534000000,13358000000,7282000000,6969000000,26107000000,11453000000,5193000000,6204000000,35508000000,-25315000000,3510000000,38207000000,26107000000,4408000000,36769000000,76741000000,9315000000,543300000
2020-11-06,161.29,4.24,+2.699777%,159.2,155.23,169.0,"25,802,206","4,164,674,683.187600",2020-09-30,9881000000,8896000000,6907000000,2974000000,1592000000,668000000,344000000,863000000,45000000,1126000000,9000000,985000000,83000000,137000000,187000000,14000000,671000000,668000000,-216000000,74000000,-959000000,532000000,-562000000,-2213000000,-1000000,1027000000,4255000000,7000000,1815000000,-1683000000,-1020000000,6000000,319000000,1491000000,297000000,518000000,76741000000,1363000000,45000000,61792000000,14949000000,3187000000,6204000000,35508000000,10661000000,6304000000,4950000000,9315000000,24978000000,2660000000,-1497000000,12232000000,38534000000,13358000000,7282000000,6969000000,26107000000,11453000000,5193000000,6204000000,35508000000,-25315000000,3510000000,38207000000,26107000000,4408000000,36769000000,76741000000,9315000000,543300000
2020-10-30,157.05,-11.54,-6.845009%,166.64,149.6301,166.64,"23,252,066","3,638,814,491.470700",2020-09-30,9881000000,8896000000,6907000000,2974000000,1592000000,668000000,344000000,863000000,45000000,1126000000,9000000,985000000,83000000,137000000,187000000,14000000,671000000,668000000,-216000000,74000000,-959000000,532000000,-562000000,-2213000000,-1000000,1027000000,4255000000,7000000,1815000000,-1683000000,-1020000000,6000000,319000000,1491000000,297000000,518000000,76741000000,1363000000,45000000,61792000000,14949000000,3187000000,6204000000,35508000000,10661000000,6304000000,4950000000,9315000000,24978000000,2660000000,-1497000000,12232000000,38534000000,13358000000,7282000000,6969000000,26107000000,11453000000,5193000000,6204000000,35508000000,-25315000000,3510000000,38207000000,26107000000,4408000000,36769000000,76741000000,9315000000,543300000
2020-10-23,168.59,-0.16,-0.094815%,168.74,166.74,171.26,"13,483,501","2,275,422,485.288500",2020-09-30,9881000000,8896000000,6907000000,2974000000,1592000000,668000000,344000000,863000000,45000000,1126000000,9000000,985000000,83000000,137000000,187000000,14000000,671000000,668000000,-216000000,74000000,-959000000,532000000,-562000000,-2213000000,-1000000,1027000000,4255000000,7000000,1815000000,-1683000000,-1020000000,6000000,319000000,1491000000,297000000,518000000,76741000000,1363000000,45000000,61792000000,14949000000,3187000000,6204000000,35508000000,10661000000,6304000000,4950000000,9315000000,24978000000,2660000000,-1497000000,12232000000,38534000000,13358000000,7282000000,6969000000,26107000000,11453000000,5193000000,6204000000,35508000000,-25315000000,3510000000,38207000000,26107000000,4408000000,36769000000,76741000000,9315000000,543300000
2020-10-16,168.75,9.81,+6.172140%,159.97,159.52,170.51,"20,216,531","3,330,048,513.374500",2020-09-30,9881000000,8896000000,6907000000,2974000000,1592000000,668000000,344000000,863000000,45000000,1126000000,9000000,985000000,83000000,137000000,187000000,14000000,671000000,668000000,-216000000,74000000,-959000000,532000000,-562000000,-2213000000,-1000000,1027000000,4255000000,7000000,1815000000,-1683000000,-1020000000,6000000,319000000,1491000000,297000000,518000000,76741000000,1363000000,45000000,61792000000,14949000000,3187000000,6204000000,35508000000,10661000000,6304000000,4950000000,9315000000,24978000000,2660000000,-1497000000,12232000000,38534000000,13358000000,7282000000,6969000000,26107000000,11453000000,5193000000,6204000000,35508000000,-25315000000,3510000000,38207000000,26107000000,4408000000,36769000000,76741000000,9315000000,543300000
2020-10-09,158.94,9.0,+6.002401%,152.17,151.28,159.39,"13,419,346","2,088,280,974.925200",2020-09-30,9881000000,8896000000,6907000000,2974000000,1592000000,668000000,344000000,863000000,45000000,1126000000,9000000,985000000,83000000,137000000,187000000,14000000,671000000,668000000,-216000000,74000000,-959000000,532000000,-562000000,-2213000000,-1000000,1027000000,4255000000,7000000,1815000000,-1683000000,-1020000000,6000000,319000000,1491000000,297000000,518000000,76741000000,1363000000,45000000,61792000000,14949000000,3187000000,6204000000,35508000000,10661000000,6304000000,4950000000,9315000000,24978000000,2660000000,-1497000000,12232000000,38534000000,13358000000,7282000000,6969000000,26107000000,11453000000,5193000000,6204000000,35508000000,-25315000000,3510000000,38207000000,26107000000,4408000000,36769000000,76741000000,9315000000,543300000
2020-10-02,149.94,4.03,+2.761977%,148.0,143.75,151.25,"12,857,620","1,912,194,790.426800",2020-09-30,9881000000,8896000000,6907000000,2974000000,1592000000,668000000,344000000,863000000,45000000,1126000000,9000000,985000000,83000000,137000000,187000000,14000000,671000000,668000000,-216000000,74000000,-959000000,532000000,-562000000,-2213000000,-1000000,1027000000,4255000000,7000000,1815000000,-1683000000,-1020000000,6000000,319000000,1491000000,297000000,518000000,76741000000,1363000000,45000000,61792000000,14949000000,3187000000,6204000000,35508000000,10661000000,6304000000,4950000000,9315000000,24978000000,2660000000,-1497000000,12232000000,38534000000,13358000000,7282000000,6969000000,26107000000,11453000000,5193000000,6204000000,35508000000,-25315000000,3510000000,38207000000,26107000000,4408000000,36769000000,76741000000,9315000000,543300000
2020-09-25,145.91,-6.48,-4.252248%,148.56,142.73,149.5,"13,265,496","1,932,743,075.080300",2020-06-30,9997000000,-1951000000,-7262000000,17259000000,821000000,450000000,-341000000,678000000,1000000,1179000000,37000000,784000000,-431000000,135000000,227000000,29000000,451000000,458000000,-217000000,-883000000,-530000000,137000000,-624000000,786000000,2042000000,1647000000,1391000000,-75000000,608000000,-558000000,-74000000,396000000,210000000,450000000,676000000,1647000000,76566000000,1420000000,1792000000,62789000000,13734000000,3370000000,6120000000,34841000000,10649000000,6192000000,4484000000,8784000000,25231000000,11715000000,-1815000000,12357000000,37862000000,13727000000,6122000000,15915000000,26907000000,11371000000,10146000000,6120000000,34841000000,-25412000000,3549000000,1459000000,26907000000,10651000000,37558000000,76566000000,8784000000,541500000
