Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,fiscalDateEnding,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,incomeBeforeTax,sellingGeneralAdministrative,operatingIncome,incomeTaxExpense,totalOtherIncomeExpense,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,changeInCash,operatingCashflow,depreciation,stockSaleAndPurchase,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,totalAssets,intangibleAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,accountsPayable,totalNonCurrentAssets,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,capitalSurplus,cashAndShortTermInvestments
2020-11-27,247.63,-10.41,-4.034258%,261.23,245.05,266.095,"44,977,667","11,362,916,632.201300",2020-10-31,5419000000,5195000000,1394000000,4025000000,894000000,1081000000,902000000,1250000000,2785000000,224000000,169000000,1026000000,1081000000,1081000000,-1035000000,-724000000,-4065000000,-3504000000,-13000000,1018000000,-421000000,2627000000,1977000000,1105000000,128000000,-470000000,561000000,59136000000,4398000000,1017000000,18826000000,40310000000,1462000000,7923000000,1000000,5666000000,1517000000,26313000000,2564000000,3724000000,12234000000,-84000000,5526000000,14946000000,3927000000,9599000000,5768000000,4333000000,2672000000,3546000000,44190000000,2672000000,1517000000,6592000000,34727000000,9492000000
2020-11-20,258.04,8.53,+3.418701%,249.52,248.18,267.09,"32,057,939","8,289,574,296.952300",2020-10-31,5419000000,5195000000,1394000000,4025000000,894000000,1081000000,902000000,1250000000,2785000000,224000000,169000000,1026000000,1081000000,1081000000,-1035000000,-724000000,-4065000000,-3504000000,-13000000,1018000000,-421000000,2627000000,1977000000,1105000000,128000000,-470000000,561000000,59136000000,4398000000,1017000000,18826000000,40310000000,1462000000,7923000000,1000000,5666000000,1517000000,26313000000,2564000000,3724000000,12234000000,-84000000,5526000000,14946000000,3927000000,9599000000,5768000000,4333000000,2672000000,3546000000,44190000000,2672000000,1517000000,6592000000,34727000000,9492000000
2020-11-13,249.51,-10.64,-4.089948%,260.95,242.9,270.92,"30,579,666","7,783,226,949.425100",2020-10-31,5419000000,5195000000,1394000000,4025000000,894000000,1081000000,902000000,1250000000,2785000000,224000000,169000000,1026000000,1081000000,1081000000,-1035000000,-724000000,-4065000000,-3504000000,-13000000,1018000000,-421000000,2627000000,1977000000,1105000000,128000000,-470000000,561000000,59136000000,4398000000,1017000000,18826000000,40310000000,1462000000,7923000000,1000000,5666000000,1517000000,26313000000,2564000000,3724000000,12234000000,-84000000,5526000000,14946000000,3927000000,9599000000,5768000000,4333000000,2672000000,3546000000,44190000000,2672000000,1517000000,6592000000,34727000000,9492000000
2020-11-06,260.15,27.88,+12.003272%,235.12,228.99,261.75,"27,370,552","6,834,027,569.723400",2020-10-31,5419000000,5195000000,1394000000,4025000000,894000000,1081000000,902000000,1250000000,2785000000,224000000,169000000,1026000000,1081000000,1081000000,-1035000000,-724000000,-4065000000,-3504000000,-13000000,1018000000,-421000000,2627000000,1977000000,1105000000,128000000,-470000000,561000000,59136000000,4398000000,1017000000,18826000000,40310000000,1462000000,7923000000,1000000,5666000000,1517000000,26313000000,2564000000,3724000000,12234000000,-84000000,5526000000,14946000000,3927000000,9599000000,5768000000,4333000000,2672000000,3546000000,44190000000,2672000000,1517000000,6592000000,34727000000,9492000000
2020-10-30,232.27,-18.25,-7.284848%,245.3,228.66,251.75,"24,907,322","5,976,552,526.858200",2020-07-31,5151000000,4973000000,1311000000,3840000000,827000000,2625000000,898000000,839000000,2646000000,178000000,-1786000000,661000000,2625000000,2625000000,-2593000000,228000000,-3030000000,-2593000000,-25000000,650000000,-93000000,2288000000,1307000000,724000000,-349000000,-2107000000,437000000,57780000000,4676000000,1055000000,19340000000,38440000000,1309000000,8805000000,1000000,4585000000,1297000000,26301000000,2513000000,4052000000,12963000000,-68000000,5513000000,14846000000,2555000000,7463000000,5231000000,4393000000,2673000000,3485000000,42934000000,2673000000,1297000000,6377000000,33922000000,9283000000
2020-10-23,250.52,-8.03,-3.105782%,259.76,246.13,261.4799,"15,874,084","4,018,484,299.497100",2020-07-31,5151000000,4973000000,1311000000,3840000000,827000000,2625000000,898000000,839000000,2646000000,178000000,-1786000000,661000000,2625000000,2625000000,-2593000000,228000000,-3030000000,-2593000000,-25000000,650000000,-93000000,2288000000,1307000000,724000000,-349000000,-2107000000,437000000,57780000000,4676000000,1055000000,19340000000,38440000000,1309000000,8805000000,1000000,4585000000,1297000000,26301000000,2513000000,4052000000,12963000000,-68000000,5513000000,14846000000,2555000000,7463000000,5231000000,4393000000,2673000000,3485000000,42934000000,2673000000,1297000000,6377000000,33922000000,9283000000
2020-10-16,258.55,-7.43,-2.793443%,270.0,254.02,270.16,"21,523,758","5,650,997,143.513700",2020-07-31,5151000000,4973000000,1311000000,3840000000,827000000,2625000000,898000000,839000000,2646000000,178000000,-1786000000,661000000,2625000000,2625000000,-2593000000,228000000,-3030000000,-2593000000,-25000000,650000000,-93000000,2288000000,1307000000,724000000,-349000000,-2107000000,437000000,57780000000,4676000000,1055000000,19340000000,38440000000,1309000000,8805000000,1000000,4585000000,1297000000,26301000000,2513000000,4052000000,12963000000,-68000000,5513000000,14846000000,2555000000,7463000000,5231000000,4393000000,2673000000,3485000000,42934000000,2673000000,1297000000,6377000000,33922000000,9283000000
2020-10-09,265.98,18.13,+7.314908%,250.0,249.0,266.05,"21,190,270","5,461,498,667.259000",2020-07-31,5151000000,4973000000,1311000000,3840000000,827000000,2625000000,898000000,839000000,2646000000,178000000,-1786000000,661000000,2625000000,2625000000,-2593000000,228000000,-3030000000,-2593000000,-25000000,650000000,-93000000,2288000000,1307000000,724000000,-349000000,-2107000000,437000000,57780000000,4676000000,1055000000,19340000000,38440000000,1309000000,8805000000,1000000,4585000000,1297000000,26301000000,2513000000,4052000000,12963000000,-68000000,5513000000,14846000000,2555000000,7463000000,5231000000,4393000000,2673000000,3485000000,42934000000,2673000000,1297000000,6377000000,33922000000,9283000000
2020-10-02,247.85,5.11,+2.105133%,247.56,242.21,255.4068,"25,099,270","6,273,369,091.166500",2020-07-31,5151000000,4973000000,1311000000,3840000000,827000000,2625000000,898000000,839000000,2646000000,178000000,-1786000000,661000000,2625000000,2625000000,-2593000000,228000000,-3030000000,-2593000000,-25000000,650000000,-93000000,2288000000,1307000000,724000000,-349000000,-2107000000,437000000,57780000000,4676000000,1055000000,19340000000,38440000000,1309000000,8805000000,1000000,4585000000,1297000000,26301000000,2513000000,4052000000,12963000000,-68000000,5513000000,14846000000,2555000000,7463000000,5231000000,4393000000,2673000000,3485000000,42934000000,2673000000,1297000000,6377000000,33922000000,9283000000
2020-09-25,242.74,-0.04,-0.016476%,238.97,233.63,248.77,"25,954,917","6,257,440,495.668200",2020-07-31,5151000000,4973000000,1311000000,3840000000,827000000,2625000000,898000000,839000000,2646000000,178000000,-1786000000,661000000,2625000000,2625000000,-2593000000,228000000,-3030000000,-2593000000,-25000000,650000000,-93000000,2288000000,1307000000,724000000,-349000000,-2107000000,437000000,57780000000,4676000000,1055000000,19340000000,38440000000,1309000000,8805000000,1000000,4585000000,1297000000,26301000000,2513000000,4052000000,12963000000,-68000000,5513000000,14846000000,2555000000,7463000000,5231000000,4393000000,2673000000,3485000000,42934000000,2673000000,1297000000,6377000000,33922000000,9283000000
