Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,fiscalDateEnding,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,operatingIncome,otherOperatingExpense,interestExpense,nonRecurring,incomeTaxExpense,totalOtherIncomeExpense,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInCashAndCashEquivalents,totalAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,commonStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,otherNonCurrrentAssets,totalNonCurrentAssets,totalLongTermDebt,totalNonCurrentLiabilities,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments
2020-11-27,91.31,5.52,+6.434316%,87.45,86.76,95.82,"45,837,770","4,238,164,660.208400",2020-09-30,23997000000,24331000000,13448000000,10549000000,4115000000,-207000000,-44000000,264000000,1923000000,-168000000,1085000000,164000000,117000000,165000000,454000000,-209000000,-207000000,-6275000000,580000000,689000000,-1051000000,880000000,8339000000,319000000,15022000000,-7186000000,-1545000000,-170000000,-624000000,6855000000,35000000,14000000,223063000000,169000000,91289000000,131774000000,10471000000,788000000,1832000000,163509000000,37081000000,4416000000,13026000000,6866000000,19664000000,530000000,-4494000000,142383000000,24803000000,38435000000,127358000000,28000000,9722000000,34280000000,5681000000,9537000000,1832000000,163509000000,-46138000000,11227000000,216169000000,34280000000,34810000000,17318000000,223063000000,6894000000
2020-11-20,85.79,2.76,+3.324100%,86.24,83.06,89.18,"61,010,110","5,279,128,159.805300",2020-09-30,23997000000,24331000000,13448000000,10549000000,4115000000,-207000000,-44000000,264000000,1923000000,-168000000,1085000000,164000000,117000000,165000000,454000000,-209000000,-207000000,-6275000000,580000000,689000000,-1051000000,880000000,8339000000,319000000,15022000000,-7186000000,-1545000000,-170000000,-624000000,6855000000,35000000,14000000,223063000000,169000000,91289000000,131774000000,10471000000,788000000,1832000000,163509000000,37081000000,4416000000,13026000000,6866000000,19664000000,530000000,-4494000000,142383000000,24803000000,38435000000,127358000000,28000000,9722000000,34280000000,5681000000,9537000000,1832000000,163509000000,-46138000000,11227000000,216169000000,34280000000,34810000000,17318000000,223063000000,6894000000
2020-11-13,83.03,11.88,+16.697119%,80.0,78.26,84.49,"70,523,688","5,743,258,557.741300",2020-09-30,23997000000,24331000000,13448000000,10549000000,4115000000,-207000000,-44000000,264000000,1923000000,-168000000,1085000000,164000000,117000000,165000000,454000000,-209000000,-207000000,-6275000000,580000000,689000000,-1051000000,880000000,8339000000,319000000,15022000000,-7186000000,-1545000000,-170000000,-624000000,6855000000,35000000,14000000,223063000000,169000000,91289000000,131774000000,10471000000,788000000,1832000000,163509000000,37081000000,4416000000,13026000000,6866000000,19664000000,530000000,-4494000000,142383000000,24803000000,38435000000,127358000000,28000000,9722000000,34280000000,5681000000,9537000000,1832000000,163509000000,-46138000000,11227000000,216169000000,34280000000,34810000000,17318000000,223063000000,6894000000
2020-11-06,71.15,1.65,+2.374101%,70.7,69.4,73.59,"50,003,766","3,600,770,570.722400",2020-09-30,23997000000,24331000000,13448000000,10549000000,4115000000,-207000000,-44000000,264000000,1923000000,-168000000,1085000000,164000000,117000000,165000000,454000000,-209000000,-207000000,-6275000000,580000000,689000000,-1051000000,880000000,8339000000,319000000,15022000000,-7186000000,-1545000000,-170000000,-624000000,6855000000,35000000,14000000,223063000000,169000000,91289000000,131774000000,10471000000,788000000,1832000000,163509000000,37081000000,4416000000,13026000000,6866000000,19664000000,530000000,-4494000000,142383000000,24803000000,38435000000,127358000000,28000000,9722000000,34280000000,5681000000,9537000000,1832000000,163509000000,-46138000000,11227000000,216169000000,34280000000,34810000000,17318000000,223063000000,6894000000
2020-10-30,69.5,-3.07,-4.230398%,71.73,65.16,71.8899,"69,415,030","4,779,423,541.032300",2020-09-30,23997000000,24331000000,13448000000,10549000000,4115000000,-207000000,-44000000,264000000,1923000000,-168000000,1085000000,164000000,117000000,165000000,454000000,-209000000,-207000000,-6275000000,580000000,689000000,-1051000000,880000000,8339000000,319000000,15022000000,-7186000000,-1545000000,-170000000,-624000000,6855000000,35000000,14000000,223063000000,169000000,91289000000,131774000000,10471000000,788000000,1832000000,163509000000,37081000000,4416000000,13026000000,6866000000,19664000000,530000000,-4494000000,142383000000,24803000000,38435000000,127358000000,28000000,9722000000,34280000000,5681000000,9537000000,1832000000,163509000000,-46138000000,11227000000,216169000000,34280000000,34810000000,17318000000,223063000000,6894000000
2020-10-23,72.57,-0.32,-0.439018%,73.11,70.57,74.365,"44,450,777","3,199,172,477.246200",2020-09-30,23997000000,24331000000,13448000000,10549000000,4115000000,-207000000,-44000000,264000000,1923000000,-168000000,1085000000,164000000,117000000,165000000,454000000,-209000000,-207000000,-6275000000,580000000,689000000,-1051000000,880000000,8339000000,319000000,15022000000,-7186000000,-1545000000,-170000000,-624000000,6855000000,35000000,14000000,223063000000,169000000,91289000000,131774000000,10471000000,788000000,1832000000,163509000000,37081000000,4416000000,13026000000,6866000000,19664000000,530000000,-4494000000,142383000000,24803000000,38435000000,127358000000,28000000,9722000000,34280000000,5681000000,9537000000,1832000000,163509000000,-46138000000,11227000000,216169000000,34280000000,34810000000,17318000000,223063000000,6894000000
2020-10-16,72.89,-1.11,-1.500000%,73.63,71.39,74.95,"45,914,082","3,374,686,190.098900",2020-09-30,23997000000,24331000000,13448000000,10549000000,4115000000,-207000000,-44000000,264000000,1923000000,-168000000,1085000000,164000000,117000000,165000000,454000000,-209000000,-207000000,-6275000000,580000000,689000000,-1051000000,880000000,8339000000,319000000,15022000000,-7186000000,-1545000000,-170000000,-624000000,6855000000,35000000,14000000,223063000000,169000000,91289000000,131774000000,10471000000,788000000,1832000000,163509000000,37081000000,4416000000,13026000000,6866000000,19664000000,530000000,-4494000000,142383000000,24803000000,38435000000,127358000000,28000000,9722000000,34280000000,5681000000,9537000000,1832000000,163509000000,-46138000000,11227000000,216169000000,34280000000,34810000000,17318000000,223063000000,6894000000
2020-10-09,74.0,2.81,+3.947184%,71.52,70.71,76.09,"66,606,327","4,896,480,405.358600",2020-09-30,23997000000,24331000000,13448000000,10549000000,4115000000,-207000000,-44000000,264000000,1923000000,-168000000,1085000000,164000000,117000000,165000000,454000000,-209000000,-207000000,-6275000000,580000000,689000000,-1051000000,880000000,8339000000,319000000,15022000000,-7186000000,-1545000000,-170000000,-624000000,6855000000,35000000,14000000,223063000000,169000000,91289000000,131774000000,10471000000,788000000,1832000000,163509000000,37081000000,4416000000,13026000000,6866000000,19664000000,530000000,-4494000000,142383000000,24803000000,38435000000,127358000000,28000000,9722000000,34280000000,5681000000,9537000000,1832000000,163509000000,-46138000000,11227000000,216169000000,34280000000,34810000000,17318000000,223063000000,6894000000
2020-10-02,71.19,-0.64,-0.890993%,73.64,68.82,74.76,"58,677,095","4,218,154,346.079200",2020-09-30,23997000000,24331000000,13448000000,10549000000,4115000000,-207000000,-44000000,264000000,1923000000,-168000000,1085000000,164000000,117000000,165000000,454000000,-209000000,-207000000,-6275000000,580000000,689000000,-1051000000,880000000,8339000000,319000000,15022000000,-7186000000,-1545000000,-170000000,-624000000,6855000000,35000000,14000000,223063000000,169000000,91289000000,131774000000,10471000000,788000000,1832000000,163509000000,37081000000,4416000000,13026000000,6866000000,19664000000,530000000,-4494000000,142383000000,24803000000,38435000000,127358000000,28000000,9722000000,34280000000,5681000000,9537000000,1832000000,163509000000,-46138000000,11227000000,216169000000,34280000000,34810000000,17318000000,223063000000,6894000000
2020-09-25,71.83,-6.38,-8.157525%,76.24,70.5,77.53,"68,277,255","5,023,106,435.638300",2020-06-30,13494000000,10245000000,13674000000,-180000000,-10425000000,-8270000000,-10597000000,-7000000,2534000000,-10425000000,6816000000,172000000,895000000,-2320000000,-2531000000,-8277000000,-8270000000,-1290000000,1478000000,1643000000,-733000000,-1943000000,80000000,1452000000,6717000000,-2399000000,23000000,1104000000,378000000,2092000000,-190000000,-1943000000,223403000000,9592000000,89017000000,134118000000,11110000000,628000000,1832000000,166122000000,37890000000,4416000000,14115000000,6855000000,20825000000,3751000000,-4990000000,145642000000,23732000000,38102000000,129702000000,59000000,8570000000,30302000000,5511000000,24563000000,1832000000,166122000000,-46143000000,11511000000,199671000000,30302000000,60703000000,17297000000,223403000000,59000000
2020-09-18,78.21,0.52,+0.669327%,77.48,75.96,79.48,"57,969,509","4,508,780,997.163700",2020-06-30,13494000000,10245000000,13674000000,-180000000,-10425000000,-8270000000,-10597000000,-7000000,2534000000,-10425000000,6816000000,172000000,895000000,-2320000000,-2531000000,-8277000000,-8270000000,-1290000000,1478000000,1643000000,-733000000,-1943000000,80000000,1452000000,6717000000,-2399000000,23000000,1104000000,378000000,2092000000,-190000000,-1943000000,223403000000,9592000000,89017000000,134118000000,11110000000,628000000,1832000000,166122000000,37890000000,4416000000,14115000000,6855000000,20825000000,3751000000,-4990000000,145642000000,23732000000,38102000000,129702000000,59000000,8570000000,30302000000,5511000000,24563000000,1832000000,166122000000,-46143000000,11511000000,199671000000,30302000000,60703000000,17297000000,223403000000,59000000
2020-09-11,77.69,-4.24,-5.175150%,80.5,77.065,81.07,"49,790,644","3,932,771,998.805900",2020-06-30,13494000000,10245000000,13674000000,-180000000,-10425000000,-8270000000,-10597000000,-7000000,2534000000,-10425000000,6816000000,172000000,895000000,-2320000000,-2531000000,-8277000000,-8270000000,-1290000000,1478000000,1643000000,-733000000,-1943000000,80000000,1452000000,6717000000,-2399000000,23000000,1104000000,378000000,2092000000,-190000000,-1943000000,223403000000,9592000000,89017000000,134118000000,11110000000,628000000,1832000000,166122000000,37890000000,4416000000,14115000000,6855000000,20825000000,3751000000,-4990000000,145642000000,23732000000,38102000000,129702000000,59000000,8570000000,30302000000,5511000000,24563000000,1832000000,166122000000,-46143000000,11511000000,199671000000,30302000000,60703000000,17297000000,223403000000,59000000
