Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,fiscalDateEnding,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,operatingIncome,interestExpense,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,cashflowFromInvestment,otherCashflowFromInvestment,cashflowFromFinancing,otherCashflowFromFinancing,operatingCashflow,depreciation,stockSaleAndPurchase,changeInInventory,capitalExpenditures,totalAssets,intangibleAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,propertyPlantEquipment,totalCurrentAssets,longTermDebt,inventory,accountsPayable,treasuryStock
2020-11-27,147.13,6.06,+4.295740%,142.45,141.7,151.86,"44,457,123","6,593,086,524.663400",2020-09-30,14707000000,15160000000,11013000000,3694000000,1251000000,-710000000,-580000000,13929000000,2812000000,-846000000,496000000,49000000,369000000,12000000,-629000000,-710000000,-3637000000,385000000,8480000000,-1471000000,7618000000,5345000000,305000000,-72000000,4022000000,201549000000,44195000000,3046000000,117966000000,83583000000,4116000000,54497000000,38315000000,24492000000,77689000000,4385000000,17914000000,26628000000,36126000000,35251000000,52917000000,1583000000,16801000000,-907000000
2020-11-20,141.07,2.71,+1.958659%,141.57,140.86,145.48,"52,572,036","7,533,914,632.051400",2020-09-30,14707000000,15160000000,11013000000,3694000000,1251000000,-710000000,-580000000,13929000000,2812000000,-846000000,496000000,49000000,369000000,12000000,-629000000,-710000000,-3637000000,385000000,8480000000,-1471000000,7618000000,5345000000,305000000,-72000000,4022000000,201549000000,44195000000,3046000000,117966000000,83583000000,4116000000,54497000000,38315000000,24492000000,77689000000,4385000000,17914000000,26628000000,36126000000,35251000000,52917000000,1583000000,16801000000,-907000000
2020-11-13,138.36,10.9,+8.551702%,140.26,134.105,147.68,"98,318,715","13,774,280,103.612800",2020-09-30,14707000000,15160000000,11013000000,3694000000,1251000000,-710000000,-580000000,13929000000,2812000000,-846000000,496000000,49000000,369000000,12000000,-629000000,-710000000,-3637000000,385000000,8480000000,-1471000000,7618000000,5345000000,305000000,-72000000,4022000000,201549000000,44195000000,3046000000,117966000000,83583000000,4116000000,54497000000,38315000000,24492000000,77689000000,4385000000,17914000000,26628000000,36126000000,35251000000,52917000000,1583000000,16801000000,-907000000
2020-11-06,127.46,6.21,+5.121649%,122.24,119.81,128.62,"38,728,448","4,824,713,485.485900",2020-09-30,14707000000,15160000000,11013000000,3694000000,1251000000,-710000000,-580000000,13929000000,2812000000,-846000000,496000000,49000000,369000000,12000000,-629000000,-710000000,-3637000000,385000000,8480000000,-1471000000,7618000000,5345000000,305000000,-72000000,4022000000,201549000000,44195000000,3046000000,117966000000,83583000000,4116000000,54497000000,38315000000,24492000000,77689000000,4385000000,17914000000,26628000000,36126000000,35251000000,52917000000,1583000000,16801000000,-907000000
2020-10-30,121.25,-7.1,-5.531749%,127.11,117.23,127.11,"44,730,058","5,433,664,307.186100",2020-09-30,14707000000,15160000000,11013000000,3694000000,1251000000,-710000000,-580000000,13929000000,2812000000,-846000000,496000000,49000000,369000000,12000000,-629000000,-710000000,-3637000000,385000000,8480000000,-1471000000,7618000000,5345000000,305000000,-72000000,4022000000,201549000000,44195000000,3046000000,117966000000,83583000000,4116000000,54497000000,38315000000,24492000000,77689000000,4385000000,17914000000,26628000000,36126000000,35251000000,52917000000,1583000000,16801000000,-907000000
2020-10-23,128.35,1.54,+1.214415%,127.37,123.64,128.5,"29,954,490","3,779,451,090.190900",2020-09-30,14707000000,15160000000,11013000000,3694000000,1251000000,-710000000,-580000000,13929000000,2812000000,-846000000,496000000,49000000,369000000,12000000,-629000000,-710000000,-3637000000,385000000,8480000000,-1471000000,7618000000,5345000000,305000000,-72000000,4022000000,201549000000,44195000000,3046000000,117966000000,83583000000,4116000000,54497000000,38315000000,24492000000,77689000000,4385000000,17914000000,26628000000,36126000000,35251000000,52917000000,1583000000,16801000000,-907000000
2020-10-16,126.81,1.83,+1.464234%,124.9,123.73,131.36,"58,927,508","7,531,146,216.798600",2020-09-30,14707000000,15160000000,11013000000,3694000000,1251000000,-710000000,-580000000,13929000000,2812000000,-846000000,496000000,49000000,369000000,12000000,-629000000,-710000000,-3637000000,385000000,8480000000,-1471000000,7618000000,5345000000,305000000,-72000000,4022000000,201549000000,44195000000,3046000000,117966000000,83583000000,4116000000,54497000000,38315000000,24492000000,77689000000,4385000000,17914000000,26628000000,36126000000,35251000000,52917000000,1583000000,16801000000,-907000000
2020-10-09,124.98,2.43,+1.982864%,123.26,120.61,125.5495,"44,065,730","5,431,779,962.410500",2020-09-30,14707000000,15160000000,11013000000,3694000000,1251000000,-710000000,-580000000,13929000000,2812000000,-846000000,496000000,49000000,369000000,12000000,-629000000,-710000000,-3637000000,385000000,8480000000,-1471000000,7618000000,5345000000,305000000,-72000000,4022000000,201549000000,44195000000,3046000000,117966000000,83583000000,4116000000,54497000000,38315000000,24492000000,77689000000,4385000000,17914000000,26628000000,36126000000,35251000000,52917000000,1583000000,16801000000,-907000000
2020-10-02,122.55,-1.45,-1.169355%,125.75,121.69,126.86,"42,757,248","5,315,629,598.360100",2020-09-30,14707000000,15160000000,11013000000,3694000000,1251000000,-710000000,-580000000,13929000000,2812000000,-846000000,496000000,49000000,369000000,12000000,-629000000,-710000000,-3637000000,385000000,8480000000,-1471000000,7618000000,5345000000,305000000,-72000000,4022000000,201549000000,44195000000,3046000000,117966000000,83583000000,4116000000,54497000000,38315000000,24492000000,77689000000,4385000000,17914000000,26628000000,36126000000,35251000000,52917000000,1583000000,16801000000,-907000000
2020-09-25,124.0,-4.63,-3.599471%,125.98,120.78,127.47,"40,986,836","5,092,066,849.700300",2020-06-30,11779000000,11728000000,7896000000,3883000000,-3005000000,-4721000000,-4840000000,13759000000,2455000000,-4996000000,456000000,-331000000,-4476000000,-3000000,-4509000000,-4721000000,-3122000000,171000000,14919000000,-838000000,5951000000,4010000000,238000000,16000000,3293000000,207649000000,45149000000,4034000000,121783000000,85866000000,3707000000,54386000000,39004000000,19860000000,77233000000,4189000000,23115000000,30917000000,36137000000,41330000000,54197000000,1559000000,16144000000,-907000000
2020-09-18,128.63,-3.12,-2.368121%,132.53,128.1201,133.62,"38,926,760","5,096,382,019.520100",2020-06-30,11779000000,11728000000,7896000000,3883000000,-3005000000,-4721000000,-4840000000,13759000000,2455000000,-4996000000,456000000,-331000000,-4476000000,-3000000,-4509000000,-4721000000,-3122000000,171000000,14919000000,-838000000,5951000000,4010000000,238000000,16000000,3293000000,207649000000,45149000000,4034000000,121783000000,85866000000,3707000000,54386000000,39004000000,19860000000,77233000000,4189000000,23115000000,30917000000,36137000000,41330000000,54197000000,1559000000,16144000000,-907000000
2020-09-11,131.75,-0.24,-0.181832%,131.99,130.86,137.14,"43,167,811","5,791,051,981.147400",2020-06-30,11779000000,11728000000,7896000000,3883000000,-3005000000,-4721000000,-4840000000,13759000000,2455000000,-4996000000,456000000,-331000000,-4476000000,-3000000,-4509000000,-4721000000,-3122000000,171000000,14919000000,-838000000,5951000000,4010000000,238000000,16000000,3293000000,207649000000,45149000000,4034000000,121783000000,85866000000,3707000000,54386000000,39004000000,19860000000,77233000000,4189000000,23115000000,30917000000,36137000000,41330000000,54197000000,1559000000,16144000000,-907000000
