Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,fiscalDateEnding,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,operatingIncome,interestExpense,incomeTaxExpense,totalOtherIncomeExpense,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,changeInCash,operatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInNetIncome,capitalExpenditures,totalAssets,intangibleAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,retainedEarnings,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,netReceivables,longTermDebt,inventory,accountsPayable,totalNonCurrentAssets,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,capitalSurplus,cashAndShortTermInvestments
2020-11-27,55.4,0.67,+1.224191%,55.28,55.01,58.18,"16,011,920","904,194,791.582700",2020-09-30,9712000000,9036000000,8359000000,1353000000,968000000,-25000000,193000000,42000000,578000000,372000000,8000000,202000000,43000000,-438000000,-4000000,-25000000,-82000000,336000000,-616000000,343000000,-359000000,-1809000000,-220000000,492000000,2175000000,4596000000,2148000000,-1552000000,-72000000,158000000,439000000,959000000,59945000000,3442000000,542000000,47591000000,12354000000,15472000000,8854000000,3392000000,4549000000,10207000000,329000000,676000000,-9989000000,22222000000,17789000000,3464000000,58000000,4706000000,16251000000,5609000000,3400000000,42156000000,16698000000,8524000000,36806000000,7497000000,4549000000
2020-11-20,54.73,2.76,+5.310756%,53.55,52.14,56.275,"21,159,837","1,156,079,546.713800",2020-09-30,9712000000,9036000000,8359000000,1353000000,968000000,-25000000,193000000,42000000,578000000,372000000,8000000,202000000,43000000,-438000000,-4000000,-25000000,-82000000,336000000,-616000000,343000000,-359000000,-1809000000,-220000000,492000000,2175000000,4596000000,2148000000,-1552000000,-72000000,158000000,439000000,959000000,59945000000,3442000000,542000000,47591000000,12354000000,15472000000,8854000000,3392000000,4549000000,10207000000,329000000,676000000,-9989000000,22222000000,17789000000,3464000000,58000000,4706000000,16251000000,5609000000,3400000000,42156000000,16698000000,8524000000,36806000000,7497000000,4549000000
2020-11-13,51.97,3.74,+7.754510%,51.59,50.2,54.18,"26,427,266","1,385,495,322.093300",2020-09-30,9712000000,9036000000,8359000000,1353000000,968000000,-25000000,193000000,42000000,578000000,372000000,8000000,202000000,43000000,-438000000,-4000000,-25000000,-82000000,336000000,-616000000,343000000,-359000000,-1809000000,-220000000,492000000,2175000000,4596000000,2148000000,-1552000000,-72000000,158000000,439000000,959000000,59945000000,3442000000,542000000,47591000000,12354000000,15472000000,8854000000,3392000000,4549000000,10207000000,329000000,676000000,-9989000000,22222000000,17789000000,3464000000,58000000,4706000000,16251000000,5609000000,3400000000,42156000000,16698000000,8524000000,36806000000,7497000000,4549000000
2020-11-06,48.23,2.74,+6.023302%,46.25,45.88,49.82,"18,826,100","904,114,183.646700",2020-09-30,9712000000,9036000000,8359000000,1353000000,968000000,-25000000,193000000,42000000,578000000,372000000,8000000,202000000,43000000,-438000000,-4000000,-25000000,-82000000,336000000,-616000000,343000000,-359000000,-1809000000,-220000000,492000000,2175000000,4596000000,2148000000,-1552000000,-72000000,158000000,439000000,959000000,59945000000,3442000000,542000000,47591000000,12354000000,15472000000,8854000000,3392000000,4549000000,10207000000,329000000,676000000,-9989000000,22222000000,17789000000,3464000000,58000000,4706000000,16251000000,5609000000,3400000000,42156000000,16698000000,8524000000,36806000000,7497000000,4549000000
2020-10-30,45.49,-3.04,-6.264166%,47.94,44.33,48.14,"23,790,765","1,093,719,310.782700",2020-09-30,9712000000,9036000000,8359000000,1353000000,968000000,-25000000,193000000,42000000,578000000,372000000,8000000,202000000,43000000,-438000000,-4000000,-25000000,-82000000,336000000,-616000000,343000000,-359000000,-1809000000,-220000000,492000000,2175000000,4596000000,2148000000,-1552000000,-72000000,158000000,439000000,959000000,59945000000,3442000000,542000000,47591000000,12354000000,15472000000,8854000000,3392000000,4549000000,10207000000,329000000,676000000,-9989000000,22222000000,17789000000,3464000000,58000000,4706000000,16251000000,5609000000,3400000000,42156000000,16698000000,8524000000,36806000000,7497000000,4549000000
2020-10-23,48.53,-0.77,-1.561866%,49.33,47.15,50.33,"17,871,576","875,054,315.989000",2020-09-30,9712000000,9036000000,8359000000,1353000000,968000000,-25000000,193000000,42000000,578000000,372000000,8000000,202000000,43000000,-438000000,-4000000,-25000000,-82000000,336000000,-616000000,343000000,-359000000,-1809000000,-220000000,492000000,2175000000,4596000000,2148000000,-1552000000,-72000000,158000000,439000000,959000000,59945000000,3442000000,542000000,47591000000,12354000000,15472000000,8854000000,3392000000,4549000000,10207000000,329000000,676000000,-9989000000,22222000000,17789000000,3464000000,58000000,4706000000,16251000000,5609000000,3400000000,42156000000,16698000000,8524000000,36806000000,7497000000,4549000000
2020-10-16,49.3,-0.06,-0.121556%,49.4,47.42,49.995,"20,710,290","1,006,687,395.628700",2020-09-30,9712000000,9036000000,8359000000,1353000000,968000000,-25000000,193000000,42000000,578000000,372000000,8000000,202000000,43000000,-438000000,-4000000,-25000000,-82000000,336000000,-616000000,343000000,-359000000,-1809000000,-220000000,492000000,2175000000,4596000000,2148000000,-1552000000,-72000000,158000000,439000000,959000000,59945000000,3442000000,542000000,47591000000,12354000000,15472000000,8854000000,3392000000,4549000000,10207000000,329000000,676000000,-9989000000,22222000000,17789000000,3464000000,58000000,4706000000,16251000000,5609000000,3400000000,42156000000,16698000000,8524000000,36806000000,7497000000,4549000000
2020-10-09,49.36,2.05,+4.333122%,47.9,47.7,50.09,"20,329,758","991,996,531.074600",2020-09-30,9712000000,9036000000,8359000000,1353000000,968000000,-25000000,193000000,42000000,578000000,372000000,8000000,202000000,43000000,-438000000,-4000000,-25000000,-82000000,336000000,-616000000,343000000,-359000000,-1809000000,-220000000,492000000,2175000000,4596000000,2148000000,-1552000000,-72000000,158000000,439000000,959000000,59945000000,3442000000,542000000,47591000000,12354000000,15472000000,8854000000,3392000000,4549000000,10207000000,329000000,676000000,-9989000000,22222000000,17789000000,3464000000,58000000,4706000000,16251000000,5609000000,3400000000,42156000000,16698000000,8524000000,36806000000,7497000000,4549000000
2020-10-02,47.31,1.27,+2.758471%,46.5,45.13,48.28,"19,340,425","910,105,937.416000",2020-09-30,9712000000,9036000000,8359000000,1353000000,968000000,-25000000,193000000,42000000,578000000,372000000,8000000,202000000,43000000,-438000000,-4000000,-25000000,-82000000,336000000,-616000000,343000000,-359000000,-1809000000,-220000000,492000000,2175000000,4596000000,2148000000,-1552000000,-72000000,158000000,439000000,959000000,59945000000,3442000000,542000000,47591000000,12354000000,15472000000,8854000000,3392000000,4549000000,10207000000,329000000,676000000,-9989000000,22222000000,17789000000,3464000000,58000000,4706000000,16251000000,5609000000,3400000000,42156000000,16698000000,8524000000,36806000000,7497000000,4549000000
2020-09-25,46.04,-4.33,-8.596387%,49.04,45.63,49.33,"23,407,516","1,102,620,924.391400",2020-06-30,8354000000,8249000000,7604000000,750000000,717000000,-225000000,182000000,-183000000,560000000,357000000,59000000,200000000,34000000,-94000000,-217000000,-225000000,-381000000,-582000000,-534000000,136000000,-618000000,-879000000,-144000000,248000000,1350000000,2829000000,1424000000,-1034000000,-95000000,540000000,341000000,670000000,59276000000,3532000000,600000000,46739000000,12537000000,16017000000,8801000000,3240000000,3724000000,9786000000,853000000,1304000000,-10265000000,22499000000,16997000000,3482000000,204000000,4359000000,15923000000,5784000000,3296000000,42279000000,16288000000,7404000000,36393000000,7431000000,3726000000
