Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,fiscalDateEnding,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,operatingIncome,otherOperatingExpense,interestExpense,incomeTaxExpense,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInNetIncome,capitalExpenditures,changeInCashAndCashEquivalents,totalAssets,intangibleAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,netReceivables,longTermDebt,accountsPayable,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,otherNonCurrrentAssets,totalNonCurrentAssets,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,commonStockSharesOutstanding
2020-11-27,235.4,12.05,+5.395120%,226.06,225.73,238.116,"10,621,795","2,479,348,655.333500",2020-09-30,12629000000,-6482000000,2759000000,9870000000,16179000000,3367000000,4299000000,1668000000,4060000000,4299000000,509000000,1848000000,932000000,3367000000,3233000000,134000000,2996000000,0,-25433000000,-20527000000,-8639000000,74830000000,589000000,19655000000,-29742000000,30428000000,1404000000,-1744000000,-1940000000,435000000,4906000000,20602000000,1132059000000,632000000,81598000000,1039409000000,92650000000,125160000000,9000000,109033000000,244628000000,4333000000,3873000000,141491000000,563726000000,400996000000,-1175000000,25783000000,1019835000000,489192000000,76482000000,111181000000,227189000000,187357000000,9000000,11203000000,109033000000,-85930000000,739624000000,851467000000,227189000000,359829000000,735906000000,55662000000,1132059000000,153201000000,344070790
2020-11-20,223.35,4.27,+1.949060%,223.53,218.33,227.72,"11,937,935","2,669,144,434.397000",2020-09-30,12629000000,-6482000000,2759000000,9870000000,16179000000,3367000000,4299000000,1668000000,4060000000,4299000000,509000000,1848000000,932000000,3367000000,3233000000,134000000,2996000000,0,-25433000000,-20527000000,-8639000000,74830000000,589000000,19655000000,-29742000000,30428000000,1404000000,-1744000000,-1940000000,435000000,4906000000,20602000000,1132059000000,632000000,81598000000,1039409000000,92650000000,125160000000,9000000,109033000000,244628000000,4333000000,3873000000,141491000000,563726000000,400996000000,-1175000000,25783000000,1019835000000,489192000000,76482000000,111181000000,227189000000,187357000000,9000000,11203000000,109033000000,-85930000000,739624000000,851467000000,227189000000,359829000000,735906000000,55662000000,1132059000000,153201000000,344070790
2020-11-13,219.08,17.82,+8.854218%,214.49,209.37,220.96,"19,649,608","4,239,336,383.804800",2020-09-30,12629000000,-6482000000,2759000000,9870000000,16179000000,3367000000,4299000000,1668000000,4060000000,4299000000,509000000,1848000000,932000000,3367000000,3233000000,134000000,2996000000,0,-25433000000,-20527000000,-8639000000,74830000000,589000000,19655000000,-29742000000,30428000000,1404000000,-1744000000,-1940000000,435000000,4906000000,20602000000,1132059000000,632000000,81598000000,1039409000000,92650000000,125160000000,9000000,109033000000,244628000000,4333000000,3873000000,141491000000,563726000000,400996000000,-1175000000,25783000000,1019835000000,489192000000,76482000000,111181000000,227189000000,187357000000,9000000,11203000000,109033000000,-85930000000,739624000000,851467000000,227189000000,359829000000,735906000000,55662000000,1132059000000,153201000000,344070790
2020-11-06,201.26,12.22,+6.464240%,192.0,188.23,204.39,"16,241,476","3,219,560,247.043200",2020-09-30,12629000000,-6482000000,2759000000,9870000000,16179000000,3367000000,4299000000,1668000000,4060000000,4299000000,509000000,1848000000,932000000,3367000000,3233000000,134000000,2996000000,0,-25433000000,-20527000000,-8639000000,74830000000,589000000,19655000000,-29742000000,30428000000,1404000000,-1744000000,-1940000000,435000000,4906000000,20602000000,1132059000000,632000000,81598000000,1039409000000,92650000000,125160000000,9000000,109033000000,244628000000,4333000000,3873000000,141491000000,563726000000,400996000000,-1175000000,25783000000,1019835000000,489192000000,76482000000,111181000000,227189000000,187357000000,9000000,11203000000,109033000000,-85930000000,739624000000,851467000000,227189000000,359829000000,735906000000,55662000000,1132059000000,153201000000,344070790
2020-10-30,189.04,-16.0,-7.803355%,202.49,185.52,202.81,"18,137,036","3,498,037,815.494500",2020-09-30,12629000000,-6482000000,2759000000,9870000000,16179000000,3367000000,4299000000,1668000000,4060000000,4299000000,509000000,1848000000,932000000,3367000000,3233000000,134000000,2996000000,0,-25433000000,-20527000000,-8639000000,74830000000,589000000,19655000000,-29742000000,30428000000,1404000000,-1744000000,-1940000000,435000000,4906000000,20602000000,1132059000000,632000000,81598000000,1039409000000,92650000000,125160000000,9000000,109033000000,244628000000,4333000000,3873000000,141491000000,563726000000,400996000000,-1175000000,25783000000,1019835000000,489192000000,76482000000,111181000000,227189000000,187357000000,9000000,11203000000,109033000000,-85930000000,739624000000,851467000000,227189000000,359829000000,735906000000,55662000000,1132059000000,153201000000,344070790
2020-10-23,205.04,-1.17,-0.567383%,207.39,202.01,211.38,"13,903,549","2,865,501,896.305500",2020-09-30,12629000000,-6482000000,2759000000,9870000000,16179000000,3367000000,4299000000,1668000000,4060000000,4299000000,509000000,1848000000,932000000,3367000000,3233000000,134000000,2996000000,0,-25433000000,-20527000000,-8639000000,74830000000,589000000,19655000000,-29742000000,30428000000,1404000000,-1744000000,-1940000000,435000000,4906000000,20602000000,1132059000000,632000000,81598000000,1039409000000,92650000000,125160000000,9000000,109033000000,244628000000,4333000000,3873000000,141491000000,563726000000,400996000000,-1175000000,25783000000,1019835000000,489192000000,76482000000,111181000000,227189000000,187357000000,9000000,11203000000,109033000000,-85930000000,739624000000,851467000000,227189000000,359829000000,735906000000,55662000000,1132059000000,153201000000,344070790
2020-10-16,206.21,-1.33,-0.640840%,207.41,205.81,214.89,"21,929,210","4,624,427,708.855000",2020-09-30,12629000000,-6482000000,2759000000,9870000000,16179000000,3367000000,4299000000,1668000000,4060000000,4299000000,509000000,1848000000,932000000,3367000000,3233000000,134000000,2996000000,0,-25433000000,-20527000000,-8639000000,74830000000,589000000,19655000000,-29742000000,30428000000,1404000000,-1744000000,-1940000000,435000000,4906000000,20602000000,1132059000000,632000000,81598000000,1039409000000,92650000000,125160000000,9000000,109033000000,244628000000,4333000000,3873000000,141491000000,563726000000,400996000000,-1175000000,25783000000,1019835000000,489192000000,76482000000,111181000000,227189000000,187357000000,9000000,11203000000,109033000000,-85930000000,739624000000,851467000000,227189000000,359829000000,735906000000,55662000000,1132059000000,153201000000,344070790
2020-10-09,207.54,7.64,+3.821911%,201.93,199.59,209.81,"13,083,201","2,678,099,544.095200",2020-09-30,12629000000,-6482000000,2759000000,9870000000,16179000000,3367000000,4299000000,1668000000,4060000000,4299000000,509000000,1848000000,932000000,3367000000,3233000000,134000000,2996000000,0,-25433000000,-20527000000,-8639000000,74830000000,589000000,19655000000,-29742000000,30428000000,1404000000,-1744000000,-1940000000,435000000,4906000000,20602000000,1132059000000,632000000,81598000000,1039409000000,92650000000,125160000000,9000000,109033000000,244628000000,4333000000,3873000000,141491000000,563726000000,400996000000,-1175000000,25783000000,1019835000000,489192000000,76482000000,111181000000,227189000000,187357000000,9000000,11203000000,109033000000,-85930000000,739624000000,851467000000,227189000000,359829000000,735906000000,55662000000,1132059000000,153201000000,344070790
2020-10-02,199.9,4.95,+2.539113%,197.78,195.29,203.13,"13,587,729","2,709,154,894.849200",2020-09-30,12629000000,-6482000000,2759000000,9870000000,16179000000,3367000000,4299000000,1668000000,4060000000,4299000000,509000000,1848000000,932000000,3367000000,3233000000,134000000,2996000000,0,-25433000000,-20527000000,-8639000000,74830000000,589000000,19655000000,-29742000000,30428000000,1404000000,-1744000000,-1940000000,435000000,4906000000,20602000000,1132059000000,632000000,81598000000,1039409000000,92650000000,125160000000,9000000,109033000000,244628000000,4333000000,3873000000,141491000000,563726000000,400996000000,-1175000000,25783000000,1019835000000,489192000000,76482000000,111181000000,227189000000,187357000000,9000000,11203000000,109033000000,-85930000000,739624000000,851467000000,227189000000,359829000000,735906000000,55662000000,1132059000000,153201000000,344070790
2020-09-25,194.95,0.09,+0.046187%,189.9,185.865,197.4594,"19,563,764","3,749,878,318.160800",2020-06-30,12351000000,-12004000000,3035000000,12351000000,24355000000,373000000,1291000000,1025000000,10414000000,24355000000,-1590000000,-944000000,918000000,373000000,197000000,176000000,4547000000,0,3907000000,425000000,5885000000,34850000000,29825000000,27110000000,-11647000000,-13696000000,499000000,-626000000,-234000000,1177000000,1065000000,27110000000,1141523000000,596000000,142806000000,1051494000000,90029000000,294434000000,9000000,106248000000,226192000000,4196000000,38000000000,132599000000,310994000000,16560000000,2862000000,26045000000,275405000000,117094000000,78826000000,106489000000,384934000000,199211000000,9000000,11203000000,106248000000,-85930000000,749024000000,866118000000,384934000000,355566000000,740500000000,55637000000,1141523000000,132599000000,343935256
