Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,fiscalDateEnding,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,incomeBeforeTax,sellingGeneralAdministrative,operatingIncome,interestExpense,incomeTaxExpense,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInCash,operatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInNetIncome,capitalExpenditures,totalAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,otherCurrentLiabilities,commonStock,retainedEarnings,cash,totalCurrentLiabilities,shortTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,netTangibleAssets,netReceivables,inventory,accountsPayable,treasuryStock,totalNonCurrentAssets,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,capitalSurplus,cashAndShortTermInvestments,commonStockSharesOutstanding
2020-11-27,275.99,6.18,+2.290501%,270.01,269.55,276.58,"12,696,613","3,469,943,856.024500",2020-08-31,38053000000,6874000000,25112000000,12941000000,6076000000,4332000000,5730000000,5876000000,6067000000,346000000,1398000000,4332000000,4332000000,2806000000,-1020000000,12000000,-1779000000,-1797000000,-127000000,12006000000,14829000000,1222000000,-3223000000,-627000000,1553000000,64000000,1032000000,63349000000,1162000000,63763000000,-414000000,2511000000,89000000,55074000000,14139000000,24199000000,2476000000,-1012000000,28823000000,31361000000,-2647000000,2562000000,13498000000,11691000000,-65793000000,31988000000,32370000000,7194000000,39564000000,11228000000,14139000000,1076000000
2020-11-20,269.81,-7.36,-2.655410%,279.18,268.7,281.29,"27,056,563","7,378,384,900.353300",2020-08-31,38053000000,6874000000,25112000000,12941000000,6076000000,4332000000,5730000000,5876000000,6067000000,346000000,1398000000,4332000000,4332000000,2806000000,-1020000000,12000000,-1779000000,-1797000000,-127000000,12006000000,14829000000,1222000000,-3223000000,-627000000,1553000000,64000000,1032000000,63349000000,1162000000,63763000000,-414000000,2511000000,89000000,55074000000,14139000000,24199000000,2476000000,-1012000000,28823000000,31361000000,-2647000000,2562000000,13498000000,11691000000,-65793000000,31988000000,32370000000,7194000000,39564000000,11228000000,14139000000,1076000000
2020-11-13,277.17,-7.07,-2.487335%,287.98,269.25,288.42,"23,434,816","6,472,003,991.317300",2020-08-31,38053000000,6874000000,25112000000,12941000000,6076000000,4332000000,5730000000,5876000000,6067000000,346000000,1398000000,4332000000,4332000000,2806000000,-1020000000,12000000,-1779000000,-1797000000,-127000000,12006000000,14829000000,1222000000,-3223000000,-627000000,1553000000,64000000,1032000000,63349000000,1162000000,63763000000,-414000000,2511000000,89000000,55074000000,14139000000,24199000000,2476000000,-1012000000,28823000000,31361000000,-2647000000,2562000000,13498000000,11691000000,-65793000000,31988000000,32370000000,7194000000,39564000000,11228000000,14139000000,1076000000
2020-11-06,284.24,17.53,+6.572682%,270.15,268.52,288.998,"14,875,305","4,172,582,572.005900",2020-08-31,38053000000,6874000000,25112000000,12941000000,6076000000,4332000000,5730000000,5876000000,6067000000,346000000,1398000000,4332000000,4332000000,2806000000,-1020000000,12000000,-1779000000,-1797000000,-127000000,12006000000,14829000000,1222000000,-3223000000,-627000000,1553000000,64000000,1032000000,63349000000,1162000000,63763000000,-414000000,2511000000,89000000,55074000000,14139000000,24199000000,2476000000,-1012000000,28823000000,31361000000,-2647000000,2562000000,13498000000,11691000000,-65793000000,31988000000,32370000000,7194000000,39564000000,11228000000,14139000000,1076000000
2020-10-30,266.71,-16.29,-5.756184%,279.64,262.03,281.5299,"15,929,079","4,326,026,681.020000",2020-08-31,38053000000,6874000000,25112000000,12941000000,6076000000,4332000000,5730000000,5876000000,6067000000,346000000,1398000000,4332000000,4332000000,2806000000,-1020000000,12000000,-1779000000,-1797000000,-127000000,12006000000,14829000000,1222000000,-3223000000,-627000000,1553000000,64000000,1032000000,63349000000,1162000000,63763000000,-414000000,2511000000,89000000,55074000000,14139000000,24199000000,2476000000,-1012000000,28823000000,31361000000,-2647000000,2562000000,13498000000,11691000000,-65793000000,31988000000,32370000000,7194000000,39564000000,11228000000,14139000000,1076000000
2020-10-23,283.0,-4.66,-1.619968%,289.76,279.55,290.11,"11,552,763","3,287,745,514.092800",2020-08-31,38053000000,6874000000,25112000000,12941000000,6076000000,4332000000,5730000000,5876000000,6067000000,346000000,1398000000,4332000000,4332000000,2806000000,-1020000000,12000000,-1779000000,-1797000000,-127000000,12006000000,14829000000,1222000000,-3223000000,-627000000,1553000000,64000000,1032000000,63349000000,1162000000,63763000000,-414000000,2511000000,89000000,55074000000,14139000000,24199000000,2476000000,-1012000000,28823000000,31361000000,-2647000000,2562000000,13498000000,11691000000,-65793000000,31988000000,32370000000,7194000000,39564000000,11228000000,14139000000,1076000000
2020-10-16,287.66,1.74,+0.608562%,287.39,283.12,292.655,"13,142,503","3,787,216,591.200600",2020-08-31,38053000000,6874000000,25112000000,12941000000,6076000000,4332000000,5730000000,5876000000,6067000000,346000000,1398000000,4332000000,4332000000,2806000000,-1020000000,12000000,-1779000000,-1797000000,-127000000,12006000000,14829000000,1222000000,-3223000000,-627000000,1553000000,64000000,1032000000,63349000000,1162000000,63763000000,-414000000,2511000000,89000000,55074000000,14139000000,24199000000,2476000000,-1012000000,28823000000,31361000000,-2647000000,2562000000,13498000000,11691000000,-65793000000,31988000000,32370000000,7194000000,39564000000,11228000000,14139000000,1076000000
2020-10-09,285.92,6.61,+2.366546%,280.92,275.77,287.28,"13,243,222","3,737,173,140.926100",2020-08-31,38053000000,6874000000,25112000000,12941000000,6076000000,4332000000,5730000000,5876000000,6067000000,346000000,1398000000,4332000000,4332000000,2806000000,-1020000000,12000000,-1779000000,-1797000000,-127000000,12006000000,14829000000,1222000000,-3223000000,-627000000,1553000000,64000000,1032000000,63349000000,1162000000,63763000000,-414000000,2511000000,89000000,55074000000,14139000000,24199000000,2476000000,-1012000000,28823000000,31361000000,-2647000000,2562000000,13498000000,11691000000,-65793000000,31988000000,32370000000,7194000000,39564000000,11228000000,14139000000,1076000000
2020-10-02,279.31,10.76,+4.006703%,271.93,270.3,281.08,"15,529,894","4,288,417,551.817900",2020-08-31,38053000000,6874000000,25112000000,12941000000,6076000000,4332000000,5730000000,5876000000,6067000000,346000000,1398000000,4332000000,4332000000,2806000000,-1020000000,12000000,-1779000000,-1797000000,-127000000,12006000000,14829000000,1222000000,-3223000000,-627000000,1553000000,64000000,1032000000,63349000000,1162000000,63763000000,-414000000,2511000000,89000000,55074000000,14139000000,24199000000,2476000000,-1012000000,28823000000,31361000000,-2647000000,2562000000,13498000000,11691000000,-65793000000,31988000000,32370000000,7194000000,39564000000,11228000000,14139000000,1076000000
2020-09-25,268.55,-6.64,-2.412878%,271.87,263.8801,276.62,"16,541,094","4,450,451,321.895700",2020-08-31,38053000000,6874000000,25112000000,12941000000,6076000000,4332000000,5730000000,5876000000,6067000000,346000000,1398000000,4332000000,4332000000,2806000000,-1020000000,12000000,-1779000000,-1797000000,-127000000,12006000000,14829000000,1222000000,-3223000000,-627000000,1553000000,64000000,1032000000,63349000000,1162000000,63763000000,-414000000,2511000000,89000000,55074000000,14139000000,24199000000,2476000000,-1012000000,28823000000,31361000000,-2647000000,2562000000,13498000000,11691000000,-65793000000,31988000000,32370000000,7194000000,39564000000,11228000000,14139000000,1076000000
