Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,fiscalDateEnding,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,operatingIncome,otherOperatingExpense,interestExpense,extraordinaryItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,investments,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,changeInCash,operatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,totalAssets,intangibleAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,treasuryStock,otherNonCurrrentAssets,totalNonCurrentAssets,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,cashAndShortTermInvestments
2020-11-27,124.35,7.41,+6.336583%,117.43,117.27,125.313,"19,641,205","2,407,281,979.105600",2020-09-30,17560000000,15157000000,9130000000,8430000000,3833000000,1698000000,1515000000,1827000000,126000000,4351000000,1827000000,-123000000,310000000,20000000,128000000,-268000000,-1000000,1698000000,1698000000,-332000000,-2470000000,-61000000,-250000000,-3428000000,6239000000,12337000000,3138000000,-4343000000,-225000000,2353000000,140000000,2409000000,154128000000,13962000000,2245000000,132920000000,21208000000,2438000000,14535000000,448245750,162806000000,36037000000,58355000000,18926000000,14393000000,37993000000,609000000,-28584000000,14673000000,39845000000,1944000000,-51109000000,1200000000,6627000000,55129000000,1949000000,3985000000,-169380000000,14789000000,114282000000,55129000000,15485000000,94801000000,15593000000
2020-11-20,116.94,0.09,+0.077022%,118.3,115.89,118.88,"22,498,909","2,645,412,150.618500",2020-09-30,17560000000,15157000000,9130000000,8430000000,3833000000,1698000000,1515000000,1827000000,126000000,4351000000,1827000000,-123000000,310000000,20000000,128000000,-268000000,-1000000,1698000000,1698000000,-332000000,-2470000000,-61000000,-250000000,-3428000000,6239000000,12337000000,3138000000,-4343000000,-225000000,2353000000,140000000,2409000000,154128000000,13962000000,2245000000,132920000000,21208000000,2438000000,14535000000,448245750,162806000000,36037000000,58355000000,18926000000,14393000000,37993000000,609000000,-28584000000,14673000000,39845000000,1944000000,-51109000000,1200000000,6627000000,55129000000,1949000000,3985000000,-169380000000,14789000000,114282000000,55129000000,15485000000,94801000000,15593000000
2020-11-13,116.85,2.81,+2.464048%,117.88,113.48,119.74,"30,088,820","3,504,422,102.857500",2020-09-30,17560000000,15157000000,9130000000,8430000000,3833000000,1698000000,1515000000,1827000000,126000000,4351000000,1827000000,-123000000,310000000,20000000,128000000,-268000000,-1000000,1698000000,1698000000,-332000000,-2470000000,-61000000,-250000000,-3428000000,6239000000,12337000000,3138000000,-4343000000,-225000000,2353000000,140000000,2409000000,154128000000,13962000000,2245000000,132920000000,21208000000,2438000000,14535000000,448245750,162806000000,36037000000,58355000000,18926000000,14393000000,37993000000,609000000,-28584000000,14673000000,39845000000,1944000000,-51109000000,1200000000,6627000000,55129000000,1949000000,3985000000,-169380000000,14789000000,114282000000,55129000000,15485000000,94801000000,15593000000
2020-11-06,114.04,2.38,+2.131471%,112.65,111.16,115.65,"25,467,232","2,895,903,020.051800",2020-09-30,17560000000,15157000000,9130000000,8430000000,3833000000,1698000000,1515000000,1827000000,126000000,4351000000,1827000000,-123000000,310000000,20000000,128000000,-268000000,-1000000,1698000000,1698000000,-332000000,-2470000000,-61000000,-250000000,-3428000000,6239000000,12337000000,3138000000,-4343000000,-225000000,2353000000,140000000,2409000000,154128000000,13962000000,2245000000,132920000000,21208000000,2438000000,14535000000,448245750,162806000000,36037000000,58355000000,18926000000,14393000000,37993000000,609000000,-28584000000,14673000000,39845000000,1944000000,-51109000000,1200000000,6627000000,55129000000,1949000000,3985000000,-169380000000,14789000000,114282000000,55129000000,15485000000,94801000000,15593000000
2020-10-30,111.66,-4.34,-3.741379%,114.45,105.92,114.9,"37,250,916","4,088,463,261.871400",2020-09-30,17560000000,15157000000,9130000000,8430000000,3833000000,1698000000,1515000000,1827000000,126000000,4351000000,1827000000,-123000000,310000000,20000000,128000000,-268000000,-1000000,1698000000,1698000000,-332000000,-2470000000,-61000000,-250000000,-3428000000,6239000000,12337000000,3138000000,-4343000000,-225000000,2353000000,140000000,2409000000,154128000000,13962000000,2245000000,132920000000,21208000000,2438000000,14535000000,448245750,162806000000,36037000000,58355000000,18926000000,14393000000,37993000000,609000000,-28584000000,14673000000,39845000000,1944000000,-51109000000,1200000000,6627000000,55129000000,1949000000,3985000000,-169380000000,14789000000,114282000000,55129000000,15485000000,94801000000,15593000000
2020-10-23,116.0,-9.93,-7.885333%,126.8,112.98,127.35,"50,486,636","5,957,194,698.354700",2020-09-30,17560000000,15157000000,9130000000,8430000000,3833000000,1698000000,1515000000,1827000000,126000000,4351000000,1827000000,-123000000,310000000,20000000,128000000,-268000000,-1000000,1698000000,1698000000,-332000000,-2470000000,-61000000,-250000000,-3428000000,6239000000,12337000000,3138000000,-4343000000,-225000000,2353000000,140000000,2409000000,154128000000,13962000000,2245000000,132920000000,21208000000,2438000000,14535000000,448245750,162806000000,36037000000,58355000000,18926000000,14393000000,37993000000,609000000,-28584000000,14673000000,39845000000,1944000000,-51109000000,1200000000,6627000000,55129000000,1949000000,3985000000,-169380000000,14789000000,114282000000,55129000000,15485000000,94801000000,15593000000
2020-10-16,125.93,-1.86,-1.455513%,128.07,123.85,128.25,"21,874,963","2,753,797,883.440000",2020-09-30,17560000000,15157000000,9130000000,8430000000,3833000000,1698000000,1515000000,1827000000,126000000,4351000000,1827000000,-123000000,310000000,20000000,128000000,-268000000,-1000000,1698000000,1698000000,-332000000,-2470000000,-61000000,-250000000,-3428000000,6239000000,12337000000,3138000000,-4343000000,-225000000,2353000000,140000000,2409000000,154128000000,13962000000,2245000000,132920000000,21208000000,2438000000,14535000000,448245750,162806000000,36037000000,58355000000,18926000000,14393000000,37993000000,609000000,-28584000000,14673000000,39845000000,1944000000,-51109000000,1200000000,6627000000,55129000000,1949000000,3985000000,-169380000000,14789000000,114282000000,55129000000,15485000000,94801000000,15593000000
2020-10-09,127.79,7.22,+5.988223%,121.84,121.05,135.5,"43,381,507","5,626,314,616.872600",2020-09-30,17560000000,15157000000,9130000000,8430000000,3833000000,1698000000,1515000000,1827000000,126000000,4351000000,1827000000,-123000000,310000000,20000000,128000000,-268000000,-1000000,1698000000,1698000000,-332000000,-2470000000,-61000000,-250000000,-3428000000,6239000000,12337000000,3138000000,-4343000000,-225000000,2353000000,140000000,2409000000,154128000000,13962000000,2245000000,132920000000,21208000000,2438000000,14535000000,448245750,162806000000,36037000000,58355000000,18926000000,14393000000,37993000000,609000000,-28584000000,14673000000,39845000000,1944000000,-51109000000,1200000000,6627000000,55129000000,1949000000,3985000000,-169380000000,14789000000,114282000000,55129000000,15485000000,94801000000,15593000000
2020-10-02,120.57,1.62,+1.361917%,120.57,118.82,123.3,"15,038,264","1,825,203,094.874600",2020-09-30,17560000000,15157000000,9130000000,8430000000,3833000000,1698000000,1515000000,1827000000,126000000,4351000000,1827000000,-123000000,310000000,20000000,128000000,-268000000,-1000000,1698000000,1698000000,-332000000,-2470000000,-61000000,-250000000,-3428000000,6239000000,12337000000,3138000000,-4343000000,-225000000,2353000000,140000000,2409000000,154128000000,13962000000,2245000000,132920000000,21208000000,2438000000,14535000000,448245750,162806000000,36037000000,58355000000,18926000000,14393000000,37993000000,609000000,-28584000000,14673000000,39845000000,1944000000,-51109000000,1200000000,6627000000,55129000000,1949000000,3985000000,-169380000000,14789000000,114282000000,55129000000,15485000000,94801000000,15593000000
2020-09-25,118.95,-3.81,-3.103617%,120.48,116.48,121.59,"18,708,494","2,229,916,146.209300",2020-06-30,18123000000,6627000000,9423000000,8700000000,1894000000,1361000000,1582000000,1571000000,137000000,5045000000,2073000000,-202000000,323000000,-1000000,209000000,-200000000,-1000000,1362000000,1361000000,-1263000000,-1236000000,613000000,-38000000,-1624000000,716000000,3576000000,1679000000,-1450000000,-167000000,589000000,247000000,585000000,154200000000,14270000000,4387000000,133512000000,20551000000,3787000000,13812000000,56135000000,162559000000,35937000000,57833000000,18500000000,12188000000,38442000000,9289000000,-198143000000,9709000000,39953000000,9272000000,-51552000000,2063000000,19447000000,55449000000,1869000000,15341000000,-169386000000,14473000000,8689000000,55449000000,35833000000,95069000000,14251000000
2020-09-18,122.76,1.3,+1.070311%,122.36,121.76,125.82,"18,909,398","2,335,179,511.926900",2020-06-30,18123000000,6627000000,9423000000,8700000000,1894000000,1361000000,1582000000,1571000000,137000000,5045000000,2073000000,-202000000,323000000,-1000000,209000000,-200000000,-1000000,1362000000,1361000000,-1263000000,-1236000000,613000000,-38000000,-1624000000,716000000,3576000000,1679000000,-1450000000,-167000000,589000000,247000000,585000000,154200000000,14270000000,4387000000,133512000000,20551000000,3787000000,13812000000,56135000000,162559000000,35937000000,57833000000,18500000000,12188000000,38442000000,9289000000,-198143000000,9709000000,39953000000,9272000000,-51552000000,2063000000,19447000000,55449000000,1869000000,15341000000,-169386000000,14473000000,8689000000,55449000000,35833000000,95069000000,14251000000
2020-09-11,121.46,-0.84,-0.686836%,122.16,120.24,123.7,"16,507,866","2,010,699,812.463300",2020-06-30,18123000000,6627000000,9423000000,8700000000,1894000000,1361000000,1582000000,1571000000,137000000,5045000000,2073000000,-202000000,323000000,-1000000,209000000,-200000000,-1000000,1362000000,1361000000,-1263000000,-1236000000,613000000,-38000000,-1624000000,716000000,3576000000,1679000000,-1450000000,-167000000,589000000,247000000,585000000,154200000000,14270000000,4387000000,133512000000,20551000000,3787000000,13812000000,56135000000,162559000000,35937000000,57833000000,18500000000,12188000000,38442000000,9289000000,-198143000000,9709000000,39953000000,9272000000,-51552000000,2063000000,19447000000,55449000000,1869000000,15341000000,-169386000000,14473000000,8689000000,55449000000,35833000000,95069000000,14251000000
2020-09-04,122.3,-2.77,-2.214760%,125.25,121.24,129.95,"26,310,920","3,281,266,779.810000",2020-06-30,18123000000,6627000000,9423000000,8700000000,1894000000,1361000000,1582000000,1571000000,137000000,5045000000,2073000000,-202000000,323000000,-1000000,209000000,-200000000,-1000000,1362000000,1361000000,-1263000000,-1236000000,613000000,-38000000,-1624000000,716000000,3576000000,1679000000,-1450000000,-167000000,589000000,247000000,585000000,154200000000,14270000000,4387000000,133512000000,20551000000,3787000000,13812000000,56135000000,162559000000,35937000000,57833000000,18500000000,12188000000,38442000000,9289000000,-198143000000,9709000000,39953000000,9272000000,-51552000000,2063000000,19447000000,55449000000,1869000000,15341000000,-169386000000,14473000000,8689000000,55449000000,35833000000,95069000000,14251000000
2020-08-28,125.07,1.91,+1.550828%,123.79,123.36,126.82,"16,959,794","2,116,767,687.588100",2020-06-30,18123000000,6627000000,9423000000,8700000000,1894000000,1361000000,1582000000,1571000000,137000000,5045000000,2073000000,-202000000,323000000,-1000000,209000000,-200000000,-1000000,1362000000,1361000000,-1263000000,-1236000000,613000000,-38000000,-1624000000,716000000,3576000000,1679000000,-1450000000,-167000000,589000000,247000000,585000000,154200000000,14270000000,4387000000,133512000000,20551000000,3787000000,13812000000,56135000000,162559000000,35937000000,57833000000,18500000000,12188000000,38442000000,9289000000,-198143000000,9709000000,39953000000,9272000000,-51552000000,2063000000,19447000000,55449000000,1869000000,15341000000,-169386000000,14473000000,8689000000,55449000000,35833000000,95069000000,14251000000
2020-08-21,123.16,-2.11,-1.684362%,125.25,122.31,125.59,"15,932,583","1,978,339,127.760200",2020-06-30,18123000000,6627000000,9423000000,8700000000,1894000000,1361000000,1582000000,1571000000,137000000,5045000000,2073000000,-202000000,323000000,-1000000,209000000,-200000000,-1000000,1362000000,1361000000,-1263000000,-1236000000,613000000,-38000000,-1624000000,716000000,3576000000,1679000000,-1450000000,-167000000,589000000,247000000,585000000,154200000000,14270000000,4387000000,133512000000,20551000000,3787000000,13812000000,56135000000,162559000000,35937000000,57833000000,18500000000,12188000000,38442000000,9289000000,-198143000000,9709000000,39953000000,9272000000,-51552000000,2063000000,19447000000,55449000000,1869000000,15341000000,-169386000000,14473000000,8689000000,55449000000,35833000000,95069000000,14251000000
2020-08-14,125.27,0.31,+0.248079%,125.42,123.91,130.47,"18,634,659","2,361,059,786.637900",2020-06-30,18123000000,6627000000,9423000000,8700000000,1894000000,1361000000,1582000000,1571000000,137000000,5045000000,2073000000,-202000000,323000000,-1000000,209000000,-200000000,-1000000,1362000000,1361000000,-1263000000,-1236000000,613000000,-38000000,-1624000000,716000000,3576000000,1679000000,-1450000000,-167000000,589000000,247000000,585000000,154200000000,14270000000,4387000000,133512000000,20551000000,3787000000,13812000000,56135000000,162559000000,35937000000,57833000000,18500000000,12188000000,38442000000,9289000000,-198143000000,9709000000,39953000000,9272000000,-51552000000,2063000000,19447000000,55449000000,1869000000,15341000000,-169386000000,14473000000,8689000000,55449000000,35833000000,95069000000,14251000000
2020-08-07,124.96,2.02,+1.643078%,123.5,122.15,126.75,"17,701,697","2,210,778,566.103800",2020-06-30,18123000000,6627000000,9423000000,8700000000,1894000000,1361000000,1582000000,1571000000,137000000,5045000000,2073000000,-202000000,323000000,-1000000,209000000,-200000000,-1000000,1362000000,1361000000,-1263000000,-1236000000,613000000,-38000000,-1624000000,716000000,3576000000,1679000000,-1450000000,-167000000,589000000,247000000,585000000,154200000000,14270000000,4387000000,133512000000,20551000000,3787000000,13812000000,56135000000,162559000000,35937000000,57833000000,18500000000,12188000000,38442000000,9289000000,-198143000000,9709000000,39953000000,9272000000,-51552000000,2063000000,19447000000,55449000000,1869000000,15341000000,-169386000000,14473000000,8689000000,55449000000,35833000000,95069000000,14251000000
2020-07-31,122.94,-2.85,-2.265681%,124.86,121.09,126.34,"20,010,578","2,481,526,907.480700",2020-06-30,18123000000,6627000000,9423000000,8700000000,1894000000,1361000000,1582000000,1571000000,137000000,5045000000,2073000000,-202000000,323000000,-1000000,209000000,-200000000,-1000000,1362000000,1361000000,-1263000000,-1236000000,613000000,-38000000,-1624000000,716000000,3576000000,1679000000,-1450000000,-167000000,589000000,247000000,585000000,154200000000,14270000000,4387000000,133512000000,20551000000,3787000000,13812000000,56135000000,162559000000,35937000000,57833000000,18500000000,12188000000,38442000000,9289000000,-198143000000,9709000000,39953000000,9272000000,-51552000000,2063000000,19447000000,55449000000,1869000000,15341000000,-169386000000,14473000000,8689000000,55449000000,35833000000,95069000000,14251000000
2020-07-24,125.79,0.68,+0.543522%,126.07,125.14,132.17,"41,239,194","5,287,149,944.531700",2020-06-30,18123000000,6627000000,9423000000,8700000000,1894000000,1361000000,1582000000,1571000000,137000000,5045000000,2073000000,-202000000,323000000,-1000000,209000000,-200000000,-1000000,1362000000,1361000000,-1263000000,-1236000000,613000000,-38000000,-1624000000,716000000,3576000000,1679000000,-1450000000,-167000000,589000000,247000000,585000000,154200000000,14270000000,4387000000,133512000000,20551000000,3787000000,13812000000,56135000000,162559000000,35937000000,57833000000,18500000000,12188000000,38442000000,9289000000,-198143000000,9709000000,39953000000,9272000000,-51552000000,2063000000,19447000000,55449000000,1869000000,15341000000,-169386000000,14473000000,8689000000,55449000000,35833000000,95069000000,14251000000
2020-07-17,125.11,6.76,+5.711872%,119.78,117.92,125.63,"21,977,825","2,684,518,995.465300",2020-06-30,18123000000,6627000000,9423000000,8700000000,1894000000,1361000000,1582000000,1571000000,137000000,5045000000,2073000000,-202000000,323000000,-1000000,209000000,-200000000,-1000000,1362000000,1361000000,-1263000000,-1236000000,613000000,-38000000,-1624000000,716000000,3576000000,1679000000,-1450000000,-167000000,589000000,247000000,585000000,154200000000,14270000000,4387000000,133512000000,20551000000,3787000000,13812000000,56135000000,162559000000,35937000000,57833000000,18500000000,12188000000,38442000000,9289000000,-198143000000,9709000000,39953000000,9272000000,-51552000000,2063000000,19447000000,55449000000,1869000000,15341000000,-169386000000,14473000000,8689000000,55449000000,35833000000,95069000000,14251000000
2020-07-10,118.35,-1.35,-1.127820%,121.25,115.2,121.85,"22,565,248","2,658,939,700.324800",2020-06-30,18123000000,6627000000,9423000000,8700000000,1894000000,1361000000,1582000000,1571000000,137000000,5045000000,2073000000,-202000000,323000000,-1000000,209000000,-200000000,-1000000,1362000000,1361000000,-1263000000,-1236000000,613000000,-38000000,-1624000000,716000000,3576000000,1679000000,-1450000000,-167000000,589000000,247000000,585000000,154200000000,14270000000,4387000000,133512000000,20551000000,3787000000,13812000000,56135000000,162559000000,35937000000,57833000000,18500000000,12188000000,38442000000,9289000000,-198143000000,9709000000,39953000000,9272000000,-51552000000,2063000000,19447000000,55449000000,1869000000,15341000000,-169386000000,14473000000,8689000000,55449000000,35833000000,95069000000,14251000000
2020-07-03,119.7,2.51,+2.141821%,117.98,117.37,121.42,"16,481,680","1,972,423,568.303600",2020-06-30,18123000000,6627000000,9423000000,8700000000,1894000000,1361000000,1582000000,1571000000,137000000,5045000000,2073000000,-202000000,323000000,-1000000,209000000,-200000000,-1000000,1362000000,1361000000,-1263000000,-1236000000,613000000,-38000000,-1624000000,716000000,3576000000,1679000000,-1450000000,-167000000,589000000,247000000,585000000,154200000000,14270000000,4387000000,133512000000,20551000000,3787000000,13812000000,56135000000,162559000000,35937000000,57833000000,18500000000,12188000000,38442000000,9289000000,-198143000000,9709000000,39953000000,9272000000,-51552000000,2063000000,19447000000,55449000000,1869000000,15341000000,-169386000000,14473000000,8689000000,55449000000,35833000000,95069000000,14251000000
2020-06-26,117.19,-5.28,-4.311260%,122.12,115.88,122.9,"35,037,827","4,148,251,744.213300",2020-03-31,17571000000,7464000000,9649000000,7922000000,276000000,1175000000,1625000000,-49000000,129000000,5839000000,458000000,-116000000,326000000,-150000000,-1226000000,-234000000,-1000000,1177000000,1175000000,-178000000,-902000000,-94000000,1356000000,-115000000,3459000000,4476000000,1634000000,-1440000000,-44000000,2381000000,189000000,630000000,153403000000,14666000000,4457000000,133275000000,19999000000,3769000000,14704000000,56092000000,162626000000,36118000000,57517000000,18266000000,11370000000,40673000000,11642000000,-198720000000,9626000000,38931000000,9619000000,-52184000000,647000000,20669000000,52685000000,1786000000,14326000000,-169437000000,14263000000,8782000000,52685000000,36147000000,92601000000,12017000000
