Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,fiscalDateEnding,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,incomeBeforeTax,sellingGeneralAdministrative,operatingIncome,interestExpense,incomeTaxExpense,totalOtherIncomeExpense,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,investments,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInCash,operatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInCashAndCashEquivalents,totalAssets,intangibleAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,commonStockTotalEquity,retainedEarningsTotalEquity,totalNonCurrentAssets,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,commonStockSharesOutstanding
2020-11-27,47.45,2.06,+4.538445%,45.48,45.45,48.1,"113,439,117","5,297,180,834.119050",2020-09-30,18333000000,13299000000,8592000000,9741000000,8324000000,4276000000,3272000000,5041000000,1435000000,5034000000,160000000,765000000,114000000,4276000000,4276000000,-766000000,-766000000,346000000,-1750000000,-12793000000,-2024000000,-5380000000,8179000000,3123000000,-1404000000,-10000000000,-299000000,301000000,439000000,3716000000,-5380000000,145261000000,9881000000,2119000000,70707000000,74554000000,2995000000,1205000000,23335000000,52159000000,12536000000,26955000000,6036000000,3356000000,22112000000,504000000,-940000000,59205000000,36785000000,6399000000,37718000000,14897000000,7140000000,36059000000,9273000000,5159000000,23335000000,52159000000,108476000000,36059000000,3349000000,48595000000,145261000000,18253000000,4098000000
2020-11-20,45.39,-0.07,-0.153982%,46.04,44.7,46.75,"153,864,634","7,022,474,273.677970",2020-09-30,18333000000,13299000000,8592000000,9741000000,8324000000,4276000000,3272000000,5041000000,1435000000,5034000000,160000000,765000000,114000000,4276000000,4276000000,-766000000,-766000000,346000000,-1750000000,-12793000000,-2024000000,-5380000000,8179000000,3123000000,-1404000000,-10000000000,-299000000,301000000,439000000,3716000000,-5380000000,145261000000,9881000000,2119000000,70707000000,74554000000,2995000000,1205000000,23335000000,52159000000,12536000000,26955000000,6036000000,3356000000,22112000000,504000000,-940000000,59205000000,36785000000,6399000000,37718000000,14897000000,7140000000,36059000000,9273000000,5159000000,23335000000,52159000000,108476000000,36059000000,3349000000,48595000000,145261000000,18253000000,4098000000
2020-11-13,45.46,0.07,+0.154219%,46.64,44.55,47.35,"193,011,151","8,837,067,144.012260",2020-09-30,18333000000,13299000000,8592000000,9741000000,8324000000,4276000000,3272000000,5041000000,1435000000,5034000000,160000000,765000000,114000000,4276000000,4276000000,-766000000,-766000000,346000000,-1750000000,-12793000000,-2024000000,-5380000000,8179000000,3123000000,-1404000000,-10000000000,-299000000,301000000,439000000,3716000000,-5380000000,145261000000,9881000000,2119000000,70707000000,74554000000,2995000000,1205000000,23335000000,52159000000,12536000000,26955000000,6036000000,3356000000,22112000000,504000000,-940000000,59205000000,36785000000,6399000000,37718000000,14897000000,7140000000,36059000000,9273000000,5159000000,23335000000,52159000000,108476000000,36059000000,3349000000,48595000000,145261000000,18253000000,4098000000
2020-11-06,45.39,1.11,+2.506775%,44.96,44.24,46.38,"169,529,320","7,678,041,791.181100",2020-09-30,18333000000,13299000000,8592000000,9741000000,8324000000,4276000000,3272000000,5041000000,1435000000,5034000000,160000000,765000000,114000000,4276000000,4276000000,-766000000,-766000000,346000000,-1750000000,-12793000000,-2024000000,-5380000000,8179000000,3123000000,-1404000000,-10000000000,-299000000,301000000,439000000,3716000000,-5380000000,145261000000,9881000000,2119000000,70707000000,74554000000,2995000000,1205000000,23335000000,52159000000,12536000000,26955000000,6036000000,3356000000,22112000000,504000000,-940000000,59205000000,36785000000,6399000000,37718000000,14897000000,7140000000,36059000000,9273000000,5159000000,23335000000,52159000000,108476000000,36059000000,3349000000,48595000000,145261000000,18253000000,4098000000
2020-10-30,44.28,-3.92,-8.132780%,47.85,43.61,47.86,"232,948,792","10,526,276,867.268100",2020-09-30,18333000000,13299000000,8592000000,9741000000,8324000000,4276000000,3272000000,5041000000,1435000000,5034000000,160000000,765000000,114000000,4276000000,4276000000,-766000000,-766000000,346000000,-1750000000,-12793000000,-2024000000,-5380000000,8179000000,3123000000,-1404000000,-10000000000,-299000000,301000000,439000000,3716000000,-5380000000,145261000000,9881000000,2119000000,70707000000,74554000000,2995000000,1205000000,23335000000,52159000000,12536000000,26955000000,6036000000,3356000000,22112000000,504000000,-940000000,59205000000,36785000000,6399000000,37718000000,14897000000,7140000000,36059000000,9273000000,5159000000,23335000000,52159000000,108476000000,36059000000,3349000000,48595000000,145261000000,18253000000,4098000000
2020-10-23,48.2,-5.96,-11.004431%,54.47,47.66,56.23,"231,473,372","11,866,547,048.039000",2020-09-30,18333000000,13299000000,8592000000,9741000000,8324000000,4276000000,3272000000,5041000000,1435000000,5034000000,160000000,765000000,114000000,4276000000,4276000000,-766000000,-766000000,346000000,-1750000000,-12793000000,-2024000000,-5380000000,8179000000,3123000000,-1404000000,-10000000000,-299000000,301000000,439000000,3716000000,-5380000000,145261000000,9881000000,2119000000,70707000000,74554000000,2995000000,1205000000,23335000000,52159000000,12536000000,26955000000,6036000000,3356000000,22112000000,504000000,-940000000,59205000000,36785000000,6399000000,37718000000,14897000000,7140000000,36059000000,9273000000,5159000000,23335000000,52159000000,108476000000,36059000000,3349000000,48595000000,145261000000,18253000000,4098000000
2020-10-16,54.16,1.34,+2.536918%,53.55,52.62,54.7,"110,888,601","5,974,685,432.027150",2020-09-30,18333000000,13299000000,8592000000,9741000000,8324000000,4276000000,3272000000,5041000000,1435000000,5034000000,160000000,765000000,114000000,4276000000,4276000000,-766000000,-766000000,346000000,-1750000000,-12793000000,-2024000000,-5380000000,8179000000,3123000000,-1404000000,-10000000000,-299000000,301000000,439000000,3716000000,-5380000000,145261000000,9881000000,2119000000,70707000000,74554000000,2995000000,1205000000,23335000000,52159000000,12536000000,26955000000,6036000000,3356000000,22112000000,504000000,-940000000,59205000000,36785000000,6399000000,37718000000,14897000000,7140000000,36059000000,9273000000,5159000000,23335000000,52159000000,108476000000,36059000000,3349000000,48595000000,145261000000,18253000000,4098000000
2020-10-09,52.82,1.81,+3.548324%,51.3,51.23,53.85,"115,218,143","6,049,981,523.950050",2020-09-30,18333000000,13299000000,8592000000,9741000000,8324000000,4276000000,3272000000,5041000000,1435000000,5034000000,160000000,765000000,114000000,4276000000,4276000000,-766000000,-766000000,346000000,-1750000000,-12793000000,-2024000000,-5380000000,8179000000,3123000000,-1404000000,-10000000000,-299000000,301000000,439000000,3716000000,-5380000000,145261000000,9881000000,2119000000,70707000000,74554000000,2995000000,1205000000,23335000000,52159000000,12536000000,26955000000,6036000000,3356000000,22112000000,504000000,-940000000,59205000000,36785000000,6399000000,37718000000,14897000000,7140000000,36059000000,9273000000,5159000000,23335000000,52159000000,108476000000,36059000000,3349000000,48595000000,145261000000,18253000000,4098000000
2020-10-02,51.01,1.07,+2.142571%,50.51,50.16,52.72,"124,990,386","6,442,632,966.075340",2020-09-30,18333000000,13299000000,8592000000,9741000000,8324000000,4276000000,3272000000,5041000000,1435000000,5034000000,160000000,765000000,114000000,4276000000,4276000000,-766000000,-766000000,346000000,-1750000000,-12793000000,-2024000000,-5380000000,8179000000,3123000000,-1404000000,-10000000000,-299000000,301000000,439000000,3716000000,-5380000000,145261000000,9881000000,2119000000,70707000000,74554000000,2995000000,1205000000,23335000000,52159000000,12536000000,26955000000,6036000000,3356000000,22112000000,504000000,-940000000,59205000000,36785000000,6399000000,37718000000,14897000000,7140000000,36059000000,9273000000,5159000000,23335000000,52159000000,108476000000,36059000000,3349000000,48595000000,145261000000,18253000000,4098000000
2020-09-25,49.94,0.05,+0.100220%,49.39,48.42,50.28,"135,723,581","6,707,717,431.325500",2020-06-30,19728000000,4810000000,9221000000,10507000000,5668000000,5105000000,3354000000,5935000000,1447000000,5697000000,186000000,830000000,332000000,5105000000,5105000000,-6963000000,-10610000000,-239000000,-1700000000,-3191000000,-97000000,-2644000000,11157000000,3063000000,-1403000000,9000000,277000000,1020000000,6052000000,3408000000,-2644000000,152539000000,10303000000,2165000000,69200000000,82010000000,2723000000,12349000000,25516000000,57646000000,11955000000,26943000000,6082000000,8736000000,22481000000,2254000000,-1152000000,58036000000,44390000000,2884000000,46093000000,17079000000,7441000000,36093000000,8969000000,7878000000,25516000000,57646000000,108149000000,36093000000,7903000000,46719000000,152539000000,25815000000,4253000000
