Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,fiscalDateEnding,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,incomeBeforeTax,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,interestExpense,nonRecurring,incomeTaxExpense,totalOtherIncomeExpense,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInCashAndCashEquivalents,totalAssets,intangibleAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,commonStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,otherNonCurrrentAssets,totalNonCurrentAssets,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,liabilitiesAndShareholderEquity,cashAndShortTermInvestments
2020-11-27,144.0,-2.36,-1.612462%,146.01,142.86,146.01,"29,010,696","4,173,821,577.054500",2020-09-30,21082000000,15381000000,6940000000,14142000000,5701000000,3554000000,2978000000,4401000000,5431000000,-1188000000,4401000000,32000000,206000000,847000000,-1268000000,3554000000,3554000000,-4819000000,2200000000,-12922000000,-10898000000,7204000000,-476000000,1660000000,15193000000,-935000000,5291000000,-7823000000,-1978000000,-147000000,80000000,403000000,2024000000,80000000,7791000000,170693000000,47006000000,91000000,106220000000,64473000000,5615000000,1666000000,3120000000,114831000000,34693000000,34307000000,12807000000,8485000000,38847000000,5078000000,-14939000000,17855000000,57578000000,-18325000000,11816000000,14579000000,32680000000,9599000000,7044000000,3120000000,114831000000,-38540000000,6131000000,113115000000,32680000000,12149000000,67373000000,170693000000,30781000000
2020-11-20,146.36,-3.54,-2.361574%,150.92,145.5869,151.3,"34,568,986","5,127,718,594.791500",2020-09-30,21082000000,15381000000,6940000000,14142000000,5701000000,3554000000,2978000000,4401000000,5431000000,-1188000000,4401000000,32000000,206000000,847000000,-1268000000,3554000000,3554000000,-4819000000,2200000000,-12922000000,-10898000000,7204000000,-476000000,1660000000,15193000000,-935000000,5291000000,-7823000000,-1978000000,-147000000,80000000,403000000,2024000000,80000000,7791000000,170693000000,47006000000,91000000,106220000000,64473000000,5615000000,1666000000,3120000000,114831000000,34693000000,34307000000,12807000000,8485000000,38847000000,5078000000,-14939000000,17855000000,57578000000,-18325000000,11816000000,14579000000,32680000000,9599000000,7044000000,3120000000,114831000000,-38540000000,6131000000,113115000000,32680000000,12149000000,67373000000,170693000000,30781000000
2020-11-13,149.9,7.65,+5.377856%,148.425,144.92,150.41,"36,729,227","5,433,324,035.414300",2020-09-30,21082000000,15381000000,6940000000,14142000000,5701000000,3554000000,2978000000,4401000000,5431000000,-1188000000,4401000000,32000000,206000000,847000000,-1268000000,3554000000,3554000000,-4819000000,2200000000,-12922000000,-10898000000,7204000000,-476000000,1660000000,15193000000,-935000000,5291000000,-7823000000,-1978000000,-147000000,80000000,403000000,2024000000,80000000,7791000000,170693000000,47006000000,91000000,106220000000,64473000000,5615000000,1666000000,3120000000,114831000000,34693000000,34307000000,12807000000,8485000000,38847000000,5078000000,-14939000000,17855000000,57578000000,-18325000000,11816000000,14579000000,32680000000,9599000000,7044000000,3120000000,114831000000,-38540000000,6131000000,113115000000,32680000000,12149000000,67373000000,170693000000,30781000000
2020-11-06,142.25,5.14,+3.748815%,138.98,137.49,143.19,"37,673,220","5,276,755,300.844400",2020-09-30,21082000000,15381000000,6940000000,14142000000,5701000000,3554000000,2978000000,4401000000,5431000000,-1188000000,4401000000,32000000,206000000,847000000,-1268000000,3554000000,3554000000,-4819000000,2200000000,-12922000000,-10898000000,7204000000,-476000000,1660000000,15193000000,-935000000,5291000000,-7823000000,-1978000000,-147000000,80000000,403000000,2024000000,80000000,7791000000,170693000000,47006000000,91000000,106220000000,64473000000,5615000000,1666000000,3120000000,114831000000,34693000000,34307000000,12807000000,8485000000,38847000000,5078000000,-14939000000,17855000000,57578000000,-18325000000,11816000000,14579000000,32680000000,9599000000,7044000000,3120000000,114831000000,-38540000000,6131000000,113115000000,32680000000,12149000000,67373000000,170693000000,30781000000
2020-10-30,137.11,-8.13,-5.597632%,144.43,133.65,144.77,"34,815,762","4,861,769,443.358400",2020-09-30,21082000000,15381000000,6940000000,14142000000,5701000000,3554000000,2978000000,4401000000,5431000000,-1188000000,4401000000,32000000,206000000,847000000,-1268000000,3554000000,3554000000,-4819000000,2200000000,-12922000000,-10898000000,7204000000,-476000000,1660000000,15193000000,-935000000,5291000000,-7823000000,-1978000000,-147000000,80000000,403000000,2024000000,80000000,7791000000,170693000000,47006000000,91000000,106220000000,64473000000,5615000000,1666000000,3120000000,114831000000,34693000000,34307000000,12807000000,8485000000,38847000000,5078000000,-14939000000,17855000000,57578000000,-18325000000,11816000000,14579000000,32680000000,9599000000,7044000000,3120000000,114831000000,-38540000000,6131000000,113115000000,32680000000,12149000000,67373000000,170693000000,30781000000
2020-10-23,145.24,-2.86,-1.931128%,148.53,143.84,148.9,"27,233,268","3,949,359,738.986400",2020-09-30,21082000000,15381000000,6940000000,14142000000,5701000000,3554000000,2978000000,4401000000,5431000000,-1188000000,4401000000,32000000,206000000,847000000,-1268000000,3554000000,3554000000,-4819000000,2200000000,-12922000000,-10898000000,7204000000,-476000000,1660000000,15193000000,-935000000,5291000000,-7823000000,-1978000000,-147000000,80000000,403000000,2024000000,80000000,7791000000,170693000000,47006000000,91000000,106220000000,64473000000,5615000000,1666000000,3120000000,114831000000,34693000000,34307000000,12807000000,8485000000,38847000000,5078000000,-14939000000,17855000000,57578000000,-18325000000,11816000000,14579000000,32680000000,9599000000,7044000000,3120000000,114831000000,-38540000000,6131000000,113115000000,32680000000,12149000000,67373000000,170693000000,30781000000
2020-10-16,148.1,-2.87,-1.901040%,151.6,146.33,153.142,"38,115,206","5,677,195,802.541100",2020-09-30,21082000000,15381000000,6940000000,14142000000,5701000000,3554000000,2978000000,4401000000,5431000000,-1188000000,4401000000,32000000,206000000,847000000,-1268000000,3554000000,3554000000,-4819000000,2200000000,-12922000000,-10898000000,7204000000,-476000000,1660000000,15193000000,-935000000,5291000000,-7823000000,-1978000000,-147000000,80000000,403000000,2024000000,80000000,7791000000,170693000000,47006000000,91000000,106220000000,64473000000,5615000000,1666000000,3120000000,114831000000,34693000000,34307000000,12807000000,8485000000,38847000000,5078000000,-14939000000,17855000000,57578000000,-18325000000,11816000000,14579000000,32680000000,9599000000,7044000000,3120000000,114831000000,-38540000000,6131000000,113115000000,32680000000,12149000000,67373000000,170693000000,30781000000
2020-10-09,150.97,4.73,+3.234409%,147.0,145.81,151.48,"25,181,740","3,735,304,835.484900",2020-09-30,21082000000,15381000000,6940000000,14142000000,5701000000,3554000000,2978000000,4401000000,5431000000,-1188000000,4401000000,32000000,206000000,847000000,-1268000000,3554000000,3554000000,-4819000000,2200000000,-12922000000,-10898000000,7204000000,-476000000,1660000000,15193000000,-935000000,5291000000,-7823000000,-1978000000,-147000000,80000000,403000000,2024000000,80000000,7791000000,170693000000,47006000000,91000000,106220000000,64473000000,5615000000,1666000000,3120000000,114831000000,34693000000,34307000000,12807000000,8485000000,38847000000,5078000000,-14939000000,17855000000,57578000000,-18325000000,11816000000,14579000000,32680000000,9599000000,7044000000,3120000000,114831000000,-38540000000,6131000000,113115000000,32680000000,12149000000,67373000000,170693000000,30781000000
2020-10-02,146.24,0.58,+0.398188%,146.73,145.83,149.73,"33,045,306","4,875,842,320.024900",2020-09-30,21082000000,15381000000,6940000000,14142000000,5701000000,3554000000,2978000000,4401000000,5431000000,-1188000000,4401000000,32000000,206000000,847000000,-1268000000,3554000000,3554000000,-4819000000,2200000000,-12922000000,-10898000000,7204000000,-476000000,1660000000,15193000000,-935000000,5291000000,-7823000000,-1978000000,-147000000,80000000,403000000,2024000000,80000000,7791000000,170693000000,47006000000,91000000,106220000000,64473000000,5615000000,1666000000,3120000000,114831000000,34693000000,34307000000,12807000000,8485000000,38847000000,5078000000,-14939000000,17855000000,57578000000,-18325000000,11816000000,14579000000,32680000000,9599000000,7044000000,3120000000,114831000000,-38540000000,6131000000,113115000000,32680000000,12149000000,67373000000,170693000000,30781000000
2020-09-25,145.66,-3.52,-2.359566%,147.58,142.96,147.93,"32,800,907","4,753,939,507.707500",2020-06-30,18336000000,7767000000,6579000000,11757000000,3985000000,3626000000,2707000000,3940000000,4993000000,-5000000,3990000000,45000000,67000000,314000000,-85000000,3626000000,3626000000,-5614000000,-296000000,-7522000000,-1246000000,2709000000,-357000000,-4427000000,3452000000,-1319000000,1726000000,-2659000000,-330000000,-478000000,292000000,-99000000,662000000,292000000,-4356000000,158380000000,47413000000,2688000000,95402000000,62978000000,5532000000,1632000000,3120000000,113898000000,33568000000,33890000000,12099000000,11174000000,36772000000,5332000000,-15533000000,17598000000,45892000000,-18325000000,7961000000,14645000000,25062000000,9424000000,31440000000,3120000000,113898000000,-38507000000,5782000000,7805000000,25062000000,28036000000,58630000000,158380000000,19135000000
