Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,fiscalDateEnding,totalRevenue,totalOperatingExpense,grossProfit,ebit,netIncome,incomeBeforeTax,sellingGeneralAdministrative,operatingIncome,otherOperatingExpense,interestExpense,incomeTaxExpense,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInCashAndCashEquivalents,totalAssets,intangibleAssets,totalLiabilities,totalShareholderEquity,otherCurrentLiabilities,commonStock,retainedEarnings,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,otherNonCurrrentAssets,totalNonCurrentAssets,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments
2020-11-27,121.22,6.65,+5.804312%,116.05,115.57,123.5,"51,030,022","6,160,959,433.275800",2020-09-30,29147000000,17486000000,16134000000,-1352000000,9443000000,11661000000,11664000000,-1352000000,1367000000,1687000000,2218000000,9443000000,9015000000,-14589000000,-2332000000,-198206000000,-198206000000,-47015000000,470687000000,505140000000,223891000000,-51859000000,-23039000000,6487000000,-9551000000,-3447000000,9290000000,0,-4772000000,-10164000000,3246076000000,3775000000,2974963000000,271113000000,104835000000,4105000000,228014000000,47819000000,1107025000000,487522000000,2665347000000,41992000000,506000000,26672000000,1507840000000,192472000000,389583000000,76945000000,279175000000,197000000,2213522000000,4105000000,30063000000,228014000000,-88298000000,1240932000000,1657187000000,279175000000,515851000000,697535000000,88289000000,3246076000000,487522000000
2020-11-20,114.57,0.49,+0.429523%,117.79,113.56,118.61,"69,906,385","8,105,753,360.744600",2020-09-30,29147000000,17486000000,16134000000,-1352000000,9443000000,11661000000,11664000000,-1352000000,1367000000,1687000000,2218000000,9443000000,9015000000,-14589000000,-2332000000,-198206000000,-198206000000,-47015000000,470687000000,505140000000,223891000000,-51859000000,-23039000000,6487000000,-9551000000,-3447000000,9290000000,0,-4772000000,-10164000000,3246076000000,3775000000,2974963000000,271113000000,104835000000,4105000000,228014000000,47819000000,1107025000000,487522000000,2665347000000,41992000000,506000000,26672000000,1507840000000,192472000000,389583000000,76945000000,279175000000,197000000,2213522000000,4105000000,30063000000,228014000000,-88298000000,1240932000000,1657187000000,279175000000,515851000000,697535000000,88289000000,3246076000000,487522000000
2020-11-13,114.08,11.12,+10.800311%,113.16,110.35,118.9,"116,698,488","13,398,778,629.524700",2020-09-30,29147000000,17486000000,16134000000,-1352000000,9443000000,11661000000,11664000000,-1352000000,1367000000,1687000000,2218000000,9443000000,9015000000,-14589000000,-2332000000,-198206000000,-198206000000,-47015000000,470687000000,505140000000,223891000000,-51859000000,-23039000000,6487000000,-9551000000,-3447000000,9290000000,0,-4772000000,-10164000000,3246076000000,3775000000,2974963000000,271113000000,104835000000,4105000000,228014000000,47819000000,1107025000000,487522000000,2665347000000,41992000000,506000000,26672000000,1507840000000,192472000000,389583000000,76945000000,279175000000,197000000,2213522000000,4105000000,30063000000,228014000000,-88298000000,1240932000000,1657187000000,279175000000,515851000000,697535000000,88289000000,3246076000000,487522000000
2020-11-06,102.96,4.92,+5.018360%,99.39,97.86,105.1,"81,770,863","8,368,766,094.814100",2020-09-30,29147000000,17486000000,16134000000,-1352000000,9443000000,11661000000,11664000000,-1352000000,1367000000,1687000000,2218000000,9443000000,9015000000,-14589000000,-2332000000,-198206000000,-198206000000,-47015000000,470687000000,505140000000,223891000000,-51859000000,-23039000000,6487000000,-9551000000,-3447000000,9290000000,0,-4772000000,-10164000000,3246076000000,3775000000,2974963000000,271113000000,104835000000,4105000000,228014000000,47819000000,1107025000000,487522000000,2665347000000,41992000000,506000000,26672000000,1507840000000,192472000000,389583000000,76945000000,279175000000,197000000,2213522000000,4105000000,30063000000,228014000000,-88298000000,1240932000000,1657187000000,279175000000,515851000000,697535000000,88289000000,3246076000000,487522000000
2020-10-30,98.04,-5.77,-5.558231%,102.65,95.2397,102.7,"68,601,374","6,736,177,293.679600",2020-09-30,29147000000,17486000000,16134000000,-1352000000,9443000000,11661000000,11664000000,-1352000000,1367000000,1687000000,2218000000,9443000000,9015000000,-14589000000,-2332000000,-198206000000,-198206000000,-47015000000,470687000000,505140000000,223891000000,-51859000000,-23039000000,6487000000,-9551000000,-3447000000,9290000000,0,-4772000000,-10164000000,3246076000000,3775000000,2974963000000,271113000000,104835000000,4105000000,228014000000,47819000000,1107025000000,487522000000,2665347000000,41992000000,506000000,26672000000,1507840000000,192472000000,389583000000,76945000000,279175000000,197000000,2213522000000,4105000000,30063000000,228014000000,-88298000000,1240932000000,1657187000000,279175000000,515851000000,697535000000,88289000000,3246076000000,487522000000
2020-10-23,103.81,2.3,+2.265787%,101.6,99.31,104.45,"63,638,080","6,464,199,152.233800",2020-09-30,29147000000,17486000000,16134000000,-1352000000,9443000000,11661000000,11664000000,-1352000000,1367000000,1687000000,2218000000,9443000000,9015000000,-14589000000,-2332000000,-198206000000,-198206000000,-47015000000,470687000000,505140000000,223891000000,-51859000000,-23039000000,6487000000,-9551000000,-3447000000,9290000000,0,-4772000000,-10164000000,3246076000000,3775000000,2974963000000,271113000000,104835000000,4105000000,228014000000,47819000000,1107025000000,487522000000,2665347000000,41992000000,506000000,26672000000,1507840000000,192472000000,389583000000,76945000000,279175000000,197000000,2213522000000,4105000000,30063000000,228014000000,-88298000000,1240932000000,1657187000000,279175000000,515851000000,697535000000,88289000000,3246076000000,487522000000
2020-10-16,101.51,0.31,+0.306324%,101.1,99.04,103.22,"83,417,791","8,457,720,094.976200",2020-09-30,29147000000,17486000000,16134000000,-1352000000,9443000000,11661000000,11664000000,-1352000000,1367000000,1687000000,2218000000,9443000000,9015000000,-14589000000,-2332000000,-198206000000,-198206000000,-47015000000,470687000000,505140000000,223891000000,-51859000000,-23039000000,6487000000,-9551000000,-3447000000,9290000000,0,-4772000000,-10164000000,3246076000000,3775000000,2974963000000,271113000000,104835000000,4105000000,228014000000,47819000000,1107025000000,487522000000,2665347000000,41992000000,506000000,26672000000,1507840000000,192472000000,389583000000,76945000000,279175000000,197000000,2213522000000,4105000000,30063000000,228014000000,-88298000000,1240932000000,1657187000000,279175000000,515851000000,697535000000,88289000000,3246076000000,487522000000
2020-10-09,101.2,3.31,+3.381346%,98.32,97.5101,102.105,"78,798,985","7,878,177,024.388800",2020-09-30,29147000000,17486000000,16134000000,-1352000000,9443000000,11661000000,11664000000,-1352000000,1367000000,1687000000,2218000000,9443000000,9015000000,-14589000000,-2332000000,-198206000000,-198206000000,-47015000000,470687000000,505140000000,223891000000,-51859000000,-23039000000,6487000000,-9551000000,-3447000000,9290000000,0,-4772000000,-10164000000,3246076000000,3775000000,2974963000000,271113000000,104835000000,4105000000,228014000000,47819000000,1107025000000,487522000000,2665347000000,41992000000,506000000,26672000000,1507840000000,192472000000,389583000000,76945000000,279175000000,197000000,2213522000000,4105000000,30063000000,228014000000,-88298000000,1240932000000,1657187000000,279175000000,515851000000,697535000000,88289000000,3246076000000,487522000000
2020-10-02,97.89,4.42,+4.728790%,95.06,94.332,98.59,"81,077,602","7,808,491,943.677400",2020-09-30,29147000000,17486000000,16134000000,-1352000000,9443000000,11661000000,11664000000,-1352000000,1367000000,1687000000,2218000000,9443000000,9015000000,-14589000000,-2332000000,-198206000000,-198206000000,-47015000000,470687000000,505140000000,223891000000,-51859000000,-23039000000,6487000000,-9551000000,-3447000000,9290000000,0,-4772000000,-10164000000,3246076000000,3775000000,2974963000000,271113000000,104835000000,4105000000,228014000000,47819000000,1107025000000,487522000000,2665347000000,41992000000,506000000,26672000000,1507840000000,192472000000,389583000000,76945000000,279175000000,197000000,2213522000000,4105000000,30063000000,228014000000,-88298000000,1240932000000,1657187000000,279175000000,515851000000,697535000000,88289000000,3246076000000,487522000000
2020-09-25,93.47,-4.88,-4.961871%,95.2,91.38,96.05,"99,248,037","9,302,288,716.108000",2020-06-30,19127000000,27415000000,19127000000,-8288000000,4687000000,5565000000,16942000000,-8288000000,10473000000,-13853000000,878000000,4687000000,4265000000,-87223000000,-56738000000,-48467000000,38756000000,7164000000,89131000000,85121000000,124404000000,83740000000,75599000000,2149000000,-3154000000,-3447000000,8346000000,3787000000,49697000000,124404000000,3213115000000,3858000000,2948649000000,264466000000,1931029000000,4105000000,221732000000,47811000000,1076941000000,493729000000,2209959000000,48014000000,8778000000,26301000000,1582859000000,234403000000,485883000000,946426000000,186040000000,189000000,230916000000,4105000000,30063000000,221732000000,-88337000000,1118072000000,1630256000000,186040000000,552893000000,738933000000,88125000000,3213115000000,493729000000
