Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,fiscalDateEnding,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,incomeTaxExpense,totalOtherIncomeExpense,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,stockSaleAndPurchase,changeInNetIncome,capitalExpenditures,changeInExchangeRate,changeInCashAndCashEquivalents,totalAssets,intangibleAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,commonStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,otherNonCurrrentAssets,totalNonCurrentAssets,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments
2020-11-27,52.7,0.03,+0.056958%,52.95,52.2,53.59,"45,724,429","2,419,992,641.978200",2020-09-30,8652000000,2853000000,3471000000,5181000000,2811000000,1737000000,2181000000,1709000000,2511000000,513000000,2283000000,-30000000,660000000,441000000,89000000,1740000000,1737000000,-7072000000,-6313000000,-550000000,5973000000,153000000,5085000000,6220000000,824000000,1106000000,421000000,515000000,759000000,136000000,1393000000,97184000000,11033000000,78000000,78577000000,18607000000,1945000000,905000000,1760000000,66863000000,10475000000,16887000000,8600000000,11385000000,26891000000,5857000000,-15481000000,10667000000,30410000000,19587000000,-9313000000,9743000000,3827000000,39502000000,3264000000,12621000000,1760000000,66863000000,-52033000000,6161000000,66774000000,39502000000,8530000000,49977000000,17463000000,97184000000,21128000000
2020-11-20,52.67,-0.78,-1.459308%,54.5,51.95,54.62,"77,272,219","4,110,897,880.701200",2020-09-30,8652000000,2853000000,3471000000,5181000000,2811000000,1737000000,2181000000,1709000000,2511000000,513000000,2283000000,-30000000,660000000,441000000,89000000,1740000000,1737000000,-7072000000,-6313000000,-550000000,5973000000,153000000,5085000000,6220000000,824000000,1106000000,421000000,515000000,759000000,136000000,1393000000,97184000000,11033000000,78000000,78577000000,18607000000,1945000000,905000000,1760000000,66863000000,10475000000,16887000000,8600000000,11385000000,26891000000,5857000000,-15481000000,10667000000,30410000000,19587000000,-9313000000,9743000000,3827000000,39502000000,3264000000,12621000000,1760000000,66863000000,-52033000000,6161000000,66774000000,39502000000,8530000000,49977000000,17463000000,97184000000,21128000000
2020-11-13,53.45,4.0,+8.088979%,52.5,52.07,54.3,"108,024,945","5,753,780,163.505000",2020-09-30,8652000000,2853000000,3471000000,5181000000,2811000000,1737000000,2181000000,1709000000,2511000000,513000000,2283000000,-30000000,660000000,441000000,89000000,1740000000,1737000000,-7072000000,-6313000000,-550000000,5973000000,153000000,5085000000,6220000000,824000000,1106000000,421000000,515000000,759000000,136000000,1393000000,97184000000,11033000000,78000000,78577000000,18607000000,1945000000,905000000,1760000000,66863000000,10475000000,16887000000,8600000000,11385000000,26891000000,5857000000,-15481000000,10667000000,30410000000,19587000000,-9313000000,9743000000,3827000000,39502000000,3264000000,12621000000,1760000000,66863000000,-52033000000,6161000000,66774000000,39502000000,8530000000,49977000000,17463000000,97184000000,21128000000
2020-11-06,49.45,1.39,+2.892218%,48.75,48.24,50.21,"65,119,388","3,213,084,342.509600",2020-09-30,8652000000,2853000000,3471000000,5181000000,2811000000,1737000000,2181000000,1709000000,2511000000,513000000,2283000000,-30000000,660000000,441000000,89000000,1740000000,1737000000,-7072000000,-6313000000,-550000000,5973000000,153000000,5085000000,6220000000,824000000,1106000000,421000000,515000000,759000000,136000000,1393000000,97184000000,11033000000,78000000,78577000000,18607000000,1945000000,905000000,1760000000,66863000000,10475000000,16887000000,8600000000,11385000000,26891000000,5857000000,-15481000000,10667000000,30410000000,19587000000,-9313000000,9743000000,3827000000,39502000000,3264000000,12621000000,1760000000,66863000000,-52033000000,6161000000,66774000000,39502000000,8530000000,49977000000,17463000000,97184000000,21128000000
2020-10-30,48.06,-2.46,-4.869359%,50.34,47.3,50.51,"79,649,541","3,875,945,358.572200",2020-09-30,8652000000,2853000000,3471000000,5181000000,2811000000,1737000000,2181000000,1709000000,2511000000,513000000,2283000000,-30000000,660000000,441000000,89000000,1740000000,1737000000,-7072000000,-6313000000,-550000000,5973000000,153000000,5085000000,6220000000,824000000,1106000000,421000000,515000000,759000000,136000000,1393000000,97184000000,11033000000,78000000,78577000000,18607000000,1945000000,905000000,1760000000,66863000000,10475000000,16887000000,8600000000,11385000000,26891000000,5857000000,-15481000000,10667000000,30410000000,19587000000,-9313000000,9743000000,3827000000,39502000000,3264000000,12621000000,1760000000,66863000000,-52033000000,6161000000,66774000000,39502000000,8530000000,49977000000,17463000000,97184000000,21128000000
2020-10-23,50.52,0.49,+0.979412%,50.03,49.46,51.2,"67,101,078","3,381,991,509.991500",2020-09-30,8652000000,2853000000,3471000000,5181000000,2811000000,1737000000,2181000000,1709000000,2511000000,513000000,2283000000,-30000000,660000000,441000000,89000000,1740000000,1737000000,-7072000000,-6313000000,-550000000,5973000000,153000000,5085000000,6220000000,824000000,1106000000,421000000,515000000,759000000,136000000,1393000000,97184000000,11033000000,78000000,78577000000,18607000000,1945000000,905000000,1760000000,66863000000,10475000000,16887000000,8600000000,11385000000,26891000000,5857000000,-15481000000,10667000000,30410000000,19587000000,-9313000000,9743000000,3827000000,39502000000,3264000000,12621000000,1760000000,66863000000,-52033000000,6161000000,66774000000,39502000000,8530000000,49977000000,17463000000,97184000000,21128000000
2020-10-16,50.03,-0.78,-1.535131%,50.84,49.3,51.525,"59,868,816","3,011,723,127.732100",2020-09-30,8652000000,2853000000,3471000000,5181000000,2811000000,1737000000,2181000000,1709000000,2511000000,513000000,2283000000,-30000000,660000000,441000000,89000000,1740000000,1737000000,-7072000000,-6313000000,-550000000,5973000000,153000000,5085000000,6220000000,824000000,1106000000,421000000,515000000,759000000,136000000,1393000000,97184000000,11033000000,78000000,78577000000,18607000000,1945000000,905000000,1760000000,66863000000,10475000000,16887000000,8600000000,11385000000,26891000000,5857000000,-15481000000,10667000000,30410000000,19587000000,-9313000000,9743000000,3827000000,39502000000,3264000000,12621000000,1760000000,66863000000,-52033000000,6161000000,66774000000,39502000000,8530000000,49977000000,17463000000,97184000000,21128000000
2020-10-09,50.81,1.45,+2.937601%,49.43,48.83,51.23,"54,393,542","2,713,056,167.735200",2020-09-30,8652000000,2853000000,3471000000,5181000000,2811000000,1737000000,2181000000,1709000000,2511000000,513000000,2283000000,-30000000,660000000,441000000,89000000,1740000000,1737000000,-7072000000,-6313000000,-550000000,5973000000,153000000,5085000000,6220000000,824000000,1106000000,421000000,515000000,759000000,136000000,1393000000,97184000000,11033000000,78000000,78577000000,18607000000,1945000000,905000000,1760000000,66863000000,10475000000,16887000000,8600000000,11385000000,26891000000,5857000000,-15481000000,10667000000,30410000000,19587000000,-9313000000,9743000000,3827000000,39502000000,3264000000,12621000000,1760000000,66863000000,-52033000000,6161000000,66774000000,39502000000,8530000000,49977000000,17463000000,97184000000,21128000000
2020-10-02,49.36,0.64,+1.313629%,49.31,48.55,49.71,"70,586,710","3,474,873,227.245600",2020-09-30,8652000000,2853000000,3471000000,5181000000,2811000000,1737000000,2181000000,1709000000,2511000000,513000000,2283000000,-30000000,660000000,441000000,89000000,1740000000,1737000000,-7072000000,-6313000000,-550000000,5973000000,153000000,5085000000,6220000000,824000000,1106000000,421000000,515000000,759000000,136000000,1393000000,97184000000,11033000000,78000000,78577000000,18607000000,1945000000,905000000,1760000000,66863000000,10475000000,16887000000,8600000000,11385000000,26891000000,5857000000,-15481000000,10667000000,30410000000,19587000000,-9313000000,9743000000,3827000000,39502000000,3264000000,12621000000,1760000000,66863000000,-52033000000,6161000000,66774000000,39502000000,8530000000,49977000000,17463000000,97184000000,21128000000
2020-09-25,48.72,-1.73,-3.429138%,49.75,47.56,50.035,"77,062,079","3,763,971,431.243500",2020-06-30,7150000000,1942000000,3013000000,4137000000,2257000000,1779000000,2197000000,-20000000,2156000000,276000000,1981000000,-214000000,274000000,438000000,390000000,1759000000,1779000000,-5883000000,-5674000000,1741000000,235000000,223000000,-3418000000,2230000000,43000000,381000000,32000000,47000000,209000000,-118000000,-3536000000,94689000000,10275000000,2205000000,75500000000,17484000000,1969000000,766000000,1760000000,66888000000,10906000000,16617000000,6371000000,10037000000,26848000000,14604000000,-16460000000,10695000000,29371000000,18189000000,-9408000000,9779000000,3849000000,37729000000,3501000000,12244000000,1760000000,66888000000,-52071000000,7176000000,2366000000,37729000000,8954000000,48652000000,17367000000,94689000000,17588000000
