Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,fiscalDateEnding,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,incomeBeforeTax,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,incomeTaxExpense,totalOtherIncomeExpense,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInCash,operatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInNetIncome,capitalExpenditures,changeInExchangeRate,changeInCashAndCashEquivalents,totalAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,netReceivables,longTermDebt,inventory,accountsPayable,commonStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,totalNonCurrentAssets,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments
2020-11-27,218.33,4.24,+1.980476%,215.14,214.65,221.25,"10,167,062","2,221,555,484.568900",2020-09-30,5418100000,3043900000,2513400000,2904700000,-221000000,1762600000,2217100000,454700000,800000,2526400000,-76400000,-48700000,454500000,149600000,1762600000,1762600000,-1182900000,-5200000,-1442100000,-313400000,-122000000,2785300000,4272400000,1287100000,-2791300000,-643300000,-87500000,1177700000,25000000,428100000,50699300000,616300000,59171400000,-8472100000,2103000000,718200000,16600000,53492500000,5011800000,2715800000,2469600000,3683800000,6280200000,-2758800000,37494500000,6736100000,1283300000,1548100000,2391800000,35143400000,44200000,689000000,16600000,53492500000,-67077100000,43963200000,35143400000,951500000,52891200000,7854700000,50699300000,3683800000
2020-11-20,214.09,0.81,+0.379782%,215.5,213.33,217.84,"16,014,246","3,447,727,452.362600",2020-09-30,5418100000,3043900000,2513400000,2904700000,-221000000,1762600000,2217100000,454700000,800000,2526400000,-76400000,-48700000,454500000,149600000,1762600000,1762600000,-1182900000,-5200000,-1442100000,-313400000,-122000000,2785300000,4272400000,1287100000,-2791300000,-643300000,-87500000,1177700000,25000000,428100000,50699300000,616300000,59171400000,-8472100000,2103000000,718200000,16600000,53492500000,5011800000,2715800000,2469600000,3683800000,6280200000,-2758800000,37494500000,6736100000,1283300000,1548100000,2391800000,35143400000,44200000,689000000,16600000,53492500000,-67077100000,43963200000,35143400000,951500000,52891200000,7854700000,50699300000,3683800000
2020-11-13,213.28,-3.28,-1.514592%,226.79,207.17,227.8477,"23,694,123","5,091,588,245.778800",2020-09-30,5418100000,3043900000,2513400000,2904700000,-221000000,1762600000,2217100000,454700000,800000,2526400000,-76400000,-48700000,454500000,149600000,1762600000,1762600000,-1182900000,-5200000,-1442100000,-313400000,-122000000,2785300000,4272400000,1287100000,-2791300000,-643300000,-87500000,1177700000,25000000,428100000,50699300000,616300000,59171400000,-8472100000,2103000000,718200000,16600000,53492500000,5011800000,2715800000,2469600000,3683800000,6280200000,-2758800000,37494500000,6736100000,1283300000,1548100000,2391800000,35143400000,44200000,689000000,16600000,53492500000,-67077100000,43963200000,35143400000,951500000,52891200000,7854700000,50699300000,3683800000
2020-11-06,216.56,3.56,+1.671362%,215.88,210.79,219.47,"16,497,314","3,559,571,726.079400",2020-09-30,5418100000,3043900000,2513400000,2904700000,-221000000,1762600000,2217100000,454700000,800000,2526400000,-76400000,-48700000,454500000,149600000,1762600000,1762600000,-1182900000,-5200000,-1442100000,-313400000,-122000000,2785300000,4272400000,1287100000,-2791300000,-643300000,-87500000,1177700000,25000000,428100000,50699300000,616300000,59171400000,-8472100000,2103000000,718200000,16600000,53492500000,5011800000,2715800000,2469600000,3683800000,6280200000,-2758800000,37494500000,6736100000,1283300000,1548100000,2391800000,35143400000,44200000,689000000,16600000,53492500000,-67077100000,43963200000,35143400000,951500000,52891200000,7854700000,50699300000,3683800000
2020-10-30,213.0,-15.71,-6.868961%,226.78,209.905,227.25,"13,542,055","2,944,542,397.234500",2020-09-30,5418100000,3043900000,2513400000,2904700000,-221000000,1762600000,2217100000,454700000,800000,2526400000,-76400000,-48700000,454500000,149600000,1762600000,1762600000,-1182900000,-5200000,-1442100000,-313400000,-122000000,2785300000,4272400000,1287100000,-2791300000,-643300000,-87500000,1177700000,25000000,428100000,50699300000,616300000,59171400000,-8472100000,2103000000,718200000,16600000,53492500000,5011800000,2715800000,2469600000,3683800000,6280200000,-2758800000,37494500000,6736100000,1283300000,1548100000,2391800000,35143400000,44200000,689000000,16600000,53492500000,-67077100000,43963200000,35143400000,951500000,52891200000,7854700000,50699300000,3683800000
2020-10-23,228.71,-0.66,-0.287745%,229.55,225.17,231.02,"9,651,048","2,202,139,857.956400",2020-09-30,5418100000,3043900000,2513400000,2904700000,-221000000,1762600000,2217100000,454700000,800000,2526400000,-76400000,-48700000,454500000,149600000,1762600000,1762600000,-1182900000,-5200000,-1442100000,-313400000,-122000000,2785300000,4272400000,1287100000,-2791300000,-643300000,-87500000,1177700000,25000000,428100000,50699300000,616300000,59171400000,-8472100000,2103000000,718200000,16600000,53492500000,5011800000,2715800000,2469600000,3683800000,6280200000,-2758800000,37494500000,6736100000,1283300000,1548100000,2391800000,35143400000,44200000,689000000,16600000,53492500000,-67077100000,43963200000,35143400000,951500000,52891200000,7854700000,50699300000,3683800000
2020-10-16,229.37,4.54,+2.019303%,224.81,223.12,231.91,"10,715,472","2,442,028,100.949500",2020-09-30,5418100000,3043900000,2513400000,2904700000,-221000000,1762600000,2217100000,454700000,800000,2526400000,-76400000,-48700000,454500000,149600000,1762600000,1762600000,-1182900000,-5200000,-1442100000,-313400000,-122000000,2785300000,4272400000,1287100000,-2791300000,-643300000,-87500000,1177700000,25000000,428100000,50699300000,616300000,59171400000,-8472100000,2103000000,718200000,16600000,53492500000,5011800000,2715800000,2469600000,3683800000,6280200000,-2758800000,37494500000,6736100000,1283300000,1548100000,2391800000,35143400000,44200000,689000000,16600000,53492500000,-67077100000,43963200000,35143400000,951500000,52891200000,7854700000,50699300000,3683800000
2020-10-09,224.83,2.16,+0.970045%,224.86,223.12,228.66,"13,773,722","3,108,746,951.092000",2020-09-30,5418100000,3043900000,2513400000,2904700000,-221000000,1762600000,2217100000,454700000,800000,2526400000,-76400000,-48700000,454500000,149600000,1762600000,1762600000,-1182900000,-5200000,-1442100000,-313400000,-122000000,2785300000,4272400000,1287100000,-2791300000,-643300000,-87500000,1177700000,25000000,428100000,50699300000,616300000,59171400000,-8472100000,2103000000,718200000,16600000,53492500000,5011800000,2715800000,2469600000,3683800000,6280200000,-2758800000,37494500000,6736100000,1283300000,1548100000,2391800000,35143400000,44200000,689000000,16600000,53492500000,-67077100000,43963200000,35143400000,951500000,52891200000,7854700000,50699300000,3683800000
2020-10-02,222.67,4.49,+2.057934%,220.0,217.1,223.3499,"13,154,940","2,901,633,371.480300",2020-09-30,5418100000,3043900000,2513400000,2904700000,-221000000,1762600000,2217100000,454700000,800000,2526400000,-76400000,-48700000,454500000,149600000,1762600000,1762600000,-1182900000,-5200000,-1442100000,-313400000,-122000000,2785300000,4272400000,1287100000,-2791300000,-643300000,-87500000,1177700000,25000000,428100000,50699300000,616300000,59171400000,-8472100000,2103000000,718200000,16600000,53492500000,5011800000,2715800000,2469600000,3683800000,6280200000,-2758800000,37494500000,6736100000,1283300000,1548100000,2391800000,35143400000,44200000,689000000,16600000,53492500000,-67077100000,43963200000,35143400000,951500000,52891200000,7854700000,50699300000,3683800000
2020-09-25,218.18,-2.09,-0.948836%,217.14,213.4,219.685,"12,009,315","2,596,627,778.863100",2020-06-30,3761500000,764200000,2036200000,1725300000,1393500000,483800000,648700000,639300000,6700000,961100000,76100000,319100000,164900000,-115500000,483800000,483800000,-396600000,-91600000,-703200000,-1577900000,-400000,-2187600000,-213100000,425700000,-929700000,55400000,107900000,305000000,63500000,-2124100000,49938900000,458500000,46923100000,-9463100000,2213400000,681200000,16600000,52660800000,5001400000,2671900000,2507900000,3255700000,7246100000,-2806300000,23830000000,6609400000,1278100000,343900000,2852600000,34675600000,42600000,2478300000,16600000,52660800000,-67114200000,43329500000,34675600000,2788000000,39677000000,7780000000,49938900000,3255700000
