Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,fiscalDateEnding,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,interestExpense,nonRecurring,incomeTaxExpense,totalOtherIncomeExpense,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,investments,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInNetIncome,capitalExpenditures,changeInCashAndCashEquivalents,totalAssets,intangibleAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,commonStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,totalNonCurrentAssets,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments
2020-11-27,79.86,-0.59,-0.733375%,80.61,79.38,81.16,"32,403,677","2,595,393,349.143000",2020-09-30,12551000000,9321000000,3443000000,9108000000,3230000000,2941000000,3390000000,3428000000,84000000,2435000000,312000000,3116000000,203000000,114000000,483000000,198000000,2945000000,2941000000,1000000,-4665000000,-1495000000,-2306000000,-4204000000,-472000000,-2533000000,6247000000,-1445000000,2721000000,-4673000000,-1213000000,-108000000,3170000000,-3833000000,89800000000,16677000000,4671000000,60614000000,29186000000,1777000000,2848000000,1788000000,51107000000,13804000000,20248000000,8007000000,7356000000,20405000000,2420000000,-6383000000,16919000000,26577000000,1372000000,-7739000000,0,8422000000,26321000000,6128000000,4378000000,1788000000,51107000000,-56815000000,8007000000,26321000000,12027000000,40125000000,39489000000,89800000000,7356000000
2020-11-20,80.45,-0.64,-0.789247%,81.23,79.33,81.97,"41,168,634","3,321,772,831.919300",2020-09-30,12551000000,9321000000,3443000000,9108000000,3230000000,2941000000,3390000000,3428000000,84000000,2435000000,312000000,3116000000,203000000,114000000,483000000,198000000,2945000000,2941000000,1000000,-4665000000,-1495000000,-2306000000,-4204000000,-472000000,-2533000000,6247000000,-1445000000,2721000000,-4673000000,-1213000000,-108000000,3170000000,-3833000000,89800000000,16677000000,4671000000,60614000000,29186000000,1777000000,2848000000,1788000000,51107000000,13804000000,20248000000,8007000000,7356000000,20405000000,2420000000,-6383000000,16919000000,26577000000,1372000000,-7739000000,0,8422000000,26321000000,6128000000,4378000000,1788000000,51107000000,-56815000000,8007000000,26321000000,12027000000,40125000000,39489000000,89800000000,7356000000
2020-11-13,81.09,0.73,+0.908412%,84.78,79.03,85.17,"38,818,735","3,146,213,354.819800",2020-09-30,12551000000,9321000000,3443000000,9108000000,3230000000,2941000000,3390000000,3428000000,84000000,2435000000,312000000,3116000000,203000000,114000000,483000000,198000000,2945000000,2941000000,1000000,-4665000000,-1495000000,-2306000000,-4204000000,-472000000,-2533000000,6247000000,-1445000000,2721000000,-4673000000,-1213000000,-108000000,3170000000,-3833000000,89800000000,16677000000,4671000000,60614000000,29186000000,1777000000,2848000000,1788000000,51107000000,13804000000,20248000000,8007000000,7356000000,20405000000,2420000000,-6383000000,16919000000,26577000000,1372000000,-7739000000,0,8422000000,26321000000,6128000000,4378000000,1788000000,51107000000,-56815000000,8007000000,26321000000,12027000000,40125000000,39489000000,89800000000,7356000000
2020-11-06,80.36,5.15,+6.847494%,76.45,75.64,82.9,"44,650,346","3,557,597,912.492900",2020-09-30,12551000000,9321000000,3443000000,9108000000,3230000000,2941000000,3390000000,3428000000,84000000,2435000000,312000000,3116000000,203000000,114000000,483000000,198000000,2945000000,2941000000,1000000,-4665000000,-1495000000,-2306000000,-4204000000,-472000000,-2533000000,6247000000,-1445000000,2721000000,-4673000000,-1213000000,-108000000,3170000000,-3833000000,89800000000,16677000000,4671000000,60614000000,29186000000,1777000000,2848000000,1788000000,51107000000,13804000000,20248000000,8007000000,7356000000,20405000000,2420000000,-6383000000,16919000000,26577000000,1372000000,-7739000000,0,8422000000,26321000000,6128000000,4378000000,1788000000,51107000000,-56815000000,8007000000,26321000000,12027000000,40125000000,39489000000,89800000000,7356000000
2020-10-30,75.21,-4.62,-5.787298%,79.33,73.94,80.23,"48,440,650","3,730,347,835.062100",2020-09-30,12551000000,9321000000,3443000000,9108000000,3230000000,2941000000,3390000000,3428000000,84000000,2435000000,312000000,3116000000,203000000,114000000,483000000,198000000,2945000000,2941000000,1000000,-4665000000,-1495000000,-2306000000,-4204000000,-472000000,-2533000000,6247000000,-1445000000,2721000000,-4673000000,-1213000000,-108000000,3170000000,-3833000000,89800000000,16677000000,4671000000,60614000000,29186000000,1777000000,2848000000,1788000000,51107000000,13804000000,20248000000,8007000000,7356000000,20405000000,2420000000,-6383000000,16919000000,26577000000,1372000000,-7739000000,0,8422000000,26321000000,6128000000,4378000000,1788000000,51107000000,-56815000000,8007000000,26321000000,12027000000,40125000000,39489000000,89800000000,7356000000
2020-10-23,79.83,0.0,0.000000%,80.12,78.03,80.62,"40,872,608","3,221,926,601.442900",2020-09-30,12551000000,9321000000,3443000000,9108000000,3230000000,2941000000,3390000000,3428000000,84000000,2435000000,312000000,3116000000,203000000,114000000,483000000,198000000,2945000000,2941000000,1000000,-4665000000,-1495000000,-2306000000,-4204000000,-472000000,-2533000000,6247000000,-1445000000,2721000000,-4673000000,-1213000000,-108000000,3170000000,-3833000000,89800000000,16677000000,4671000000,60614000000,29186000000,1777000000,2848000000,1788000000,51107000000,13804000000,20248000000,8007000000,7356000000,20405000000,2420000000,-6383000000,16919000000,26577000000,1372000000,-7739000000,0,8422000000,26321000000,6128000000,4378000000,1788000000,51107000000,-56815000000,8007000000,26321000000,12027000000,40125000000,39489000000,89800000000,7356000000
2020-10-16,79.83,-0.53,-0.659532%,80.51,78.78,80.93,"41,628,686","3,331,881,412.207700",2020-09-30,12551000000,9321000000,3443000000,9108000000,3230000000,2941000000,3390000000,3428000000,84000000,2435000000,312000000,3116000000,203000000,114000000,483000000,198000000,2945000000,2941000000,1000000,-4665000000,-1495000000,-2306000000,-4204000000,-472000000,-2533000000,6247000000,-1445000000,2721000000,-4673000000,-1213000000,-108000000,3170000000,-3833000000,89800000000,16677000000,4671000000,60614000000,29186000000,1777000000,2848000000,1788000000,51107000000,13804000000,20248000000,8007000000,7356000000,20405000000,2420000000,-6383000000,16919000000,26577000000,1372000000,-7739000000,0,8422000000,26321000000,6128000000,4378000000,1788000000,51107000000,-56815000000,8007000000,26321000000,12027000000,40125000000,39489000000,89800000000,7356000000
2020-10-09,80.36,-0.44,-0.544554%,81.23,79.51,81.835,"42,079,826","3,384,599,936.284700",2020-09-30,12551000000,9321000000,3443000000,9108000000,3230000000,2941000000,3390000000,3428000000,84000000,2435000000,312000000,3116000000,203000000,114000000,483000000,198000000,2945000000,2941000000,1000000,-4665000000,-1495000000,-2306000000,-4204000000,-472000000,-2533000000,6247000000,-1445000000,2721000000,-4673000000,-1213000000,-108000000,3170000000,-3833000000,89800000000,16677000000,4671000000,60614000000,29186000000,1777000000,2848000000,1788000000,51107000000,13804000000,20248000000,8007000000,7356000000,20405000000,2420000000,-6383000000,16919000000,26577000000,1372000000,-7739000000,0,8422000000,26321000000,6128000000,4378000000,1788000000,51107000000,-56815000000,8007000000,26321000000,12027000000,40125000000,39489000000,89800000000,7356000000
2020-10-02,80.8,-2.13,-2.568431%,83.2,80.45,83.7,"36,379,362","2,993,355,456.838700",2020-09-30,12551000000,9321000000,3443000000,9108000000,3230000000,2941000000,3390000000,3428000000,84000000,2435000000,312000000,3116000000,203000000,114000000,483000000,198000000,2945000000,2941000000,1000000,-4665000000,-1495000000,-2306000000,-4204000000,-472000000,-2533000000,6247000000,-1445000000,2721000000,-4673000000,-1213000000,-108000000,3170000000,-3833000000,89800000000,16677000000,4671000000,60614000000,29186000000,1777000000,2848000000,1788000000,51107000000,13804000000,20248000000,8007000000,7356000000,20405000000,2420000000,-6383000000,16919000000,26577000000,1372000000,-7739000000,0,8422000000,26321000000,6128000000,4378000000,1788000000,51107000000,-56815000000,8007000000,26321000000,12027000000,40125000000,39489000000,89800000000,7356000000
2020-09-25,82.93,-2.88,-3.356252%,84.92,81.8,85.34,"38,598,796","3,199,417,608.414500",2020-06-30,10872000000,4584000000,3159000000,7713000000,3519000000,3002000000,2123000000,3519000000,8000000,2378000000,390000000,3129000000,209000000,83000000,509000000,502000000,3010000000,3002000000,48000000,-882000000,-262000000,2828000000,1137000000,-128000000,3622000000,3367000000,-527000000,1048000000,-1577000000,14000000,-164000000,668000000,3622000000,90615000000,16566000000,2686000000,62871000000,27642000000,2091000000,11182000000,1788000000,49724000000,14537000000,20067000000,7040000000,11103000000,22178000000,4718000000,-6393000000,15789000000,29343000000,1251000000,-8991000000,0,12184000000,26156000000,6056000000,6278000000,1788000000,49724000000,-56850000000,7599000000,26156000000,12446000000,40693000000,39373000000,90615000000,11103000000
