Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,fiscalDateEnding,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,incomeBeforeTax,sellingGeneralAdministrative,operatingIncome,interestExpense,incomeTaxExpense,totalOtherIncomeExpense,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,cashflowFromFinancing,otherCashflowFromFinancing,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,totalAssets,intangibleAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,commonStockTotalEquity,retainedEarningsTotalEquity,otherNonCurrrentAssets,totalNonCurrentAssets,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,commonStockSharesOutstanding
2020-11-27,215.23,4.84,+2.30%,210.95,208.16,216.27,"95,188,338","20,210,109,145.98",2020-09-30,37154000000,21278000000,11002000000,26152000000,19358000000,13893000000,4926000000,16124000000,5350000000,15876000000,589000000,2231000000,837000000,13893000000,13893000000,-5371000000,-2749000000,-5371000000,-2083000000,-10289000000,-235000000,3629000000,19335000000,-3180000000,2645000000,-3856000000,-6743000000,-808000000,8843000000,1317000000,4907000000,8843000000,-46000000,3629000000,301001000000,6923000000,13544000000,177609000000,123392000000,187000000,9476000000,81089000000,39193000000,33174000000,43890000000,13034000000,17205000000,70056000000,6497000000,3110000000,56974000000,177077000000,3103000000,72579000000,120772000000,22851000000,57055000000,2705000000,12509000000,81089000000,39193000000,13034000000,123924000000,57055000000,11525000000,107553000000,301001000000,137977000000,7564000000
2020-11-20,210.39,-6.12,-2.83%,214.87,209.93,217.74,"125,116,110","26,716,131,360.53",2020-09-30,37154000000,21278000000,11002000000,26152000000,19358000000,13893000000,4926000000,16124000000,5350000000,15876000000,589000000,2231000000,837000000,13893000000,13893000000,-5371000000,-2749000000,-5371000000,-2083000000,-10289000000,-235000000,3629000000,19335000000,-3180000000,2645000000,-3856000000,-6743000000,-808000000,8843000000,1317000000,4907000000,8843000000,-46000000,3629000000,301001000000,6923000000,13544000000,177609000000,123392000000,187000000,9476000000,81089000000,39193000000,33174000000,43890000000,13034000000,17205000000,70056000000,6497000000,3110000000,56974000000,177077000000,3103000000,72579000000,120772000000,22851000000,57055000000,2705000000,12509000000,81089000000,39193000000,13034000000,123924000000,57055000000,11525000000,107553000000,301001000000,137977000000,7564000000
2020-11-13,216.51,-7.21,-3.22%,224.44,209.72,228.12,"158,127,280","34,260,399,464.16",2020-09-30,37154000000,21278000000,11002000000,26152000000,19358000000,13893000000,4926000000,16124000000,5350000000,15876000000,589000000,2231000000,837000000,13893000000,13893000000,-5371000000,-2749000000,-5371000000,-2083000000,-10289000000,-235000000,3629000000,19335000000,-3180000000,2645000000,-3856000000,-6743000000,-808000000,8843000000,1317000000,4907000000,8843000000,-46000000,3629000000,301001000000,6923000000,13544000000,177609000000,123392000000,187000000,9476000000,81089000000,39193000000,33174000000,43890000000,13034000000,17205000000,70056000000,6497000000,3110000000,56974000000,177077000000,3103000000,72579000000,120772000000,22851000000,57055000000,2705000000,12509000000,81089000000,39193000000,13034000000,123924000000,57055000000,11525000000,107553000000,301001000000,137977000000,7564000000
2020-11-06,223.72,21.25,+10.50%,204.29,200.12,224.36,"161,978,002","34,716,950,930.58",2020-09-30,37154000000,21278000000,11002000000,26152000000,19358000000,13893000000,4926000000,16124000000,5350000000,15876000000,589000000,2231000000,837000000,13893000000,13893000000,-5371000000,-2749000000,-5371000000,-2083000000,-10289000000,-235000000,3629000000,19335000000,-3180000000,2645000000,-3856000000,-6743000000,-808000000,8843000000,1317000000,4907000000,8843000000,-46000000,3629000000,301001000000,6923000000,13544000000,177609000000,123392000000,187000000,9476000000,81089000000,39193000000,33174000000,43890000000,13034000000,17205000000,70056000000,6497000000,3110000000,56974000000,177077000000,3103000000,72579000000,120772000000,22851000000,57055000000,2705000000,12509000000,81089000000,39193000000,13034000000,123924000000,57055000000,11525000000,107553000000,301001000000,137977000000,7564000000
2020-10-30,202.47,-13.76,-6.36%,213.85,199.62,216.34,"193,420,153","40,033,782,585.06",2020-09-30,37154000000,21278000000,11002000000,26152000000,19358000000,13893000000,4926000000,16124000000,5350000000,15876000000,589000000,2231000000,837000000,13893000000,13893000000,-5371000000,-2749000000,-5371000000,-2083000000,-10289000000,-235000000,3629000000,19335000000,-3180000000,2645000000,-3856000000,-6743000000,-808000000,8843000000,1317000000,4907000000,8843000000,-46000000,3629000000,301001000000,6923000000,13544000000,177609000000,123392000000,187000000,9476000000,81089000000,39193000000,33174000000,43890000000,13034000000,17205000000,70056000000,6497000000,3110000000,56974000000,177077000000,3103000000,72579000000,120772000000,22851000000,57055000000,2705000000,12509000000,81089000000,39193000000,13034000000,123924000000,57055000000,11525000000,107553000000,301001000000,137977000000,7564000000
2020-10-23,216.23,-3.43,-1.56%,220.42,211.7,222.3,"114,335,316","24,626,276,650.40",2020-09-30,37154000000,21278000000,11002000000,26152000000,19358000000,13893000000,4926000000,16124000000,5350000000,15876000000,589000000,2231000000,837000000,13893000000,13893000000,-5371000000,-2749000000,-5371000000,-2083000000,-10289000000,-235000000,3629000000,19335000000,-3180000000,2645000000,-3856000000,-6743000000,-808000000,8843000000,1317000000,4907000000,8843000000,-46000000,3629000000,301001000000,6923000000,13544000000,177609000000,123392000000,187000000,9476000000,81089000000,39193000000,33174000000,43890000000,13034000000,17205000000,70056000000,6497000000,3110000000,56974000000,177077000000,3103000000,72579000000,120772000000,22851000000,57055000000,2705000000,12509000000,81089000000,39193000000,13034000000,123924000000,57055000000,11525000000,107553000000,301001000000,137977000000,7564000000
2020-10-16,219.66,3.85,+1.78%,218.79,216.01,225.21,"141,654,870","31,311,434,279.01",2020-09-30,37154000000,21278000000,11002000000,26152000000,19358000000,13893000000,4926000000,16124000000,5350000000,15876000000,589000000,2231000000,837000000,13893000000,13893000000,-5371000000,-2749000000,-5371000000,-2083000000,-10289000000,-235000000,3629000000,19335000000,-3180000000,2645000000,-3856000000,-6743000000,-808000000,8843000000,1317000000,4907000000,8843000000,-46000000,3629000000,301001000000,6923000000,13544000000,177609000000,123392000000,187000000,9476000000,81089000000,39193000000,33174000000,43890000000,13034000000,17205000000,70056000000,6497000000,3110000000,56974000000,177077000000,3103000000,72579000000,120772000000,22851000000,57055000000,2705000000,12509000000,81089000000,39193000000,13034000000,123924000000,57055000000,11525000000,107553000000,301001000000,137977000000,7564000000
2020-10-09,215.81,9.62,+4.67%,207.22,204.82,215.86,"121,950,760","25,610,912,657.15",2020-09-30,37154000000,21278000000,11002000000,26152000000,19358000000,13893000000,4926000000,16124000000,5350000000,15876000000,589000000,2231000000,837000000,13893000000,13893000000,-5371000000,-2749000000,-5371000000,-2083000000,-10289000000,-235000000,3629000000,19335000000,-3180000000,2645000000,-3856000000,-6743000000,-808000000,8843000000,1317000000,4907000000,8843000000,-46000000,3629000000,301001000000,6923000000,13544000000,177609000000,123392000000,187000000,9476000000,81089000000,39193000000,33174000000,43890000000,13034000000,17205000000,70056000000,6497000000,3110000000,56974000000,177077000000,3103000000,72579000000,120772000000,22851000000,57055000000,2705000000,12509000000,81089000000,39193000000,13034000000,123924000000,57055000000,11525000000,107553000000,301001000000,137977000000,7564000000
2020-10-02,206.19,-1.63,-0.78%,210.88,205.54,213.99,"150,611,695","31,565,026,356.30",2020-09-30,37154000000,21278000000,11002000000,26152000000,19358000000,13893000000,4926000000,16124000000,5350000000,15876000000,589000000,2231000000,837000000,13893000000,13893000000,-5371000000,-2749000000,-5371000000,-2083000000,-10289000000,-235000000,3629000000,19335000000,-3180000000,2645000000,-3856000000,-6743000000,-808000000,8843000000,1317000000,4907000000,8843000000,-46000000,3629000000,301001000000,6923000000,13544000000,177609000000,123392000000,187000000,9476000000,81089000000,39193000000,33174000000,43890000000,13034000000,17205000000,70056000000,6497000000,3110000000,56974000000,177077000000,3103000000,72579000000,120772000000,22851000000,57055000000,2705000000,12509000000,81089000000,39193000000,13034000000,123924000000,57055000000,11525000000,107553000000,301001000000,137977000000,7564000000
2020-09-25,207.82,7.43,+3.71%,197.19,196.38,209.04,"164,800,307","33,513,608,949.73",2020-06-30,38033000000,12287000000,12339000000,25694000000,13422000000,11202000000,5214000000,13422000000,7073000000,13407000000,686000000,2220000000,701000000,11202000000,11202000000,11000000,5542000000,-4462000000,271000000,-12262000000,471000000,1949000000,18673000000,6314000000,3504000000,-3865000000,-5451000000,-251000000,-9355000000,1717000000,4744000000,-9355000000,-83000000,1866000000,301311000000,7038000000,11482000000,183007000000,118304000000,204000000,46027000000,80552000000,34566000000,34492000000,43351000000,13138000000,13576000000,72310000000,3749000000,3186000000,44151000000,181915000000,2965000000,67915000000,122951000000,32011000000,59578000000,1895000000,22534000000,80552000000,34566000000,21891000000,119396000000,59578000000,50915000000,110697000000,301311000000,136527000000,7571000000
