Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,fiscalDateEnding,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,incomeBeforeTax,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,interestExpense,incomeTaxExpense,totalOtherIncomeExpense,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,totalAssets,intangibleAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,commonStockTotalEquity,retainedEarningsTotalEquity,totalNonCurrentAssets,totalLongTermDebt,totalNonCurrentLiabilities,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments
2020-11-27,134.25,1.27,+0.955031%,134.38,133.09,136.13,"21,316,799","2,869,599,602.000700",2020-08-31,10594000000,8828000000,5853000000,4741000000,1766000000,1518000000,1715000000,2975000000,14000000,1766000000,65000000,197000000,14000000,1518000000,1518000000,-889000000,-85000000,-889000000,-713000000,-113000000,-248000000,-53000000,-200000000,882000000,-297000000,176000000,-384000000,302000000,689000000,-990000000,-129000000,176000000,-990000000,55000000,-200000000,33258000000,272000000,43000000,24034000000,9224000000,3046000000,297000000,3000000,927000000,3046000000,223000000,2699000000,8148000000,8619000000,137000000,-401000000,8127000000,21937000000,8729000000,1332000000,3813000000,9408000000,6705000000,1983000000,3000000,927000000,11321000000,9408000000,15415000000,8695000000,33258000000,9480000000
2020-11-20,132.98,4.7,+3.663860%,129.46,127.37,133.98,"27,655,199","3,635,493,237.914300",2020-08-31,10594000000,8828000000,5853000000,4741000000,1766000000,1518000000,1715000000,2975000000,14000000,1766000000,65000000,197000000,14000000,1518000000,1518000000,-889000000,-85000000,-889000000,-713000000,-113000000,-248000000,-53000000,-200000000,882000000,-297000000,176000000,-384000000,302000000,689000000,-990000000,-129000000,176000000,-990000000,55000000,-200000000,33258000000,272000000,43000000,24034000000,9224000000,3046000000,297000000,3000000,927000000,3046000000,223000000,2699000000,8148000000,8619000000,137000000,-401000000,8127000000,21937000000,8729000000,1332000000,3813000000,9408000000,6705000000,1983000000,3000000,927000000,11321000000,9408000000,15415000000,8695000000,33258000000,9480000000
2020-11-13,128.28,-0.62,-0.480993%,135.06,125.625,136.35,"30,349,275","3,903,701,863.895400",2020-08-31,10594000000,8828000000,5853000000,4741000000,1766000000,1518000000,1715000000,2975000000,14000000,1766000000,65000000,197000000,14000000,1518000000,1518000000,-889000000,-85000000,-889000000,-713000000,-113000000,-248000000,-53000000,-200000000,882000000,-297000000,176000000,-384000000,302000000,689000000,-990000000,-129000000,176000000,-990000000,55000000,-200000000,33258000000,272000000,43000000,24034000000,9224000000,3046000000,297000000,3000000,927000000,3046000000,223000000,2699000000,8148000000,8619000000,137000000,-401000000,8127000000,21937000000,8729000000,1332000000,3813000000,9408000000,6705000000,1983000000,3000000,927000000,11321000000,9408000000,15415000000,8695000000,33258000000,9480000000
2020-11-06,128.9,8.82,+7.345103%,122.37,121.1,130.41,"20,187,114","2,552,848,645.221900",2020-08-31,10594000000,8828000000,5853000000,4741000000,1766000000,1518000000,1715000000,2975000000,14000000,1766000000,65000000,197000000,14000000,1518000000,1518000000,-889000000,-85000000,-889000000,-713000000,-113000000,-248000000,-53000000,-200000000,882000000,-297000000,176000000,-384000000,302000000,689000000,-990000000,-129000000,176000000,-990000000,55000000,-200000000,33258000000,272000000,43000000,24034000000,9224000000,3046000000,297000000,3000000,927000000,3046000000,223000000,2699000000,8148000000,8619000000,137000000,-401000000,8127000000,21937000000,8729000000,1332000000,3813000000,9408000000,6705000000,1983000000,3000000,927000000,11321000000,9408000000,15415000000,8695000000,33258000000,9480000000
2020-10-30,120.08,-9.91,-7.623663%,129.06,118.8,129.62,"29,765,907","3,682,755,787.394900",2020-08-31,10594000000,8828000000,5853000000,4741000000,1766000000,1518000000,1715000000,2975000000,14000000,1766000000,65000000,197000000,14000000,1518000000,1518000000,-889000000,-85000000,-889000000,-713000000,-113000000,-248000000,-53000000,-200000000,882000000,-297000000,176000000,-384000000,302000000,689000000,-990000000,-129000000,176000000,-990000000,55000000,-200000000,33258000000,272000000,43000000,24034000000,9224000000,3046000000,297000000,3000000,927000000,3046000000,223000000,2699000000,8148000000,8619000000,137000000,-401000000,8127000000,21937000000,8729000000,1332000000,3813000000,9408000000,6705000000,1983000000,3000000,927000000,11321000000,9408000000,15415000000,8695000000,33258000000,9480000000
2020-10-23,129.99,1.99,+1.554688%,129.1,127.05,131.38,"20,794,843","2,686,564,412.786400",2020-08-31,10594000000,8828000000,5853000000,4741000000,1766000000,1518000000,1715000000,2975000000,14000000,1766000000,65000000,197000000,14000000,1518000000,1518000000,-889000000,-85000000,-889000000,-713000000,-113000000,-248000000,-53000000,-200000000,882000000,-297000000,176000000,-384000000,302000000,689000000,-990000000,-129000000,176000000,-990000000,55000000,-200000000,33258000000,272000000,43000000,24034000000,9224000000,3046000000,297000000,3000000,927000000,3046000000,223000000,2699000000,8148000000,8619000000,137000000,-401000000,8127000000,21937000000,8729000000,1332000000,3813000000,9408000000,6705000000,1983000000,3000000,927000000,11321000000,9408000000,15415000000,8695000000,33258000000,9480000000
2020-10-16,128.0,-2.98,-2.275157%,131.19,126.11,131.34,"23,216,163","2,988,427,665.616900",2020-08-31,10594000000,8828000000,5853000000,4741000000,1766000000,1518000000,1715000000,2975000000,14000000,1766000000,65000000,197000000,14000000,1518000000,1518000000,-889000000,-85000000,-889000000,-713000000,-113000000,-248000000,-53000000,-200000000,882000000,-297000000,176000000,-384000000,302000000,689000000,-990000000,-129000000,176000000,-990000000,55000000,-200000000,33258000000,272000000,43000000,24034000000,9224000000,3046000000,297000000,3000000,927000000,3046000000,223000000,2699000000,8148000000,8619000000,137000000,-401000000,8127000000,21937000000,8729000000,1332000000,3813000000,9408000000,6705000000,1983000000,3000000,927000000,11321000000,9408000000,15415000000,8695000000,33258000000,9480000000
2020-10-09,130.98,4.34,+3.427037%,127.07,126.45,131.19,"26,527,705","3,426,777,631.868100",2020-08-31,10594000000,8828000000,5853000000,4741000000,1766000000,1518000000,1715000000,2975000000,14000000,1766000000,65000000,197000000,14000000,1518000000,1518000000,-889000000,-85000000,-889000000,-713000000,-113000000,-248000000,-53000000,-200000000,882000000,-297000000,176000000,-384000000,302000000,689000000,-990000000,-129000000,176000000,-990000000,55000000,-200000000,33258000000,272000000,43000000,24034000000,9224000000,3046000000,297000000,3000000,927000000,3046000000,223000000,2699000000,8148000000,8619000000,137000000,-401000000,8127000000,21937000000,8729000000,1332000000,3813000000,9408000000,6705000000,1983000000,3000000,927000000,11321000000,9408000000,15415000000,8695000000,33258000000,9480000000
2020-10-02,126.64,2.41,+1.939950%,125.16,123.59,127.73,"37,152,567","4,674,672,951.636300",2020-08-31,10594000000,8828000000,5853000000,4741000000,1766000000,1518000000,1715000000,2975000000,14000000,1766000000,65000000,197000000,14000000,1518000000,1518000000,-889000000,-85000000,-889000000,-713000000,-113000000,-248000000,-53000000,-200000000,882000000,-297000000,176000000,-384000000,302000000,689000000,-990000000,-129000000,176000000,-990000000,55000000,-200000000,33258000000,272000000,43000000,24034000000,9224000000,3046000000,297000000,3000000,927000000,3046000000,223000000,2699000000,8148000000,8619000000,137000000,-401000000,8127000000,21937000000,8729000000,1332000000,3813000000,9408000000,6705000000,1983000000,3000000,927000000,11321000000,9408000000,15415000000,8695000000,33258000000,9480000000
2020-09-25,124.23,9.57,+8.346415%,112.95,111.74,130.38,"81,984,780","10,174,968,554.544000",2020-08-31,10594000000,8828000000,5853000000,4741000000,1766000000,1518000000,1715000000,2975000000,14000000,1766000000,65000000,197000000,14000000,1518000000,1518000000,-889000000,-85000000,-889000000,-713000000,-113000000,-248000000,-53000000,-200000000,882000000,-297000000,176000000,-384000000,302000000,689000000,-990000000,-129000000,176000000,-990000000,55000000,-200000000,33258000000,272000000,43000000,24034000000,9224000000,3046000000,297000000,3000000,927000000,3046000000,223000000,2699000000,8148000000,8619000000,137000000,-401000000,8127000000,21937000000,8729000000,1332000000,3813000000,9408000000,6705000000,1983000000,3000000,927000000,11321000000,9408000000,15415000000,8695000000,33258000000,9480000000
