Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,fiscalDateEnding,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,operatingIncome,interestExpense,incomeTaxExpense,totalOtherIncomeExpense,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,changeInCash,operatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,totalAssets,intangibleAssets,totalLiabilities,totalShareholderEquity,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,netTangibleAssets,netReceivables,longTermDebt,inventory,accountsPayable,treasuryStock,otherNonCurrrentAssets,totalNonCurrentAssets,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,capitalSurplus,cashAndShortTermInvestments
2020-11-27,138.61,-0.69,-0.495334%,139.32,137.53,139.95,"24,538,870","3,400,698,122.605800",2020-09-30,19318000000,14037000000,9142000000,10176000000,6104000000,4277000000,5297000000,394000000,4895000000,5281000000,136000000,989000000,142000000,4308000000,4277000000,-829000000,442000000,-829000000,21000000,-3593000000,-6730000000,-2789000000,4739000000,671000000,-2030000000,-1107000000,-137000000,-825000000,341000000,850000000,119899000000,23814000000,71717000000,48182000000,4009000000,102539000000,17367000000,40569000000,8614000000,13392000000,30008000000,-15886000000,20876000000,26026000000,-17089000000,5043000000,23948000000,5707000000,11935000000,-106794000000,8614000000,93873000000,23948000000,11073000000,41315000000,64467000000,13392000000
2020-11-20,139.3,-4.98,-3.451622%,144.78,138.447,144.78,"30,482,454","4,302,906,061.337400",2020-09-30,19318000000,14037000000,9142000000,10176000000,6104000000,4277000000,5297000000,394000000,4895000000,5281000000,136000000,989000000,142000000,4308000000,4277000000,-829000000,442000000,-829000000,21000000,-3593000000,-6730000000,-2789000000,4739000000,671000000,-2030000000,-1107000000,-137000000,-825000000,341000000,850000000,119899000000,23814000000,71717000000,48182000000,4009000000,102539000000,17367000000,40569000000,8614000000,13392000000,30008000000,-15886000000,20876000000,26026000000,-17089000000,5043000000,23948000000,5707000000,11935000000,-106794000000,8614000000,93873000000,23948000000,11073000000,41315000000,64467000000,13392000000
2020-11-13,144.28,1.05,+0.733087%,146.15,137.15,146.92,"38,172,647","5,402,352,499.833700",2020-09-30,19318000000,14037000000,9142000000,10176000000,6104000000,4277000000,5297000000,394000000,4895000000,5281000000,136000000,989000000,142000000,4308000000,4277000000,-829000000,442000000,-829000000,21000000,-3593000000,-6730000000,-2789000000,4739000000,671000000,-2030000000,-1107000000,-137000000,-825000000,341000000,850000000,119899000000,23814000000,71717000000,48182000000,4009000000,102539000000,17367000000,40569000000,8614000000,13392000000,30008000000,-15886000000,20876000000,26026000000,-17089000000,5043000000,23948000000,5707000000,11935000000,-106794000000,8614000000,93873000000,23948000000,11073000000,41315000000,64467000000,13392000000
2020-11-06,143.23,6.13,+4.471189%,138.51,137.4359,144.07,"29,123,390","4,117,534,771.512700",2020-09-30,19318000000,14037000000,9142000000,10176000000,6104000000,4277000000,5297000000,394000000,4895000000,5281000000,136000000,989000000,142000000,4308000000,4277000000,-829000000,442000000,-829000000,21000000,-3593000000,-6730000000,-2789000000,4739000000,671000000,-2030000000,-1107000000,-137000000,-825000000,341000000,850000000,119899000000,23814000000,71717000000,48182000000,4009000000,102539000000,17367000000,40569000000,8614000000,13392000000,30008000000,-15886000000,20876000000,26026000000,-17089000000,5043000000,23948000000,5707000000,11935000000,-106794000000,8614000000,93873000000,23948000000,11073000000,41315000000,64467000000,13392000000
2020-10-30,137.1,-5.28,-3.708386%,141.5,134.68,143.34,"32,213,361","4,486,566,316.591400",2020-09-30,19318000000,14037000000,9142000000,10176000000,6104000000,4277000000,5297000000,394000000,4895000000,5281000000,136000000,989000000,142000000,4308000000,4277000000,-829000000,442000000,-829000000,21000000,-3593000000,-6730000000,-2789000000,4739000000,671000000,-2030000000,-1107000000,-137000000,-825000000,341000000,850000000,119899000000,23814000000,71717000000,48182000000,4009000000,102539000000,17367000000,40569000000,8614000000,13392000000,30008000000,-15886000000,20876000000,26026000000,-17089000000,5043000000,23948000000,5707000000,11935000000,-106794000000,8614000000,93873000000,23948000000,11073000000,41315000000,64467000000,13392000000
2020-10-23,142.38,-2.01,-1.392063%,144.47,141.08,145.69,"28,444,064","4,066,088,038.165700",2020-09-30,19318000000,14037000000,9142000000,10176000000,6104000000,4277000000,5297000000,394000000,4895000000,5281000000,136000000,989000000,142000000,4308000000,4277000000,-829000000,442000000,-829000000,21000000,-3593000000,-6730000000,-2789000000,4739000000,671000000,-2030000000,-1107000000,-137000000,-825000000,341000000,850000000,119899000000,23814000000,71717000000,48182000000,4009000000,102539000000,17367000000,40569000000,8614000000,13392000000,30008000000,-15886000000,20876000000,26026000000,-17089000000,5043000000,23948000000,5707000000,11935000000,-106794000000,8614000000,93873000000,23948000000,11073000000,41315000000,64467000000,13392000000
2020-10-16,144.39,1.47,+1.028547%,143.33,142.89,145.87,"25,966,944","3,747,350,548.399200",2020-09-30,19318000000,14037000000,9142000000,10176000000,6104000000,4277000000,5297000000,394000000,4895000000,5281000000,136000000,989000000,142000000,4308000000,4277000000,-829000000,442000000,-829000000,21000000,-3593000000,-6730000000,-2789000000,4739000000,671000000,-2030000000,-1107000000,-137000000,-825000000,341000000,850000000,119899000000,23814000000,71717000000,48182000000,4009000000,102539000000,17367000000,40569000000,8614000000,13392000000,30008000000,-15886000000,20876000000,26026000000,-17089000000,5043000000,23948000000,5707000000,11935000000,-106794000000,8614000000,93873000000,23948000000,11073000000,41315000000,64467000000,13392000000
2020-10-09,142.92,4.8,+3.475239%,138.72,138.3,143.64,"28,139,654","3,960,864,603.989400",2020-09-30,19318000000,14037000000,9142000000,10176000000,6104000000,4277000000,5297000000,394000000,4895000000,5281000000,136000000,989000000,142000000,4308000000,4277000000,-829000000,442000000,-829000000,21000000,-3593000000,-6730000000,-2789000000,4739000000,671000000,-2030000000,-1107000000,-137000000,-825000000,341000000,850000000,119899000000,23814000000,71717000000,48182000000,4009000000,102539000000,17367000000,40569000000,8614000000,13392000000,30008000000,-15886000000,20876000000,26026000000,-17089000000,5043000000,23948000000,5707000000,11935000000,-106794000000,8614000000,93873000000,23948000000,11073000000,41315000000,64467000000,13392000000
2020-10-02,138.12,0.5,+0.363319%,138.56,136.66,139.99,"30,823,373","4,270,292,188.235900",2020-09-30,19318000000,14037000000,9142000000,10176000000,6104000000,4277000000,5297000000,394000000,4895000000,5281000000,136000000,989000000,142000000,4308000000,4277000000,-829000000,442000000,-829000000,21000000,-3593000000,-6730000000,-2789000000,4739000000,671000000,-2030000000,-1107000000,-137000000,-825000000,341000000,850000000,119899000000,23814000000,71717000000,48182000000,4009000000,102539000000,17367000000,40569000000,8614000000,13392000000,30008000000,-15886000000,20876000000,26026000000,-17089000000,5043000000,23948000000,5707000000,11935000000,-106794000000,8614000000,93873000000,23948000000,11073000000,41315000000,64467000000,13392000000
2020-09-25,137.62,0.25,+0.181990%,137.0,134.7,139.03,"28,868,118","3,953,174,591.487000",2020-06-30,17698000000,14217000000,8659000000,9039000000,4432000000,2800000000,3461000000,357000000,5314000000,3477000000,-114000000,675000000,115000000,2786000000,2730000000,-659000000,1185000000,3045000000,6118000000,-1588000000,-8367000000,11942000000,17403000000,3013000000,-7789000000,-5427000000,-104000000,499000000,264000000,3073000000,120700000000,23792000000,74179000000,46521000000,4009000000,100239000000,16657000000,39901000000,7478000000,16181000000,32976000000,-16164000000,21542000000,27987000000,-18069000000,4178000000,23537000000,5498000000,12071000000,-105573000000,8328000000,92713000000,23537000000,1149000000,40846000000,64194000000,16181000000
