Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,fiscalDateEnding,totalRevenue,totalOperatingExpense,grossProfit,ebit,netIncome,incomeBeforeTax,sellingGeneralAdministrative,operatingIncome,otherOperatingExpense,interestExpense,incomeTaxExpense,totalOtherIncomeExpense,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,cashflowFromFinancing,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInCashAndCashEquivalents,totalAssets,intangibleAssets,totalLiabilities,totalShareholderEquity,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,accountsPayable,commonStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,otherNonCurrrentAssets,totalNonCurrentAssets,otherNonCurrentLiabilities,totalNonCurrentLiabilities,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,commonStockSharesOutstanding
2020-11-27,134.44,-0.11,-0.0818%,135.56,133.5508,136.94,"4,541,579","615,509,148.4501",2020-09-30,8275000000,7289000000,8275000000,986000000,827000000,986000000,1109000000,1073000000,7289000000,87000000,159000000,86000000,827000000,821000000,-2163000000,317000000,-3977000000,-3977000000,-552000000,89000000,4618000000,-23000000,577000000,-643000000,-399000000,37000000,-225000000,0,37000000,-47000000,116384000000,318000000,88535000000,27849000000,23646000000,37679000000,10626000000,3945000000,5085000000,583000000,70649000000,-1674000000,957000000,28355000000,79313000000,23586000000,78903000000,8225000000,6450000000,54973000000,23646000000,37679000000,-35614000000,7573000000,2406000000,81037000000,88535000000,116384000000,583000000,253300000
2020-11-20,134.55,-0.08,-0.0594%,137.8,131.46,138.98,"6,155,815","829,711,231.9880",2020-09-30,8275000000,7289000000,8275000000,986000000,827000000,986000000,1109000000,1073000000,7289000000,87000000,159000000,86000000,827000000,821000000,-2163000000,317000000,-3977000000,-3977000000,-552000000,89000000,4618000000,-23000000,577000000,-643000000,-399000000,37000000,-225000000,0,37000000,-47000000,116384000000,318000000,88535000000,27849000000,23646000000,37679000000,10626000000,3945000000,5085000000,583000000,70649000000,-1674000000,957000000,28355000000,79313000000,23586000000,78903000000,8225000000,6450000000,54973000000,23646000000,37679000000,-35614000000,7573000000,2406000000,81037000000,88535000000,116384000000,583000000,253300000
2020-11-13,134.63,7.63,+6.0079%,138.45,131.19,138.47,"7,716,970","1,040,767,537.4852",2020-09-30,8275000000,7289000000,8275000000,986000000,827000000,986000000,1109000000,1073000000,7289000000,87000000,159000000,86000000,827000000,821000000,-2163000000,317000000,-3977000000,-3977000000,-552000000,89000000,4618000000,-23000000,577000000,-643000000,-399000000,37000000,-225000000,0,37000000,-47000000,116384000000,318000000,88535000000,27849000000,23646000000,37679000000,10626000000,3945000000,5085000000,583000000,70649000000,-1674000000,957000000,28355000000,79313000000,23586000000,78903000000,8225000000,6450000000,54973000000,23646000000,37679000000,-35614000000,7573000000,2406000000,81037000000,88535000000,116384000000,583000000,253300000
2020-11-06,127.0,6.29,+5.2108%,123.07,120.42,129.08,"8,143,191","1,022,354,065.5685",2020-09-30,8275000000,7289000000,8275000000,986000000,827000000,986000000,1109000000,1073000000,7289000000,87000000,159000000,86000000,827000000,821000000,-2163000000,317000000,-3977000000,-3977000000,-552000000,89000000,4618000000,-23000000,577000000,-643000000,-399000000,37000000,-225000000,0,37000000,-47000000,116384000000,318000000,88535000000,27849000000,23646000000,37679000000,10626000000,3945000000,5085000000,583000000,70649000000,-1674000000,957000000,28355000000,79313000000,23586000000,78903000000,8225000000,6450000000,54973000000,23646000000,37679000000,-35614000000,7573000000,2406000000,81037000000,88535000000,116384000000,583000000,253300000
2020-10-30,120.71,-5.26,-4.1756%,123.85,116.71,124.015,"10,616,678","1,286,930,015.8002",2020-09-30,8275000000,7289000000,8275000000,986000000,827000000,986000000,1109000000,1073000000,7289000000,87000000,159000000,86000000,827000000,821000000,-2163000000,317000000,-3977000000,-3977000000,-552000000,89000000,4618000000,-23000000,577000000,-643000000,-399000000,37000000,-225000000,0,37000000,-47000000,116384000000,318000000,88535000000,27849000000,23646000000,37679000000,10626000000,3945000000,5085000000,583000000,70649000000,-1674000000,957000000,28355000000,79313000000,23586000000,78903000000,8225000000,6450000000,54973000000,23646000000,37679000000,-35614000000,7573000000,2406000000,81037000000,88535000000,116384000000,583000000,253300000
2020-10-23,125.97,12.65,+11.1631%,113.51,111.69,127.55,"10,100,484","1,226,900,490.8237",2020-09-30,8275000000,7289000000,8275000000,986000000,827000000,986000000,1109000000,1073000000,7289000000,87000000,159000000,86000000,827000000,821000000,-2163000000,317000000,-3977000000,-3977000000,-552000000,89000000,4618000000,-23000000,577000000,-643000000,-399000000,37000000,-225000000,0,37000000,-47000000,116384000000,318000000,88535000000,27849000000,23646000000,37679000000,10626000000,3945000000,5085000000,583000000,70649000000,-1674000000,957000000,28355000000,79313000000,23586000000,78903000000,8225000000,6450000000,54973000000,23646000000,37679000000,-35614000000,7573000000,2406000000,81037000000,88535000000,116384000000,583000000,253300000
2020-10-16,113.32,-2.51,-2.1670%,114.35,109.62,116.92,"6,551,144","743,770,010.0187",2020-09-30,8275000000,7289000000,8275000000,986000000,827000000,986000000,1109000000,1073000000,7289000000,87000000,159000000,86000000,827000000,821000000,-2163000000,317000000,-3977000000,-3977000000,-552000000,89000000,4618000000,-23000000,577000000,-643000000,-399000000,37000000,-225000000,0,37000000,-47000000,116384000000,318000000,88535000000,27849000000,23646000000,37679000000,10626000000,3945000000,5085000000,583000000,70649000000,-1674000000,957000000,28355000000,79313000000,23586000000,78903000000,8225000000,6450000000,54973000000,23646000000,37679000000,-35614000000,7573000000,2406000000,81037000000,88535000000,116384000000,583000000,253300000
2020-10-09,115.83,7.25,+6.6771%,110.55,109.55,116.98,"5,814,331","658,670,179.1048",2020-09-30,8275000000,7289000000,8275000000,986000000,827000000,986000000,1109000000,1073000000,7289000000,87000000,159000000,86000000,827000000,821000000,-2163000000,317000000,-3977000000,-3977000000,-552000000,89000000,4618000000,-23000000,577000000,-643000000,-399000000,37000000,-225000000,0,37000000,-47000000,116384000000,318000000,88535000000,27849000000,23646000000,37679000000,10626000000,3945000000,5085000000,583000000,70649000000,-1674000000,957000000,28355000000,79313000000,23586000000,78903000000,8225000000,6450000000,54973000000,23646000000,37679000000,-35614000000,7573000000,2406000000,81037000000,88535000000,116384000000,583000000,253300000
2020-10-02,108.58,0.47,+0.4347%,109.73,106.26,111.9,"7,001,967","760,150,615.2531",2020-09-30,8275000000,7289000000,8275000000,986000000,827000000,986000000,1109000000,1073000000,7289000000,87000000,159000000,86000000,827000000,821000000,-2163000000,317000000,-3977000000,-3977000000,-552000000,89000000,4618000000,-23000000,577000000,-643000000,-399000000,37000000,-225000000,0,37000000,-47000000,116384000000,318000000,88535000000,27849000000,23646000000,37679000000,10626000000,3945000000,5085000000,583000000,70649000000,-1674000000,957000000,28355000000,79313000000,23586000000,78903000000,8225000000,6450000000,54973000000,23646000000,37679000000,-35614000000,7573000000,2406000000,81037000000,88535000000,116384000000,583000000,253300000
2020-09-25,108.11,-3.5,-3.1359%,109.24,105.67,111.45,"9,612,958","1,041,739,741.1062",2020-06-30,7401000000,7486000000,7401000000,-85000000,-40000000,-85000000,1121000000,-85000000,7486000000,85000000,-45000000,51000000,-40000000,-40000000,224000000,229000000,-1898000000,-2122000000,308000000,74000000,1664000000,-171000000,1361000000,-216000000,34000000,-170000000,455000000,0,-170000000,74000000,113337000000,319000000,86394000000,26943000000,23606000000,37069000000,10118000000,3925000000,5002000000,623000000,69034000000,1882000000,962000000,18120000000,81197000000,22699000000,76141000000,17497000000,7049000000,4903000000,23606000000,37069000000,-35614000000,7409000000,2367000000,78936000000,86394000000,113337000000,623000000,253200000
2020-09-18,111.61,-1.79,-1.5785%,114.17,111.06,115.23,"6,559,732","740,405,098.1838",2020-06-30,7401000000,7486000000,7401000000,-85000000,-40000000,-85000000,1121000000,-85000000,7486000000,85000000,-45000000,51000000,-40000000,-40000000,224000000,229000000,-1898000000,-2122000000,308000000,74000000,1664000000,-171000000,1361000000,-216000000,34000000,-170000000,455000000,0,-170000000,74000000,113337000000,319000000,86394000000,26943000000,23606000000,37069000000,10118000000,3925000000,5002000000,623000000,69034000000,1882000000,962000000,18120000000,81197000000,22699000000,76141000000,17497000000,7049000000,4903000000,23606000000,37069000000,-35614000000,7409000000,2367000000,78936000000,86394000000,113337000000,623000000,253200000
2020-09-11,113.4,-3.17,-2.7194%,116.31,111.65,116.44,"4,634,735","526,283,020.6619",2020-06-30,7401000000,7486000000,7401000000,-85000000,-40000000,-85000000,1121000000,-85000000,7486000000,85000000,-45000000,51000000,-40000000,-40000000,224000000,229000000,-1898000000,-2122000000,308000000,74000000,1664000000,-171000000,1361000000,-216000000,34000000,-170000000,455000000,0,-170000000,74000000,113337000000,319000000,86394000000,26943000000,23606000000,37069000000,10118000000,3925000000,5002000000,623000000,69034000000,1882000000,962000000,18120000000,81197000000,22699000000,76141000000,17497000000,7049000000,4903000000,23606000000,37069000000,-35614000000,7409000000,2367000000,78936000000,86394000000,113337000000,623000000,253200000
2020-09-04,116.57,0.68,+0.5868%,116.68,113.58,120.88,"7,419,459","862,116,032.4227",2020-06-30,7401000000,7486000000,7401000000,-85000000,-40000000,-85000000,1121000000,-85000000,7486000000,85000000,-45000000,51000000,-40000000,-40000000,224000000,229000000,-1898000000,-2122000000,308000000,74000000,1664000000,-171000000,1361000000,-216000000,34000000,-170000000,455000000,0,-170000000,74000000,113337000000,319000000,86394000000,26943000000,23606000000,37069000000,10118000000,3925000000,5002000000,623000000,69034000000,1882000000,962000000,18120000000,81197000000,22699000000,76141000000,17497000000,7049000000,4903000000,23606000000,37069000000,-35614000000,7409000000,2367000000,78936000000,86394000000,113337000000,623000000,253200000
2020-08-28,115.89,4.06,+3.6305%,112.17,111.52,118.82,"7,188,126","830,134,911.8691",2020-06-30,7401000000,7486000000,7401000000,-85000000,-40000000,-85000000,1121000000,-85000000,7486000000,85000000,-45000000,51000000,-40000000,-40000000,224000000,229000000,-1898000000,-2122000000,308000000,74000000,1664000000,-171000000,1361000000,-216000000,34000000,-170000000,455000000,0,-170000000,74000000,113337000000,319000000,86394000000,26943000000,23606000000,37069000000,10118000000,3925000000,5002000000,623000000,69034000000,1882000000,962000000,18120000000,81197000000,22699000000,76141000000,17497000000,7049000000,4903000000,23606000000,37069000000,-35614000000,7409000000,2367000000,78936000000,86394000000,113337000000,623000000,253200000
