Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,fiscalDateEnding,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,operatingIncome,otherOperatingExpense,interestExpense,incomeTaxExpense,totalOtherIncomeExpense,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,totalAssets,intangibleAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,accountsPayable,commonStockTotalEquity,retainedEarningsTotalEquity,otherNonCurrrentAssets,totalNonCurrentAssets,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,warrants,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,commonStockSharesOutstanding
2020-11-27,337.94,3.24,+0.968031%,335.55,329.14,340.0,"11,002,054","3,684,944,718.062100",2020-09-30,64764000000,60464000000,49571000000,15193000000,5370000000,3172000000,4256000000,4720000000,10174000000,4651000000,719000000,395000000,1000000000,351000000,3256000000,3172000000,-2869000000,-3986000000,-7354000000,-5877000000,-2274000000,-1994000000,-200000000,6565000000,16073000000,1087000000,2159000000,-3400000000,-1335000000,245000000,152000000,1477000000,245000000,-17000000,-4777000000,190969000000,10373000000,3788000000,125738000000,65231000000,3340000000,20358000000,10000000,69715000000,14526000000,68088000000,14140000000,17550000000,66597000000,3899000000,-4494000000,8151000000,51033000000,39184000000,-13230000000,3259000000,25402000000,39895000000,42340000000,10000000,69715000000,10352000000,136148000000,39895000000,11186000000,56268000000,1847000000,190969000000,20809000000,949000000
2020-11-20,334.7,-20.97,-5.895915%,358.95,331.71,359.58,"15,708,689","5,404,099,301.377000",2020-09-30,64764000000,60464000000,49571000000,15193000000,5370000000,3172000000,4256000000,4720000000,10174000000,4651000000,719000000,395000000,1000000000,351000000,3256000000,3172000000,-2869000000,-3986000000,-7354000000,-5877000000,-2274000000,-1994000000,-200000000,6565000000,16073000000,1087000000,2159000000,-3400000000,-1335000000,245000000,152000000,1477000000,245000000,-17000000,-4777000000,190969000000,10373000000,3788000000,125738000000,65231000000,3340000000,20358000000,10000000,69715000000,14526000000,68088000000,14140000000,17550000000,66597000000,3899000000,-4494000000,8151000000,51033000000,39184000000,-13230000000,3259000000,25402000000,39895000000,42340000000,10000000,69715000000,10352000000,136148000000,39895000000,11186000000,56268000000,1847000000,190969000000,20809000000,949000000
2020-11-13,355.67,8.21,+2.362862%,366.31,348.17,367.95,"15,767,633","5,594,985,852.422600",2020-09-30,64764000000,60464000000,49571000000,15193000000,5370000000,3172000000,4256000000,4720000000,10174000000,4651000000,719000000,395000000,1000000000,351000000,3256000000,3172000000,-2869000000,-3986000000,-7354000000,-5877000000,-2274000000,-1994000000,-200000000,6565000000,16073000000,1087000000,2159000000,-3400000000,-1335000000,245000000,152000000,1477000000,245000000,-17000000,-4777000000,190969000000,10373000000,3788000000,125738000000,65231000000,3340000000,20358000000,10000000,69715000000,14526000000,68088000000,14140000000,17550000000,66597000000,3899000000,-4494000000,8151000000,51033000000,39184000000,-13230000000,3259000000,25402000000,39895000000,42340000000,10000000,69715000000,10352000000,136148000000,39895000000,11186000000,56268000000,1847000000,190969000000,20809000000,949000000
2020-11-06,347.46,42.32,+13.869044%,312.64,307.36,360.98,"26,689,413","9,095,542,750.031200",2020-09-30,64764000000,60464000000,49571000000,15193000000,5370000000,3172000000,4256000000,4720000000,10174000000,4651000000,719000000,395000000,1000000000,351000000,3256000000,3172000000,-2869000000,-3986000000,-7354000000,-5877000000,-2274000000,-1994000000,-200000000,6565000000,16073000000,1087000000,2159000000,-3400000000,-1335000000,245000000,152000000,1477000000,245000000,-17000000,-4777000000,190969000000,10373000000,3788000000,125738000000,65231000000,3340000000,20358000000,10000000,69715000000,14526000000,68088000000,14140000000,17550000000,66597000000,3899000000,-4494000000,8151000000,51033000000,39184000000,-13230000000,3259000000,25402000000,39895000000,42340000000,10000000,69715000000,10352000000,136148000000,39895000000,11186000000,56268000000,1847000000,190969000000,20809000000,949000000
2020-10-30,305.14,-25.46,-7.701149%,326.32,299.6,327.75,"14,974,343","4,658,403,495.263300",2020-09-30,64764000000,60464000000,49571000000,15193000000,5370000000,3172000000,4256000000,4720000000,10174000000,4651000000,719000000,395000000,1000000000,351000000,3256000000,3172000000,-2869000000,-3986000000,-7354000000,-5877000000,-2274000000,-1994000000,-200000000,6565000000,16073000000,1087000000,2159000000,-3400000000,-1335000000,245000000,152000000,1477000000,245000000,-17000000,-4777000000,190969000000,10373000000,3788000000,125738000000,65231000000,3340000000,20358000000,10000000,69715000000,14526000000,68088000000,14140000000,17550000000,66597000000,3899000000,-4494000000,8151000000,51033000000,39184000000,-13230000000,3259000000,25402000000,39895000000,42340000000,10000000,69715000000,10352000000,136148000000,39895000000,11186000000,56268000000,1847000000,190969000000,20809000000,949000000
2020-10-23,330.6,0.7,+0.212186%,328.54,322.06,335.65,"11,060,306","3,609,969,356.018000",2020-09-30,64764000000,60464000000,49571000000,15193000000,5370000000,3172000000,4256000000,4720000000,10174000000,4651000000,719000000,395000000,1000000000,351000000,3256000000,3172000000,-2869000000,-3986000000,-7354000000,-5877000000,-2274000000,-1994000000,-200000000,6565000000,16073000000,1087000000,2159000000,-3400000000,-1335000000,245000000,152000000,1477000000,245000000,-17000000,-4777000000,190969000000,10373000000,3788000000,125738000000,65231000000,3340000000,20358000000,10000000,69715000000,14526000000,68088000000,14140000000,17550000000,66597000000,3899000000,-4494000000,8151000000,51033000000,39184000000,-13230000000,3259000000,25402000000,39895000000,42340000000,10000000,69715000000,10352000000,136148000000,39895000000,11186000000,56268000000,1847000000,190969000000,20809000000,949000000
2020-10-16,329.9,2.06,+0.628355%,329.12,316.33,333.7,"16,059,445","5,259,441,642.937200",2020-09-30,64764000000,60464000000,49571000000,15193000000,5370000000,3172000000,4256000000,4720000000,10174000000,4651000000,719000000,395000000,1000000000,351000000,3256000000,3172000000,-2869000000,-3986000000,-7354000000,-5877000000,-2274000000,-1994000000,-200000000,6565000000,16073000000,1087000000,2159000000,-3400000000,-1335000000,245000000,152000000,1477000000,245000000,-17000000,-4777000000,190969000000,10373000000,3788000000,125738000000,65231000000,3340000000,20358000000,10000000,69715000000,14526000000,68088000000,14140000000,17550000000,66597000000,3899000000,-4494000000,8151000000,51033000000,39184000000,-13230000000,3259000000,25402000000,39895000000,42340000000,10000000,69715000000,10352000000,136148000000,39895000000,11186000000,56268000000,1847000000,190969000000,20809000000,949000000
2020-10-09,327.84,15.86,+5.083659%,315.07,313.12,328.17,"10,755,224","3,455,010,047.858200",2020-09-30,64764000000,60464000000,49571000000,15193000000,5370000000,3172000000,4256000000,4720000000,10174000000,4651000000,719000000,395000000,1000000000,351000000,3256000000,3172000000,-2869000000,-3986000000,-7354000000,-5877000000,-2274000000,-1994000000,-200000000,6565000000,16073000000,1087000000,2159000000,-3400000000,-1335000000,245000000,152000000,1477000000,245000000,-17000000,-4777000000,190969000000,10373000000,3788000000,125738000000,65231000000,3340000000,20358000000,10000000,69715000000,14526000000,68088000000,14140000000,17550000000,66597000000,3899000000,-4494000000,8151000000,51033000000,39184000000,-13230000000,3259000000,25402000000,39895000000,42340000000,10000000,69715000000,10352000000,136148000000,39895000000,11186000000,56268000000,1847000000,190969000000,20809000000,949000000
2020-10-02,311.98,9.48,+3.133884%,306.39,300.68,317.39,"12,940,128","4,005,769,557.861500",2020-09-30,64764000000,60464000000,49571000000,15193000000,5370000000,3172000000,4256000000,4720000000,10174000000,4651000000,719000000,395000000,1000000000,351000000,3256000000,3172000000,-2869000000,-3986000000,-7354000000,-5877000000,-2274000000,-1994000000,-200000000,6565000000,16073000000,1087000000,2159000000,-3400000000,-1335000000,245000000,152000000,1477000000,245000000,-17000000,-4777000000,190969000000,10373000000,3788000000,125738000000,65231000000,3340000000,20358000000,10000000,69715000000,14526000000,68088000000,14140000000,17550000000,66597000000,3899000000,-4494000000,8151000000,51033000000,39184000000,-13230000000,3259000000,25402000000,39895000000,42340000000,10000000,69715000000,10352000000,136148000000,39895000000,11186000000,56268000000,1847000000,190969000000,20809000000,949000000
2020-09-25,302.5,-5.52,-1.792091%,300.47,289.64,303.27,"16,323,396","4,820,027,643.387400",2020-06-30,62138000000,10718000000,42179000000,19959000000,9241000000,6637000000,8811000000,59000000,10001000000,9241000000,717000000,430000000,2115000000,341000000,6696000000,6637000000,543000000,-236000000,-2952000000,-3044000000,-10446000000,-6279000000,178000000,772000000,10003000000,465000000,717000000,-1188000000,313000000,2213000000,148000000,451000000,2213000000,-14000000,758000000,192483000000,10552000000,9349000000,124126000000,65466000000,3286000000,19104000000,10000000,67776000000,14342000000,67872000000,13654000000,22327000000,69883000000,6156000000,-4550000000,8126000000,58918000000,36778000000,-12958000000,3266000000,23976000000,39901000000,44623000000,10000000,67776000000,10237000000,133565000000,39901000000,11056000000,54243000000,1842000000,192483000000,25593000000,950000000
