Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,fiscalDateEnding,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,incomeBeforeTax,sellingGeneralAdministrative,operatingIncome,otherOperatingExpense,interestExpense,incomeTaxExpense,totalOtherIncomeExpense,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,cashflowFromFinancing,otherCashflowFromFinancing,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInCashAndCashEquivalents,totalAssets,intangibleAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,accountsPayable,preferredStockTotalEquity,retainedEarningsTotalEquity,otherNonCurrrentAssets,totalNonCurrentAssets,otherNonCurrentLiabilities,totalNonCurrentLiabilities,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments
2020-11-27,211.0,7.12,+3.492250%,204.7,204.7,213.82,"26,505,799","5,571,133,866.892900",2020-09-30,5101000000,1957000000,1113000000,3988000000,3396000000,2137000000,3055000000,648000000,3142000000,196000000,145000000,918000000,56000000,2137000000,2060000000,-881000000,14000000,1427000000,2163000000,-3968000000,-592000000,8339000000,10440000000,4891000000,767000000,-2664000000,-7924000000,-151000000,2204000000,736000000,741000000,2410000000,80919000000,27808000000,4096000000,44709000000,36210000000,5237000000,6026000000,14088000000,9128000000,15910000000,6588000000,16289000000,14510000000,4735000000,312000000,2737000000,27645000000,231000000,-12594000000,3752000000,1618000000,21071000000,174000000,5086000000,14088000000,6588000000,53274000000,3891000000,30199000000,16721000000,80919000000,20041000000
2020-11-20,203.88,-6.6,-3.135690%,214.57,203.805,215.09,"41,641,922","8,715,488,269.193000",2020-09-30,5101000000,1957000000,1113000000,3988000000,3396000000,2137000000,3055000000,648000000,3142000000,196000000,145000000,918000000,56000000,2137000000,2060000000,-881000000,14000000,1427000000,2163000000,-3968000000,-592000000,8339000000,10440000000,4891000000,767000000,-2664000000,-7924000000,-151000000,2204000000,736000000,741000000,2410000000,80919000000,27808000000,4096000000,44709000000,36210000000,5237000000,6026000000,14088000000,9128000000,15910000000,6588000000,16289000000,14510000000,4735000000,312000000,2737000000,27645000000,231000000,-12594000000,3752000000,1618000000,21071000000,174000000,5086000000,14088000000,6588000000,53274000000,3891000000,30199000000,16721000000,80919000000,20041000000
2020-11-13,210.48,12.01,+6.051292%,214.69,207.14,217.65,"44,874,171","9,531,076,625.199700",2020-09-30,5101000000,1957000000,1113000000,3988000000,3396000000,2137000000,3055000000,648000000,3142000000,196000000,145000000,918000000,56000000,2137000000,2060000000,-881000000,14000000,1427000000,2163000000,-3968000000,-592000000,8339000000,10440000000,4891000000,767000000,-2664000000,-7924000000,-151000000,2204000000,736000000,741000000,2410000000,80919000000,27808000000,4096000000,44709000000,36210000000,5237000000,6026000000,14088000000,9128000000,15910000000,6588000000,16289000000,14510000000,4735000000,312000000,2737000000,27645000000,231000000,-12594000000,3752000000,1618000000,21071000000,174000000,5086000000,14088000000,6588000000,53274000000,3891000000,30199000000,16721000000,80919000000,20041000000
2020-11-06,198.47,16.76,+9.223488%,184.51,183.89,200.99,"35,940,250","6,930,064,234.350000",2020-09-30,5101000000,1957000000,1113000000,3988000000,3396000000,2137000000,3055000000,648000000,3142000000,196000000,145000000,918000000,56000000,2137000000,2060000000,-881000000,14000000,1427000000,2163000000,-3968000000,-592000000,8339000000,10440000000,4891000000,767000000,-2664000000,-7924000000,-151000000,2204000000,736000000,741000000,2410000000,80919000000,27808000000,4096000000,44709000000,36210000000,5237000000,6026000000,14088000000,9128000000,15910000000,6588000000,16289000000,14510000000,4735000000,312000000,2737000000,27645000000,231000000,-12594000000,3752000000,1618000000,21071000000,174000000,5086000000,14088000000,6588000000,53274000000,3891000000,30199000000,16721000000,80919000000,20041000000
2020-10-30,181.71,-16.3,-8.231907%,196.0,179.23,196.42,"66,185,654","12,270,669,519.521400",2020-09-30,5101000000,1957000000,1113000000,3988000000,3396000000,2137000000,3055000000,648000000,3142000000,196000000,145000000,918000000,56000000,2137000000,2060000000,-881000000,14000000,1427000000,2163000000,-3968000000,-592000000,8339000000,10440000000,4891000000,767000000,-2664000000,-7924000000,-151000000,2204000000,736000000,741000000,2410000000,80919000000,27808000000,4096000000,44709000000,36210000000,5237000000,6026000000,14088000000,9128000000,15910000000,6588000000,16289000000,14510000000,4735000000,312000000,2737000000,27645000000,231000000,-12594000000,3752000000,1618000000,21071000000,174000000,5086000000,14088000000,6588000000,53274000000,3891000000,30199000000,16721000000,80919000000,20041000000
2020-10-23,198.01,-2.25,-1.123539%,200.85,195.76,201.07,"31,735,812","6,284,422,262.661000",2020-09-30,5101000000,1957000000,1113000000,3988000000,3396000000,2137000000,3055000000,648000000,3142000000,196000000,145000000,918000000,56000000,2137000000,2060000000,-881000000,14000000,1427000000,2163000000,-3968000000,-592000000,8339000000,10440000000,4891000000,767000000,-2664000000,-7924000000,-151000000,2204000000,736000000,741000000,2410000000,80919000000,27808000000,4096000000,44709000000,36210000000,5237000000,6026000000,14088000000,9128000000,15910000000,6588000000,16289000000,14510000000,4735000000,312000000,2737000000,27645000000,231000000,-12594000000,3752000000,1618000000,21071000000,174000000,5086000000,14088000000,6588000000,53274000000,3891000000,30199000000,16721000000,80919000000,20041000000
2020-10-16,200.26,-6.38,-3.087495%,206.94,197.6,207.97,"32,841,666","6,654,528,645.343200",2020-09-30,5101000000,1957000000,1113000000,3988000000,3396000000,2137000000,3055000000,648000000,3142000000,196000000,145000000,918000000,56000000,2137000000,2060000000,-881000000,14000000,1427000000,2163000000,-3968000000,-592000000,8339000000,10440000000,4891000000,767000000,-2664000000,-7924000000,-151000000,2204000000,736000000,741000000,2410000000,80919000000,27808000000,4096000000,44709000000,36210000000,5237000000,6026000000,14088000000,9128000000,15910000000,6588000000,16289000000,14510000000,4735000000,312000000,2737000000,27645000000,231000000,-12594000000,3752000000,1618000000,21071000000,174000000,5086000000,14088000000,6588000000,53274000000,3891000000,30199000000,16721000000,80919000000,20041000000
2020-10-09,206.64,5.18,+2.571230%,202.71,199.71,207.08,"28,163,684","5,718,031,914.712400",2020-09-30,5101000000,1957000000,1113000000,3988000000,3396000000,2137000000,3055000000,648000000,3142000000,196000000,145000000,918000000,56000000,2137000000,2060000000,-881000000,14000000,1427000000,2163000000,-3968000000,-592000000,8339000000,10440000000,4891000000,767000000,-2664000000,-7924000000,-151000000,2204000000,736000000,741000000,2410000000,80919000000,27808000000,4096000000,44709000000,36210000000,5237000000,6026000000,14088000000,9128000000,15910000000,6588000000,16289000000,14510000000,4735000000,312000000,2737000000,27645000000,231000000,-12594000000,3752000000,1618000000,21071000000,174000000,5086000000,14088000000,6588000000,53274000000,3891000000,30199000000,16721000000,80919000000,20041000000
2020-10-02,201.46,4.21,+2.134347%,200.63,198.89,205.195,"33,537,047","6,755,496,999.329400",2020-09-30,5101000000,1957000000,1113000000,3988000000,3396000000,2137000000,3055000000,648000000,3142000000,196000000,145000000,918000000,56000000,2137000000,2060000000,-881000000,14000000,1427000000,2163000000,-3968000000,-592000000,8339000000,10440000000,4891000000,767000000,-2664000000,-7924000000,-151000000,2204000000,736000000,741000000,2410000000,80919000000,27808000000,4096000000,44709000000,36210000000,5237000000,6026000000,14088000000,9128000000,15910000000,6588000000,16289000000,14510000000,4735000000,312000000,2737000000,27645000000,231000000,-12594000000,3752000000,1618000000,21071000000,174000000,5086000000,14088000000,6588000000,53274000000,3891000000,30199000000,16721000000,80919000000,20041000000
2020-09-25,197.25,-5.36,-2.645477%,199.91,193.13,201.25,"38,871,053","7,657,449,614.657800",2020-06-30,4837000000,1838000000,1113000000,4837000000,3074000000,2373000000,2932000000,1641000000,2999000000,197000000,142000000,559000000,74000000,2373000000,2373000000,-271000000,1477000000,-133000000,299000000,1164000000,-121000000,4033000000,3002000000,-1915000000,1710000000,-663000000,-1036000000,70000000,-37000000,161000000,-606000000,4033000000,77884000000,27188000000,4810000000,42360000000,35524000000,4728000000,5364000000,14072000000,7826000000,15791000000,6601000000,13898000000,16100000000,5724000000,-303000000,2746000000,25011000000,547000000,-12753000000,2739000000,3564000000,17880000000,5012000000,5298000000,14072000000,6601000000,52873000000,3652000000,26260000000,16457000000,77884000000,16637000000
