Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,fiscalDateEnding,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,operatingIncome,interestExpense,incomeTaxExpense,totalOtherIncomeExpense,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,cashflowFromInvestment,otherCashflowFromInvestment,cashflowFromFinancing,otherCashflowFromFinancing,operatingCashflow,depreciation,dividendPayout,capitalExpenditures,totalAssets,intangibleAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,netReceivables,longTermDebt,inventory,accountsPayable,commonStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,otherNonCurrrentAssets,totalNonCurrentAssets,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation
2020-11-27,60.58,0.54,+0.899400%,60.01,60.0,60.8,"43,455,210","2,626,862,461.889000",2020-09-30,31543000000,23865000000,12334000000,19209000000,11087000000,4357000000,5851000000,1461000000,7339000000,6586000000,1044000000,1347000000,-796000000,4504000000,4357000000,-18469000000,-2314000000,-7737000000,-1348000000,32472000000,12523000000,-7636000000,16155000000,296994000000,105557000000,3503000000,231925000000,65069000000,1805000000,9031000000,429000000,58473000000,65536000000,24799000000,11479000000,8983000000,36185000000,5770000000,-846000000,115862000000,38572000000,535000000,-65287000000,23350000000,109790000000,1457000000,17391000000,429000000,58473000000,-6721000000,11669000000,258422000000,109790000000,13011000000,194279000000,13404000000,296994000000,8983000000,-183028000000
2020-11-20,60.04,-1.02,-1.670488%,60.81,59.9,61.46,"64,575,012","3,906,755,060.230100",2020-09-30,31543000000,23865000000,12334000000,19209000000,11087000000,4357000000,5851000000,1461000000,7339000000,6586000000,1044000000,1347000000,-796000000,4504000000,4357000000,-18469000000,-2314000000,-7737000000,-1348000000,32472000000,12523000000,-7636000000,16155000000,296994000000,105557000000,3503000000,231925000000,65069000000,1805000000,9031000000,429000000,58473000000,65536000000,24799000000,11479000000,8983000000,36185000000,5770000000,-846000000,115862000000,38572000000,535000000,-65287000000,23350000000,109790000000,1457000000,17391000000,429000000,58473000000,-6721000000,11669000000,258422000000,109790000000,13011000000,194279000000,13404000000,296994000000,8983000000,-183028000000
2020-11-13,61.06,2.53,+4.322570%,60.04,59.51,61.41,"82,468,187","4,999,388,971.612900",2020-09-30,31543000000,23865000000,12334000000,19209000000,11087000000,4357000000,5851000000,1461000000,7339000000,6586000000,1044000000,1347000000,-796000000,4504000000,4357000000,-18469000000,-2314000000,-7737000000,-1348000000,32472000000,12523000000,-7636000000,16155000000,296994000000,105557000000,3503000000,231925000000,65069000000,1805000000,9031000000,429000000,58473000000,65536000000,24799000000,11479000000,8983000000,36185000000,5770000000,-846000000,115862000000,38572000000,535000000,-65287000000,23350000000,109790000000,1457000000,17391000000,429000000,58473000000,-6721000000,11669000000,258422000000,109790000000,13011000000,194279000000,13404000000,296994000000,8983000000,-183028000000
2020-11-06,58.53,1.54,+2.702228%,57.67,56.58,58.97,"79,708,184","4,617,313,399.127900",2020-09-30,31543000000,23865000000,12334000000,19209000000,11087000000,4357000000,5851000000,1461000000,7339000000,6586000000,1044000000,1347000000,-796000000,4504000000,4357000000,-18469000000,-2314000000,-7737000000,-1348000000,32472000000,12523000000,-7636000000,16155000000,296994000000,105557000000,3503000000,231925000000,65069000000,1805000000,9031000000,429000000,58473000000,65536000000,24799000000,11479000000,8983000000,36185000000,5770000000,-846000000,115862000000,38572000000,535000000,-65287000000,23350000000,109790000000,1457000000,17391000000,429000000,58473000000,-6721000000,11669000000,258422000000,109790000000,13011000000,194279000000,13404000000,296994000000,8983000000,-183028000000
2020-10-30,56.99,-0.97,-1.673568%,57.52,56.02,57.8514,"82,953,100","4,722,843,714.358700",2020-09-30,31543000000,23865000000,12334000000,19209000000,11087000000,4357000000,5851000000,1461000000,7339000000,6586000000,1044000000,1347000000,-796000000,4504000000,4357000000,-18469000000,-2314000000,-7737000000,-1348000000,32472000000,12523000000,-7636000000,16155000000,296994000000,105557000000,3503000000,231925000000,65069000000,1805000000,9031000000,429000000,58473000000,65536000000,24799000000,11479000000,8983000000,36185000000,5770000000,-846000000,115862000000,38572000000,535000000,-65287000000,23350000000,109790000000,1457000000,17391000000,429000000,58473000000,-6721000000,11669000000,258422000000,109790000000,13011000000,194279000000,13404000000,296994000000,8983000000,-183028000000
2020-10-23,57.96,-0.09,-0.155039%,58.15,56.51,58.29,"85,787,709","4,918,809,910.345900",2020-09-30,31543000000,23865000000,12334000000,19209000000,11087000000,4357000000,5851000000,1461000000,7339000000,6586000000,1044000000,1347000000,-796000000,4504000000,4357000000,-18469000000,-2314000000,-7737000000,-1348000000,32472000000,12523000000,-7636000000,16155000000,296994000000,105557000000,3503000000,231925000000,65069000000,1805000000,9031000000,429000000,58473000000,65536000000,24799000000,11479000000,8983000000,36185000000,5770000000,-846000000,115862000000,38572000000,535000000,-65287000000,23350000000,109790000000,1457000000,17391000000,429000000,58473000000,-6721000000,11669000000,258422000000,109790000000,13011000000,194279000000,13404000000,296994000000,8983000000,-183028000000
2020-10-16,58.05,-1.28,-2.157425%,59.33,57.72,59.72,"85,929,687","5,056,431,236.646600",2020-09-30,31543000000,23865000000,12334000000,19209000000,11087000000,4357000000,5851000000,1461000000,7339000000,6586000000,1044000000,1347000000,-796000000,4504000000,4357000000,-18469000000,-2314000000,-7737000000,-1348000000,32472000000,12523000000,-7636000000,16155000000,296994000000,105557000000,3503000000,231925000000,65069000000,1805000000,9031000000,429000000,58473000000,65536000000,24799000000,11479000000,8983000000,36185000000,5770000000,-846000000,115862000000,38572000000,535000000,-65287000000,23350000000,109790000000,1457000000,17391000000,429000000,58473000000,-6721000000,11669000000,258422000000,109790000000,13011000000,194279000000,13404000000,296994000000,8983000000,-183028000000
2020-10-09,59.33,0.09,+0.151924%,59.63,58.97,59.97,"60,769,684","3,611,970,843.155400",2020-09-30,31543000000,23865000000,12334000000,19209000000,11087000000,4357000000,5851000000,1461000000,7339000000,6586000000,1044000000,1347000000,-796000000,4504000000,4357000000,-18469000000,-2314000000,-7737000000,-1348000000,32472000000,12523000000,-7636000000,16155000000,296994000000,105557000000,3503000000,231925000000,65069000000,1805000000,9031000000,429000000,58473000000,65536000000,24799000000,11479000000,8983000000,36185000000,5770000000,-846000000,115862000000,38572000000,535000000,-65287000000,23350000000,109790000000,1457000000,17391000000,429000000,58473000000,-6721000000,11669000000,258422000000,109790000000,13011000000,194279000000,13404000000,296994000000,8983000000,-183028000000
2020-10-02,59.24,-0.15,-0.252568%,59.56,59.03,59.795,"63,555,860","3,774,851,842.243200",2020-09-30,31543000000,23865000000,12334000000,19209000000,11087000000,4357000000,5851000000,1461000000,7339000000,6586000000,1044000000,1347000000,-796000000,4504000000,4357000000,-18469000000,-2314000000,-7737000000,-1348000000,32472000000,12523000000,-7636000000,16155000000,296994000000,105557000000,3503000000,231925000000,65069000000,1805000000,9031000000,429000000,58473000000,65536000000,24799000000,11479000000,8983000000,36185000000,5770000000,-846000000,115862000000,38572000000,535000000,-65287000000,23350000000,109790000000,1457000000,17391000000,429000000,58473000000,-6721000000,11669000000,258422000000,109790000000,13011000000,194279000000,13404000000,296994000000,8983000000,-183028000000
2020-09-25,59.39,-0.96,-1.590721%,60.0,58.65,60.37,"65,038,299","3,860,677,012.568300",2020-06-30,30447000000,11337000000,11749000000,18698000000,7276000000,4700000000,6187000000,139000000,7156000000,7361000000,1089000000,1348000000,-101000000,4839000000,4700000000,-5144000000,-5144000000,-8795000000,-3869000000,14728000000,4181000000,-2543000000,6167000000,293259000000,105367000000,5490000000,229146000000,62697000000,33798000000,12938000000,429000000,56746000000,65019000000,24667000000,7784000000,7882000000,38886000000,6651000000,-1037000000,92754000000,37333000000,529000000,-67337000000,22672000000,106190000000,1289000000,19297000000,429000000,56746000000,-6722000000,32609000000,255926000000,106190000000,50272000000,190260000000,13281000000,293259000000,7882000000,-179960000000
2020-09-18,60.35,0.56,+0.936611%,60.02,60.0,61.1,"71,658,374","4,337,121,329.914500",2020-06-30,30447000000,11337000000,11749000000,18698000000,7276000000,4700000000,6187000000,139000000,7156000000,7361000000,1089000000,1348000000,-101000000,4839000000,4700000000,-5144000000,-5144000000,-8795000000,-3869000000,14728000000,4181000000,-2543000000,6167000000,293259000000,105367000000,5490000000,229146000000,62697000000,33798000000,12938000000,429000000,56746000000,65019000000,24667000000,7784000000,7882000000,38886000000,6651000000,-1037000000,92754000000,37333000000,529000000,-67337000000,22672000000,106190000000,1289000000,19297000000,429000000,56746000000,-6722000000,32609000000,255926000000,106190000000,50272000000,190260000000,13281000000,293259000000,7882000000,-179960000000
2020-09-11,59.79,-0.69,-1.140873%,60.8,59.3601,60.8,"64,101,952","3,841,598,072.258600",2020-06-30,30447000000,11337000000,11749000000,18698000000,7276000000,4700000000,6187000000,139000000,7156000000,7361000000,1089000000,1348000000,-101000000,4839000000,4700000000,-5144000000,-5144000000,-8795000000,-3869000000,14728000000,4181000000,-2543000000,6167000000,293259000000,105367000000,5490000000,229146000000,62697000000,33798000000,12938000000,429000000,56746000000,65019000000,24667000000,7784000000,7882000000,38886000000,6651000000,-1037000000,92754000000,37333000000,529000000,-67337000000,22672000000,106190000000,1289000000,19297000000,429000000,56746000000,-6722000000,32609000000,255926000000,106190000000,50272000000,190260000000,13281000000,293259000000,7882000000,-179960000000
2020-09-04,60.48,1.22,+2.058724%,59.04,58.78,61.5,"95,003,667","5,713,818,013.831400",2020-06-30,30447000000,11337000000,11749000000,18698000000,7276000000,4700000000,6187000000,139000000,7156000000,7361000000,1089000000,1348000000,-101000000,4839000000,4700000000,-5144000000,-5144000000,-8795000000,-3869000000,14728000000,4181000000,-2543000000,6167000000,293259000000,105367000000,5490000000,229146000000,62697000000,33798000000,12938000000,429000000,56746000000,65019000000,24667000000,7784000000,7882000000,38886000000,6651000000,-1037000000,92754000000,37333000000,529000000,-67337000000,22672000000,106190000000,1289000000,19297000000,429000000,56746000000,-6722000000,32609000000,255926000000,106190000000,50272000000,190260000000,13281000000,293259000000,7882000000,-179960000000
2020-08-28,59.26,0.27,+0.457705%,59.1,58.82,59.79,"60,623,815","3,599,225,837.090100",2020-06-30,30447000000,11337000000,11749000000,18698000000,7276000000,4700000000,6187000000,139000000,7156000000,7361000000,1089000000,1348000000,-101000000,4839000000,4700000000,-5144000000,-5144000000,-8795000000,-3869000000,14728000000,4181000000,-2543000000,6167000000,293259000000,105367000000,5490000000,229146000000,62697000000,33798000000,12938000000,429000000,56746000000,65019000000,24667000000,7784000000,7882000000,38886000000,6651000000,-1037000000,92754000000,37333000000,529000000,-67337000000,22672000000,106190000000,1289000000,19297000000,429000000,56746000000,-6722000000,32609000000,255926000000,106190000000,50272000000,190260000000,13281000000,293259000000,7882000000,-179960000000
2020-08-21,58.99,0.2,+0.340194%,58.73,58.535,59.47,"48,439,793","2,857,465,059.970700",2020-06-30,30447000000,11337000000,11749000000,18698000000,7276000000,4700000000,6187000000,139000000,7156000000,7361000000,1089000000,1348000000,-101000000,4839000000,4700000000,-5144000000,-5144000000,-8795000000,-3869000000,14728000000,4181000000,-2543000000,6167000000,293259000000,105367000000,5490000000,229146000000,62697000000,33798000000,12938000000,429000000,56746000000,65019000000,24667000000,7784000000,7882000000,38886000000,6651000000,-1037000000,92754000000,37333000000,529000000,-67337000000,22672000000,106190000000,1289000000,19297000000,429000000,56746000000,-6722000000,32609000000,255926000000,106190000000,50272000000,190260000000,13281000000,293259000000,7882000000,-179960000000
2020-08-14,58.79,0.26,+0.444217%,58.65,58.19,59.6083,"51,896,123","3,048,509,633.803900",2020-06-30,30447000000,11337000000,11749000000,18698000000,7276000000,4700000000,6187000000,139000000,7156000000,7361000000,1089000000,1348000000,-101000000,4839000000,4700000000,-5144000000,-5144000000,-8795000000,-3869000000,14728000000,4181000000,-2543000000,6167000000,293259000000,105367000000,5490000000,229146000000,62697000000,33798000000,12938000000,429000000,56746000000,65019000000,24667000000,7784000000,7882000000,38886000000,6651000000,-1037000000,92754000000,37333000000,529000000,-67337000000,22672000000,106190000000,1289000000,19297000000,429000000,56746000000,-6722000000,32609000000,255926000000,106190000000,50272000000,190260000000,13281000000,293259000000,7882000000,-179960000000
2020-08-07,58.53,1.05,+1.826722%,57.87,57.12,58.55,"58,061,010","3,353,580,788.381400",2020-06-30,30447000000,11337000000,11749000000,18698000000,7276000000,4700000000,6187000000,139000000,7156000000,7361000000,1089000000,1348000000,-101000000,4839000000,4700000000,-5144000000,-5144000000,-8795000000,-3869000000,14728000000,4181000000,-2543000000,6167000000,293259000000,105367000000,5490000000,229146000000,62697000000,33798000000,12938000000,429000000,56746000000,65019000000,24667000000,7784000000,7882000000,38886000000,6651000000,-1037000000,92754000000,37333000000,529000000,-67337000000,22672000000,106190000000,1289000000,19297000000,429000000,56746000000,-6722000000,32609000000,255926000000,106190000000,50272000000,190260000000,13281000000,293259000000,7882000000,-179960000000
2020-07-31,57.48,0.63,+1.108179%,57.0,56.51,57.7,"63,934,134","3,657,249,345.563700",2020-06-30,30447000000,11337000000,11749000000,18698000000,7276000000,4700000000,6187000000,139000000,7156000000,7361000000,1089000000,1348000000,-101000000,4839000000,4700000000,-5144000000,-5144000000,-8795000000,-3869000000,14728000000,4181000000,-2543000000,6167000000,293259000000,105367000000,5490000000,229146000000,62697000000,33798000000,12938000000,429000000,56746000000,65019000000,24667000000,7784000000,7882000000,38886000000,6651000000,-1037000000,92754000000,37333000000,529000000,-67337000000,22672000000,106190000000,1289000000,19297000000,429000000,56746000000,-6722000000,32609000000,255926000000,106190000000,50272000000,190260000000,13281000000,293259000000,7882000000,-179960000000
2020-07-24,56.85,0.55,+0.976909%,56.28,55.37,57.57,"69,117,790","3,876,582,469.077300",2020-06-30,30447000000,11337000000,11749000000,18698000000,7276000000,4700000000,6187000000,139000000,7156000000,7361000000,1089000000,1348000000,-101000000,4839000000,4700000000,-5144000000,-5144000000,-8795000000,-3869000000,14728000000,4181000000,-2543000000,6167000000,293259000000,105367000000,5490000000,229146000000,62697000000,33798000000,12938000000,429000000,56746000000,65019000000,24667000000,7784000000,7882000000,38886000000,6651000000,-1037000000,92754000000,37333000000,529000000,-67337000000,22672000000,106190000000,1289000000,19297000000,429000000,56746000000,-6722000000,32609000000,255926000000,106190000000,50272000000,190260000000,13281000000,293259000000,7882000000,-179960000000
2020-07-17,56.3,1.81,+3.321710%,54.75,54.14,56.595,"71,859,426","3,977,235,413.552600",2020-06-30,30447000000,11337000000,11749000000,18698000000,7276000000,4700000000,6187000000,139000000,7156000000,7361000000,1089000000,1348000000,-101000000,4839000000,4700000000,-5144000000,-5144000000,-8795000000,-3869000000,14728000000,4181000000,-2543000000,6167000000,293259000000,105367000000,5490000000,229146000000,62697000000,33798000000,12938000000,429000000,56746000000,65019000000,24667000000,7784000000,7882000000,38886000000,6651000000,-1037000000,92754000000,37333000000,529000000,-67337000000,22672000000,106190000000,1289000000,19297000000,429000000,56746000000,-6722000000,32609000000,255926000000,106190000000,50272000000,190260000000,13281000000,293259000000,7882000000,-179960000000
2020-07-10,54.49,-0.3,-0.547545%,55.35,53.75,55.44,"73,142,209","4,000,336,234.840800",2020-06-30,30447000000,11337000000,11749000000,18698000000,7276000000,4700000000,6187000000,139000000,7156000000,7361000000,1089000000,1348000000,-101000000,4839000000,4700000000,-5144000000,-5144000000,-8795000000,-3869000000,14728000000,4181000000,-2543000000,6167000000,293259000000,105367000000,5490000000,229146000000,62697000000,33798000000,12938000000,429000000,56746000000,65019000000,24667000000,7784000000,7882000000,38886000000,6651000000,-1037000000,92754000000,37333000000,529000000,-67337000000,22672000000,106190000000,1289000000,19297000000,429000000,56746000000,-6722000000,32609000000,255926000000,106190000000,50272000000,190260000000,13281000000,293259000000,7882000000,-179960000000
2020-07-03,54.79,1.63,+3.066215%,53.31,53.31,55.405,"61,991,155","3,393,400,443.291900",2020-06-30,30447000000,11337000000,11749000000,18698000000,7276000000,4700000000,6187000000,139000000,7156000000,7361000000,1089000000,1348000000,-101000000,4839000000,4700000000,-5144000000,-5144000000,-8795000000,-3869000000,14728000000,4181000000,-2543000000,6167000000,293259000000,105367000000,5490000000,229146000000,62697000000,33798000000,12938000000,429000000,56746000000,65019000000,24667000000,7784000000,7882000000,38886000000,6651000000,-1037000000,92754000000,37333000000,529000000,-67337000000,22672000000,106190000000,1289000000,19297000000,429000000,56746000000,-6722000000,32609000000,255926000000,106190000000,50272000000,190260000000,13281000000,293259000000,7882000000,-179960000000
2020-06-26,53.16,-3.0,-5.341880%,55.91,52.85,56.26,"105,179,231","5,707,707,929.462400",2020-03-31,31610000000,12735000000,12296000000,19314000000,6710000000,4156000000,5676000000,131000000,8585000000,6579000000,1034000000,1389000000,111000000,4287000000,4156000000,-6980000000,-6980000000,2563000000,4495000000,8824000000,4150000000,-2547000000,5484000000,294500000000,101842000000,8228000000,232847000000,60210000000,33709000000,12463000000,429000000,54557000000,65617000000,24382000000,10061000000,7047000000,41057000000,11175000000,-1353000000,92177000000,40705000000,543000000,-66014000000,23797000000,106561000000,1633000000,17419000000,429000000,54557000000,-6725000000,34851000000,253795000000,106561000000,51520000000,191790000000,13302000000,294500000000,7047000000,-176816000000
2020-06-19,56.16,-0.37,-0.654520%,55.73,55.28,57.47,"78,370,083","4,428,015,539.799000",2020-03-31,31610000000,12735000000,12296000000,19314000000,6710000000,4156000000,5676000000,131000000,8585000000,6579000000,1034000000,1389000000,111000000,4287000000,4156000000,-6980000000,-6980000000,2563000000,4495000000,8824000000,4150000000,-2547000000,5484000000,294500000000,101842000000,8228000000,232847000000,60210000000,33709000000,12463000000,429000000,54557000000,65617000000,24382000000,10061000000,7047000000,41057000000,11175000000,-1353000000,92177000000,40705000000,543000000,-66014000000,23797000000,106561000000,1633000000,17419000000,429000000,54557000000,-6725000000,34851000000,253795000000,106561000000,51520000000,191790000000,13302000000,294500000000,7047000000,-176816000000
2020-06-12,56.53,-1.21,-2.095601%,57.65,55.79,58.225,"83,684,436","4,788,634,163.909600",2020-03-31,31610000000,12735000000,12296000000,19314000000,6710000000,4156000000,5676000000,131000000,8585000000,6579000000,1034000000,1389000000,111000000,4287000000,4156000000,-6980000000,-6980000000,2563000000,4495000000,8824000000,4150000000,-2547000000,5484000000,294500000000,101842000000,8228000000,232847000000,60210000000,33709000000,12463000000,429000000,54557000000,65617000000,24382000000,10061000000,7047000000,41057000000,11175000000,-1353000000,92177000000,40705000000,543000000,-66014000000,23797000000,106561000000,1633000000,17419000000,429000000,54557000000,-6725000000,34851000000,253795000000,106561000000,51520000000,191790000000,13302000000,294500000000,7047000000,-176816000000
2020-06-05,57.74,0.36,+0.627396%,56.7,55.54,58.12,"84,800,958","4,809,424,981.661600",2020-03-31,31610000000,12735000000,12296000000,19314000000,6710000000,4156000000,5676000000,131000000,8585000000,6579000000,1034000000,1389000000,111000000,4287000000,4156000000,-6980000000,-6980000000,2563000000,4495000000,8824000000,4150000000,-2547000000,5484000000,294500000000,101842000000,8228000000,232847000000,60210000000,33709000000,12463000000,429000000,54557000000,65617000000,24382000000,10061000000,7047000000,41057000000,11175000000,-1353000000,92177000000,40705000000,543000000,-66014000000,23797000000,106561000000,1633000000,17419000000,429000000,54557000000,-6725000000,34851000000,253795000000,106561000000,51520000000,191790000000,13302000000,294500000000,7047000000,-176816000000
2020-05-29,57.38,3.28,+6.062847%,54.9,54.18,57.79,"87,585,533","4,869,479,965.778800",2020-03-31,31610000000,12735000000,12296000000,19314000000,6710000000,4156000000,5676000000,131000000,8585000000,6579000000,1034000000,1389000000,111000000,4287000000,4156000000,-6980000000,-6980000000,2563000000,4495000000,8824000000,4150000000,-2547000000,5484000000,294500000000,101842000000,8228000000,232847000000,60210000000,33709000000,12463000000,429000000,54557000000,65617000000,24382000000,10061000000,7047000000,41057000000,11175000000,-1353000000,92177000000,40705000000,543000000,-66014000000,23797000000,106561000000,1633000000,17419000000,429000000,54557000000,-6725000000,34851000000,253795000000,106561000000,51520000000,191790000000,13302000000,294500000000,7047000000,-176816000000
2020-05-22,54.1,-0.61,-1.114970%,55.65,53.67,56.2,"93,772,625","5,117,298,373.366500",2020-03-31,31610000000,12735000000,12296000000,19314000000,6710000000,4156000000,5676000000,131000000,8585000000,6579000000,1034000000,1389000000,111000000,4287000000,4156000000,-6980000000,-6980000000,2563000000,4495000000,8824000000,4150000000,-2547000000,5484000000,294500000000,101842000000,8228000000,232847000000,60210000000,33709000000,12463000000,429000000,54557000000,65617000000,24382000000,10061000000,7047000000,41057000000,11175000000,-1353000000,92177000000,40705000000,543000000,-66014000000,23797000000,106561000000,1633000000,17419000000,429000000,54557000000,-6725000000,34851000000,253795000000,106561000000,51520000000,191790000000,13302000000,294500000000,7047000000,-176816000000
2020-05-15,54.71,-2.29,-4.017544%,56.87,53.85,56.905,"72,392,255","3,997,674,075.806700",2020-03-31,31610000000,12735000000,12296000000,19314000000,6710000000,4156000000,5676000000,131000000,8585000000,6579000000,1034000000,1389000000,111000000,4287000000,4156000000,-6980000000,-6980000000,2563000000,4495000000,8824000000,4150000000,-2547000000,5484000000,294500000000,101842000000,8228000000,232847000000,60210000000,33709000000,12463000000,429000000,54557000000,65617000000,24382000000,10061000000,7047000000,41057000000,11175000000,-1353000000,92177000000,40705000000,543000000,-66014000000,23797000000,106561000000,1633000000,17419000000,429000000,54557000000,-6725000000,34851000000,253795000000,106561000000,51520000000,191790000000,13302000000,294500000000,7047000000,-176816000000
2020-05-08,57.0,0.17,+0.299138%,56.85,55.175,57.03,"60,380,707","3,391,609,920.502500",2020-03-31,31610000000,12735000000,12296000000,19314000000,6710000000,4156000000,5676000000,131000000,8585000000,6579000000,1034000000,1389000000,111000000,4287000000,4156000000,-6980000000,-6980000000,2563000000,4495000000,8824000000,4150000000,-2547000000,5484000000,294500000000,101842000000,8228000000,232847000000,60210000000,33709000000,12463000000,429000000,54557000000,65617000000,24382000000,10061000000,7047000000,41057000000,11175000000,-1353000000,92177000000,40705000000,543000000,-66014000000,23797000000,106561000000,1633000000,17419000000,429000000,54557000000,-6725000000,34851000000,253795000000,106561000000,51520000000,191790000000,13302000000,294500000000,7047000000,-176816000000
2020-05-01,56.83,-1.1,-1.898843%,57.93,56.53,58.6,"78,650,650","4,538,830,360.433800",2020-03-31,31610000000,12735000000,12296000000,19314000000,6710000000,4156000000,5676000000,131000000,8585000000,6579000000,1034000000,1389000000,111000000,4287000000,4156000000,-6980000000,-6980000000,2563000000,4495000000,8824000000,4150000000,-2547000000,5484000000,294500000000,101842000000,8228000000,232847000000,60210000000,33709000000,12463000000,429000000,54557000000,65617000000,24382000000,10061000000,7047000000,41057000000,11175000000,-1353000000,92177000000,40705000000,543000000,-66014000000,23797000000,106561000000,1633000000,17419000000,429000000,54557000000,-6725000000,34851000000,253795000000,106561000000,51520000000,191790000000,13302000000,294500000000,7047000000,-176816000000
2020-04-24,57.93,-0.53,-0.906603%,58.1,56.72,58.91,"71,997,976","4,157,451,238.555500",2020-03-31,31610000000,12735000000,12296000000,19314000000,6710000000,4156000000,5676000000,131000000,8585000000,6579000000,1034000000,1389000000,111000000,4287000000,4156000000,-6980000000,-6980000000,2563000000,4495000000,8824000000,4150000000,-2547000000,5484000000,294500000000,101842000000,8228000000,232847000000,60210000000,33709000000,12463000000,429000000,54557000000,65617000000,24382000000,10061000000,7047000000,41057000000,11175000000,-1353000000,92177000000,40705000000,543000000,-66014000000,23797000000,106561000000,1633000000,17419000000,429000000,54557000000,-6725000000,34851000000,253795000000,106561000000,51520000000,191790000000,13302000000,294500000000,7047000000,-176816000000
2020-04-17,58.46,1.02,+1.775766%,57.39,56.36,58.68,"80,996,152","4,654,983,453.256200",2020-03-31,31610000000,12735000000,12296000000,19314000000,6710000000,4156000000,5676000000,131000000,8585000000,6579000000,1034000000,1389000000,111000000,4287000000,4156000000,-6980000000,-6980000000,2563000000,4495000000,8824000000,4150000000,-2547000000,5484000000,294500000000,101842000000,8228000000,232847000000,60210000000,33709000000,12463000000,429000000,54557000000,65617000000,24382000000,10061000000,7047000000,41057000000,11175000000,-1353000000,92177000000,40705000000,543000000,-66014000000,23797000000,106561000000,1633000000,17419000000,429000000,54557000000,-6725000000,34851000000,253795000000,106561000000,51520000000,191790000000,13302000000,294500000000,7047000000,-176816000000
2020-04-10,57.44,2.74,+5.009141%,55.77,54.98,58.1,"79,998,536","4,568,387,508.876500",2020-03-31,31610000000,12735000000,12296000000,19314000000,6710000000,4156000000,5676000000,131000000,8585000000,6579000000,1034000000,1389000000,111000000,4287000000,4156000000,-6980000000,-6980000000,2563000000,4495000000,8824000000,4150000000,-2547000000,5484000000,294500000000,101842000000,8228000000,232847000000,60210000000,33709000000,12463000000,429000000,54557000000,65617000000,24382000000,10061000000,7047000000,41057000000,11175000000,-1353000000,92177000000,40705000000,543000000,-66014000000,23797000000,106561000000,1633000000,17419000000,429000000,54557000000,-6725000000,34851000000,253795000000,106561000000,51520000000,191790000000,13302000000,294500000000,7047000000,-176816000000
2020-04-03,54.7,1.93,+3.657381%,53.49,52.161,55.5,"98,356,465","5,323,144,272.794000",2020-03-31,31610000000,12735000000,12296000000,19314000000,6710000000,4156000000,5676000000,131000000,8585000000,6579000000,1034000000,1389000000,111000000,4287000000,4156000000,-6980000000,-6980000000,2563000000,4495000000,8824000000,4150000000,-2547000000,5484000000,294500000000,101842000000,8228000000,232847000000,60210000000,33709000000,12463000000,429000000,54557000000,65617000000,24382000000,10061000000,7047000000,41057000000,11175000000,-1353000000,92177000000,40705000000,543000000,-66014000000,23797000000,106561000000,1633000000,17419000000,429000000,54557000000,-6725000000,34851000000,253795000000,106561000000,51520000000,191790000000,13302000000,294500000000,7047000000,-176816000000
2020-03-27,52.77,0.97,+1.872587%,50.61,48.84,53.9,"176,384,523","8,996,620,244.648300",2019-12-31,66846000000,24005000000,28352000000,38494000000,11396000000,9039000000,9022000000,252000000,15482000000,14489000000,2374000000,-269000000,-1887000000,9291000000,9039000000,-5424000000,-17756000000,-3863000000,212000000,8998000000,4105000000,-2542000000,6206000000,291727000000,104557000000,8028000000,228892000000,61395000000,34703000000,12285000000,429000000,53147000000,64142000000,24389000000,9131000000,2594000000,44868000000,10777000000,1220000000,91915000000,37473000000,558000000,-67551000000,25429000000,99932000000,1422000000,21806000000,429000000,53147000000,-6820000000,32835000000,254254000000,100712000000,48609000000,184024000000,13419000000,291727000000,2594000000,-173819000000
