Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,fiscalDateEnding,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,incomeTaxExpense,totalOtherIncomeExpense,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInCashAndCashEquivalents,totalAssets,intangibleAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,netTangibleAssets,netReceivables,longTermDebt,inventory,accountsPayable,commonStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,otherNonCurrrentAssets,totalNonCurrentAssets,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments
2020-11-27,39.0,1.47,+3.916867%,37.68,37.22,39.24,"26,674,109","1,023,396,268.618280",2020-08-31,34746000000,34153000000,27943000000,6803000000,1174000000,373000000,537000000,498000000,6210000000,44000000,593000000,-57000000,157000000,208000000,101000000,356000000,373000000,185000000,-637000000,148000000,-869000000,-1647000000,-93000000,-197000000,2086000000,-90000000,480000000,-487000000,-215000000,290000000,22000000,169000000,412000000,-200000000,87174000000,10753000000,974000000,66038000000,20637000000,1498000000,-2000000,12000000,34210000000,3750000000,15268000000,660000000,516000000,27070000000,3538000000,-3771000000,33351000000,18073000000,-7099000000,7132000000,12203000000,9451000000,14458000000,12000000,34210000000,-20575000000,677000000,69101000000,12203000000,3294000000,38968000000,10761000000,87174000000,516000000
2020-11-20,37.53,-5.18,-12.128307%,43.79,37.0201,44.87,"69,395,631","2,742,825,296.727290",2020-08-31,34746000000,34153000000,27943000000,6803000000,1174000000,373000000,537000000,498000000,6210000000,44000000,593000000,-57000000,157000000,208000000,101000000,356000000,373000000,185000000,-637000000,148000000,-869000000,-1647000000,-93000000,-197000000,2086000000,-90000000,480000000,-487000000,-215000000,290000000,22000000,169000000,412000000,-200000000,87174000000,10753000000,974000000,66038000000,20637000000,1498000000,-2000000,12000000,34210000000,3750000000,15268000000,660000000,516000000,27070000000,3538000000,-3771000000,33351000000,18073000000,-7099000000,7132000000,12203000000,9451000000,14458000000,12000000,34210000000,-20575000000,677000000,69101000000,12203000000,3294000000,38968000000,10761000000,87174000000,516000000
2020-11-13,42.71,5.4,+14.473332%,39.48,38.55,43.7599,"49,893,437","2,070,486,284.416710",2020-08-31,34746000000,34153000000,27943000000,6803000000,1174000000,373000000,537000000,498000000,6210000000,44000000,593000000,-57000000,157000000,208000000,101000000,356000000,373000000,185000000,-637000000,148000000,-869000000,-1647000000,-93000000,-197000000,2086000000,-90000000,480000000,-487000000,-215000000,290000000,22000000,169000000,412000000,-200000000,87174000000,10753000000,974000000,66038000000,20637000000,1498000000,-2000000,12000000,34210000000,3750000000,15268000000,660000000,516000000,27070000000,3538000000,-3771000000,33351000000,18073000000,-7099000000,7132000000,12203000000,9451000000,14458000000,12000000,34210000000,-20575000000,677000000,69101000000,12203000000,3294000000,38968000000,10761000000,87174000000,516000000
2020-11-06,37.31,3.27,+9.606345%,34.53,34.37,38.17,"36,343,414","1,337,668,278.447630",2020-08-31,34746000000,34153000000,27943000000,6803000000,1174000000,373000000,537000000,498000000,6210000000,44000000,593000000,-57000000,157000000,208000000,101000000,356000000,373000000,185000000,-637000000,148000000,-869000000,-1647000000,-93000000,-197000000,2086000000,-90000000,480000000,-487000000,-215000000,290000000,22000000,169000000,412000000,-200000000,87174000000,10753000000,974000000,66038000000,20637000000,1498000000,-2000000,12000000,34210000000,3750000000,15268000000,660000000,516000000,27070000000,3538000000,-3771000000,33351000000,18073000000,-7099000000,7132000000,12203000000,9451000000,14458000000,12000000,34210000000,-20575000000,677000000,69101000000,12203000000,3294000000,38968000000,10761000000,87174000000,516000000
2020-10-30,34.04,-4.0,-10.515247%,37.89,33.36,38.03,"40,360,631","1,415,144,090.411000",2020-08-31,34746000000,34153000000,27943000000,6803000000,1174000000,373000000,537000000,498000000,6210000000,44000000,593000000,-57000000,157000000,208000000,101000000,356000000,373000000,185000000,-637000000,148000000,-869000000,-1647000000,-93000000,-197000000,2086000000,-90000000,480000000,-487000000,-215000000,290000000,22000000,169000000,412000000,-200000000,87174000000,10753000000,974000000,66038000000,20637000000,1498000000,-2000000,12000000,34210000000,3750000000,15268000000,660000000,516000000,27070000000,3538000000,-3771000000,33351000000,18073000000,-7099000000,7132000000,12203000000,9451000000,14458000000,12000000,34210000000,-20575000000,677000000,69101000000,12203000000,3294000000,38968000000,10761000000,87174000000,516000000
2020-10-23,38.04,0.63,+1.684042%,37.46,36.72,38.075,"22,566,354","845,382,992.758200",2020-08-31,34746000000,34153000000,27943000000,6803000000,1174000000,373000000,537000000,498000000,6210000000,44000000,593000000,-57000000,157000000,208000000,101000000,356000000,373000000,185000000,-637000000,148000000,-869000000,-1647000000,-93000000,-197000000,2086000000,-90000000,480000000,-487000000,-215000000,290000000,22000000,169000000,412000000,-200000000,87174000000,10753000000,974000000,66038000000,20637000000,1498000000,-2000000,12000000,34210000000,3750000000,15268000000,660000000,516000000,27070000000,3538000000,-3771000000,33351000000,18073000000,-7099000000,7132000000,12203000000,9451000000,14458000000,12000000,34210000000,-20575000000,677000000,69101000000,12203000000,3294000000,38968000000,10761000000,87174000000,516000000
2020-10-16,37.41,1.07,+2.944414%,36.62,35.65,38.22,"49,824,679","1,837,775,737.055180",2020-08-31,34746000000,34153000000,27943000000,6803000000,1174000000,373000000,537000000,498000000,6210000000,44000000,593000000,-57000000,157000000,208000000,101000000,356000000,373000000,185000000,-637000000,148000000,-869000000,-1647000000,-93000000,-197000000,2086000000,-90000000,480000000,-487000000,-215000000,290000000,22000000,169000000,412000000,-200000000,87174000000,10753000000,974000000,66038000000,20637000000,1498000000,-2000000,12000000,34210000000,3750000000,15268000000,660000000,516000000,27070000000,3538000000,-3771000000,33351000000,18073000000,-7099000000,7132000000,12203000000,9451000000,14458000000,12000000,34210000000,-20575000000,677000000,69101000000,12203000000,3294000000,38968000000,10761000000,87174000000,516000000
2020-10-09,36.34,0.57,+1.593514%,36.02,35.81,37.59,"24,632,359","902,086,933.903674",2020-08-31,34746000000,34153000000,27943000000,6803000000,1174000000,373000000,537000000,498000000,6210000000,44000000,593000000,-57000000,157000000,208000000,101000000,356000000,373000000,185000000,-637000000,148000000,-869000000,-1647000000,-93000000,-197000000,2086000000,-90000000,480000000,-487000000,-215000000,290000000,22000000,169000000,412000000,-200000000,87174000000,10753000000,974000000,66038000000,20637000000,1498000000,-2000000,12000000,34210000000,3750000000,15268000000,660000000,516000000,27070000000,3538000000,-3771000000,33351000000,18073000000,-7099000000,7132000000,12203000000,9451000000,14458000000,12000000,34210000000,-20575000000,677000000,69101000000,12203000000,3294000000,38968000000,10761000000,87174000000,516000000
2020-10-02,35.77,0.34,+0.959639%,35.89,35.2801,36.515,"27,934,241","1,001,760,216.130350",2020-08-31,34746000000,34153000000,27943000000,6803000000,1174000000,373000000,537000000,498000000,6210000000,44000000,593000000,-57000000,157000000,208000000,101000000,356000000,373000000,185000000,-637000000,148000000,-869000000,-1647000000,-93000000,-197000000,2086000000,-90000000,480000000,-487000000,-215000000,290000000,22000000,169000000,412000000,-200000000,87174000000,10753000000,974000000,66038000000,20637000000,1498000000,-2000000,12000000,34210000000,3750000000,15268000000,660000000,516000000,27070000000,3538000000,-3771000000,33351000000,18073000000,-7099000000,7132000000,12203000000,9451000000,14458000000,12000000,34210000000,-20575000000,677000000,69101000000,12203000000,3294000000,38968000000,10761000000,87174000000,516000000
2020-09-25,35.43,-1.5,-4.061738%,36.75,34.52,36.87,"31,817,022","1,127,674,269.997040",2020-08-31,34746000000,34153000000,27943000000,6803000000,1174000000,373000000,537000000,498000000,6210000000,44000000,593000000,-57000000,157000000,208000000,101000000,356000000,373000000,185000000,-637000000,148000000,-869000000,-1647000000,-93000000,-197000000,2086000000,-90000000,480000000,-487000000,-215000000,290000000,22000000,169000000,412000000,-200000000,87174000000,10753000000,974000000,66038000000,20637000000,1498000000,-2000000,12000000,34210000000,3750000000,15268000000,660000000,516000000,27070000000,3538000000,-3771000000,33351000000,18073000000,-7099000000,7132000000,12203000000,9451000000,14458000000,12000000,34210000000,-20575000000,677000000,69101000000,12203000000,3294000000,38968000000,10761000000,87174000000,516000000
2020-09-18,36.93,2.23,+6.426513%,34.85,34.595,37.28,"42,530,248","1,540,181,921.764600",2020-08-31,34746000000,34153000000,27943000000,6803000000,1174000000,373000000,537000000,498000000,6210000000,44000000,593000000,-57000000,157000000,208000000,101000000,356000000,373000000,185000000,-637000000,148000000,-869000000,-1647000000,-93000000,-197000000,2086000000,-90000000,480000000,-487000000,-215000000,290000000,22000000,169000000,412000000,-200000000,87174000000,10753000000,974000000,66038000000,20637000000,1498000000,-2000000,12000000,34210000000,3750000000,15268000000,660000000,516000000,27070000000,3538000000,-3771000000,33351000000,18073000000,-7099000000,7132000000,12203000000,9451000000,14458000000,12000000,34210000000,-20575000000,677000000,69101000000,12203000000,3294000000,38968000000,10761000000,87174000000,516000000
