Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,fiscalDateEnding,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,operatingIncome,interestExpense,incomeTaxExpense,totalOtherIncomeExpense,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInCash,operatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInNetIncome,capitalExpenditures,totalAssets,totalLiabilities,totalShareholderEquity,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,netTangibleAssets,netReceivables,longTermDebt,inventory,accountsPayable,otherNonCurrrentAssets,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,totalNonCurrentLiabilities,capitalSurplus,cashAndShortTermInvestments
2020-11-27,151.6,1.36,+0.905218%,150.37,149.37,152.72,"20,186,271","3,052,688,937.739700",2020-10-31,134708000000,128930000000,100339000000,34369000000,10427000000,5135000000,7115000000,6073000000,27991000000,5778000000,541000000,1914000000,1853000000,5201000000,5135000000,7501000000,-6507000000,-69000000,-1318000000,-11340000000,-1139000000,4863000000,22880000000,8333000000,-4582000000,-1186000000,-10726000000,-421000000,6438000000,250863000000,169432000000,81431000000,2077000000,283000000,92279000000,13657000000,30236000000,22736000000,14325000000,88121000000,240000000,-14616000000,124289000000,73602000000,51195000000,5770000000,40849000000,51842000000,54152000000,22736000000,177261000000,23031000000,45599000000,75238000000,3485000000,14325000000
2020-11-20,150.24,-0.3,-0.199283%,150.53,149.05,153.4,"47,587,362","7,196,845,965.338300",2020-10-31,134708000000,128930000000,100339000000,34369000000,10427000000,5135000000,7115000000,6073000000,27991000000,5778000000,541000000,1914000000,1853000000,5201000000,5135000000,7501000000,-6507000000,-69000000,-1318000000,-11340000000,-1139000000,4863000000,22880000000,8333000000,-4582000000,-1186000000,-10726000000,-421000000,6438000000,250863000000,169432000000,81431000000,2077000000,283000000,92279000000,13657000000,30236000000,22736000000,14325000000,88121000000,240000000,-14616000000,124289000000,73602000000,51195000000,5770000000,40849000000,51842000000,54152000000,22736000000,177261000000,23031000000,45599000000,75238000000,3485000000,14325000000
2020-11-13,150.54,4.77,+3.272278%,148.0,143.48,150.935,"32,530,744","4,788,682,262.070200",2020-10-31,134708000000,128930000000,100339000000,34369000000,10427000000,5135000000,7115000000,6073000000,27991000000,5778000000,541000000,1914000000,1853000000,5201000000,5135000000,7501000000,-6507000000,-69000000,-1318000000,-11340000000,-1139000000,4863000000,22880000000,8333000000,-4582000000,-1186000000,-10726000000,-421000000,6438000000,250863000000,169432000000,81431000000,2077000000,283000000,92279000000,13657000000,30236000000,22736000000,14325000000,88121000000,240000000,-14616000000,124289000000,73602000000,51195000000,5770000000,40849000000,51842000000,54152000000,22736000000,177261000000,23031000000,45599000000,75238000000,3485000000,14325000000
2020-11-06,145.77,7.02,+5.059459%,140.59,139.03,146.22,"26,772,509","3,825,834,378.283300",2020-10-31,134708000000,128930000000,100339000000,34369000000,10427000000,5135000000,7115000000,6073000000,27991000000,5778000000,541000000,1914000000,1853000000,5201000000,5135000000,7501000000,-6507000000,-69000000,-1318000000,-11340000000,-1139000000,4863000000,22880000000,8333000000,-4582000000,-1186000000,-10726000000,-421000000,6438000000,250863000000,169432000000,81431000000,2077000000,283000000,92279000000,13657000000,30236000000,22736000000,14325000000,88121000000,240000000,-14616000000,124289000000,73602000000,51195000000,5770000000,40849000000,51842000000,54152000000,22736000000,177261000000,23031000000,45599000000,75238000000,3485000000,14325000000
2020-10-30,138.75,-5.1,-3.545360%,142.84,137.37,143.7,"26,184,776","3,683,468,440.208500",2020-07-31,137742000000,131683000000,102689000000,35053000000,12075000000,6476000000,8646000000,5887000000,27094000000,6059000000,658000000,2207000000,3222000000,6439000000,6476000000,2235000000,-3634000000,-65000000,-6657000000,-7814000000,-918000000,7439000000,18956000000,5562000000,-3058000000,-723000000,245000000,-2479000000,3569000000,237382000000,162072000000,75310000000,3670000000,283000000,87614000000,12927000000,29542000000,19950000000,16906000000,81957000000,357000000,-15784000000,122894000000,64996000000,45768000000,5111000000,40959000000,41084000000,46326000000,19950000000,172386000000,22625000000,45632000000,74228000000,3197000000,16906000000
2020-10-23,143.85,-0.86,-0.594292%,145.1,142.69,145.7259,"22,060,775","3,178,219,202.462600",2020-07-31,137742000000,131683000000,102689000000,35053000000,12075000000,6476000000,8646000000,5887000000,27094000000,6059000000,658000000,2207000000,3222000000,6439000000,6476000000,2235000000,-3634000000,-65000000,-6657000000,-7814000000,-918000000,7439000000,18956000000,5562000000,-3058000000,-723000000,245000000,-2479000000,3569000000,237382000000,162072000000,75310000000,3670000000,283000000,87614000000,12927000000,29542000000,19950000000,16906000000,81957000000,357000000,-15784000000,122894000000,64996000000,45768000000,5111000000,40959000000,41084000000,46326000000,19950000000,172386000000,22625000000,45632000000,74228000000,3197000000,16906000000
2020-10-16,144.71,1.93,+1.351730%,143.02,142.8374,146.605,"30,857,523","4,470,831,748.696300",2020-07-31,137742000000,131683000000,102689000000,35053000000,12075000000,6476000000,8646000000,5887000000,27094000000,6059000000,658000000,2207000000,3222000000,6439000000,6476000000,2235000000,-3634000000,-65000000,-6657000000,-7814000000,-918000000,7439000000,18956000000,5562000000,-3058000000,-723000000,245000000,-2479000000,3569000000,237382000000,162072000000,75310000000,3670000000,283000000,87614000000,12927000000,29542000000,19950000000,16906000000,81957000000,357000000,-15784000000,122894000000,64996000000,45768000000,5111000000,40959000000,41084000000,46326000000,19950000000,172386000000,22625000000,45632000000,74228000000,3197000000,16906000000
2020-10-09,142.78,2.28,+1.622776%,141.29,140.25,143.34,"27,285,144","3,864,976,114.533500",2020-07-31,137742000000,131683000000,102689000000,35053000000,12075000000,6476000000,8646000000,5887000000,27094000000,6059000000,658000000,2207000000,3222000000,6439000000,6476000000,2235000000,-3634000000,-65000000,-6657000000,-7814000000,-918000000,7439000000,18956000000,5562000000,-3058000000,-723000000,245000000,-2479000000,3569000000,237382000000,162072000000,75310000000,3670000000,283000000,87614000000,12927000000,29542000000,19950000000,16906000000,81957000000,357000000,-15784000000,122894000000,64996000000,45768000000,5111000000,40959000000,41084000000,46326000000,19950000000,172386000000,22625000000,45632000000,74228000000,3197000000,16906000000
2020-10-02,140.5,3.23,+2.353027%,137.16,136.39,144.3799,"50,540,691","7,083,370,946.638600",2020-07-31,137742000000,131683000000,102689000000,35053000000,12075000000,6476000000,8646000000,5887000000,27094000000,6059000000,658000000,2207000000,3222000000,6439000000,6476000000,2235000000,-3634000000,-65000000,-6657000000,-7814000000,-918000000,7439000000,18956000000,5562000000,-3058000000,-723000000,245000000,-2479000000,3569000000,237382000000,162072000000,75310000000,3670000000,283000000,87614000000,12927000000,29542000000,19950000000,16906000000,81957000000,357000000,-15784000000,122894000000,64996000000,45768000000,5111000000,40959000000,41084000000,46326000000,19950000000,172386000000,22625000000,45632000000,74228000000,3197000000,16906000000
2020-09-25,137.27,1.98,+1.463523%,136.5,135.07,139.24,"51,860,917","7,102,376,251.971400",2020-07-31,137742000000,131683000000,102689000000,35053000000,12075000000,6476000000,8646000000,5887000000,27094000000,6059000000,658000000,2207000000,3222000000,6439000000,6476000000,2235000000,-3634000000,-65000000,-6657000000,-7814000000,-918000000,7439000000,18956000000,5562000000,-3058000000,-723000000,245000000,-2479000000,3569000000,237382000000,162072000000,75310000000,3670000000,283000000,87614000000,12927000000,29542000000,19950000000,16906000000,81957000000,357000000,-15784000000,122894000000,64996000000,45768000000,5111000000,40959000000,41084000000,46326000000,19950000000,172386000000,22625000000,45632000000,74228000000,3197000000,16906000000
2020-09-18,135.29,-1.41,-1.031456%,136.14,134.75,141.1,"65,331,296","8,945,323,484.552100",2020-07-31,137742000000,131683000000,102689000000,35053000000,12075000000,6476000000,8646000000,5887000000,27094000000,6059000000,658000000,2207000000,3222000000,6439000000,6476000000,2235000000,-3634000000,-65000000,-6657000000,-7814000000,-918000000,7439000000,18956000000,5562000000,-3058000000,-723000000,245000000,-2479000000,3569000000,237382000000,162072000000,75310000000,3670000000,283000000,87614000000,12927000000,29542000000,19950000000,16906000000,81957000000,357000000,-15784000000,122894000000,64996000000,45768000000,5111000000,40959000000,41084000000,46326000000,19950000000,172386000000,22625000000,45632000000,74228000000,3197000000,16906000000
2020-09-11,136.7,-6.13,-4.291815%,141.41,135.55,142.61,"43,408,279","6,035,441,723.214900",2020-07-31,137742000000,131683000000,102689000000,35053000000,12075000000,6476000000,8646000000,5887000000,27094000000,6059000000,658000000,2207000000,3222000000,6439000000,6476000000,2235000000,-3634000000,-65000000,-6657000000,-7814000000,-918000000,7439000000,18956000000,5562000000,-3058000000,-723000000,245000000,-2479000000,3569000000,237382000000,162072000000,75310000000,3670000000,283000000,87614000000,12927000000,29542000000,19950000000,16906000000,81957000000,357000000,-15784000000,122894000000,64996000000,45768000000,5111000000,40959000000,41084000000,46326000000,19950000000,172386000000,22625000000,45632000000,74228000000,3197000000,16906000000
