Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,fiscalDateEnding,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,operatingIncome,interestExpense,incomeTaxExpense,totalOtherIncomeExpense,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInCash,operatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,totalAssets,intangibleAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,commonStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,otherNonCurrrentAssets,totalNonCurrentAssets,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,warrants,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,commonStockSharesOutstanding
2020-11-27,209.41,7.41,+3.668317%,203.65,203.42,209.42,"10,731,199","2,221,158,154.087300",2020-09-30,7797000000,1103000000,5383000000,2414000000,1249000000,758000000,1148000000,246000000,1103000000,1148000000,63000000,367000000,-82000000,781000000,758000000,-52000000,-96000000,-410000000,205000000,-21000000,1972000000,-54000000,4969000000,3426000000,480000000,-1921000000,-1986000000,47000000,-161000000,-129000000,615000000,63459000000,3494000000,1609000000,45385000000,18074000000,1474000000,361000000,958000000,39203000000,9671000000,15666000000,9282000000,14036000000,17184000000,3550000000,-3436000000,6144000000,28200000000,1047000000,-1086000000,972000000,6878000000,17552000000,4705000000,5270000000,958000000,39203000000,-25806000000,9479000000,154000000,17687000000,8794000000,27955000000,7000000,7155000000,63459000000,15008000000,701700000
2020-11-20,202.0,0.46,+0.228243%,205.99,199.8901,209.61,"18,391,074","3,755,798,856.778000",2020-09-30,7797000000,1103000000,5383000000,2414000000,1249000000,758000000,1148000000,246000000,1103000000,1148000000,63000000,367000000,-82000000,781000000,758000000,-52000000,-96000000,-410000000,205000000,-21000000,1972000000,-54000000,4969000000,3426000000,480000000,-1921000000,-1986000000,47000000,-161000000,-129000000,615000000,63459000000,3494000000,1609000000,45385000000,18074000000,1474000000,361000000,958000000,39203000000,9671000000,15666000000,9282000000,14036000000,17184000000,3550000000,-3436000000,6144000000,28200000000,1047000000,-1086000000,972000000,6878000000,17552000000,4705000000,5270000000,958000000,39203000000,-25806000000,9479000000,154000000,17687000000,8794000000,27955000000,7000000,7155000000,63459000000,15008000000,701700000
2020-11-13,201.54,17.27,+9.372117%,204.9,193.42,210.0,"21,872,035","4,361,142,271.107600",2020-09-30,7797000000,1103000000,5383000000,2414000000,1249000000,758000000,1148000000,246000000,1103000000,1148000000,63000000,367000000,-82000000,781000000,758000000,-52000000,-96000000,-410000000,205000000,-21000000,1972000000,-54000000,4969000000,3426000000,480000000,-1921000000,-1986000000,47000000,-161000000,-129000000,615000000,63459000000,3494000000,1609000000,45385000000,18074000000,1474000000,361000000,958000000,39203000000,9671000000,15666000000,9282000000,14036000000,17184000000,3550000000,-3436000000,6144000000,28200000000,1047000000,-1086000000,972000000,6878000000,17552000000,4705000000,5270000000,958000000,39203000000,-25806000000,9479000000,154000000,17687000000,8794000000,27955000000,7000000,7155000000,63459000000,15008000000,701700000
2020-11-06,184.27,19.32,+11.712640%,169.2,168.11,186.0,"19,902,347","3,572,842,682.550700",2020-09-30,7797000000,1103000000,5383000000,2414000000,1249000000,758000000,1148000000,246000000,1103000000,1148000000,63000000,367000000,-82000000,781000000,758000000,-52000000,-96000000,-410000000,205000000,-21000000,1972000000,-54000000,4969000000,3426000000,480000000,-1921000000,-1986000000,47000000,-161000000,-129000000,615000000,63459000000,3494000000,1609000000,45385000000,18074000000,1474000000,361000000,958000000,39203000000,9671000000,15666000000,9282000000,14036000000,17184000000,3550000000,-3436000000,6144000000,28200000000,1047000000,-1086000000,972000000,6878000000,17552000000,4705000000,5270000000,958000000,39203000000,-25806000000,9479000000,154000000,17687000000,8794000000,27955000000,7000000,7155000000,63459000000,15008000000,701700000
2020-10-30,164.95,-10.59,-6.032813%,173.2,159.42,173.2,"15,070,663","2,487,381,855.094900",2020-09-30,7797000000,1103000000,5383000000,2414000000,1249000000,758000000,1148000000,246000000,1103000000,1148000000,63000000,367000000,-82000000,781000000,758000000,-52000000,-96000000,-410000000,205000000,-21000000,1972000000,-54000000,4969000000,3426000000,480000000,-1921000000,-1986000000,47000000,-161000000,-129000000,615000000,63459000000,3494000000,1609000000,45385000000,18074000000,1474000000,361000000,958000000,39203000000,9671000000,15666000000,9282000000,14036000000,17184000000,3550000000,-3436000000,6144000000,28200000000,1047000000,-1086000000,972000000,6878000000,17552000000,4705000000,5270000000,958000000,39203000000,-25806000000,9479000000,154000000,17687000000,8794000000,27955000000,7000000,7155000000,63459000000,15008000000,701700000
2020-10-23,175.54,0.68,+0.388883%,174.59,171.05,178.6395,"9,381,824","1,635,359,473.645700",2020-09-30,7797000000,1103000000,5383000000,2414000000,1249000000,758000000,1148000000,246000000,1103000000,1148000000,63000000,367000000,-82000000,781000000,758000000,-52000000,-96000000,-410000000,205000000,-21000000,1972000000,-54000000,4969000000,3426000000,480000000,-1921000000,-1986000000,47000000,-161000000,-129000000,615000000,63459000000,3494000000,1609000000,45385000000,18074000000,1474000000,361000000,958000000,39203000000,9671000000,15666000000,9282000000,14036000000,17184000000,3550000000,-3436000000,6144000000,28200000000,1047000000,-1086000000,972000000,6878000000,17552000000,4705000000,5270000000,958000000,39203000000,-25806000000,9479000000,154000000,17687000000,8794000000,27955000000,7000000,7155000000,63459000000,15008000000,701700000
2020-10-16,174.86,0.48,+0.275261%,175.06,170.33,176.98,"14,164,307","2,465,049,951.528800",2020-09-30,7797000000,1103000000,5383000000,2414000000,1249000000,758000000,1148000000,246000000,1103000000,1148000000,63000000,367000000,-82000000,781000000,758000000,-52000000,-96000000,-410000000,205000000,-21000000,1972000000,-54000000,4969000000,3426000000,480000000,-1921000000,-1986000000,47000000,-161000000,-129000000,615000000,63459000000,3494000000,1609000000,45385000000,18074000000,1474000000,361000000,958000000,39203000000,9671000000,15666000000,9282000000,14036000000,17184000000,3550000000,-3436000000,6144000000,28200000000,1047000000,-1086000000,972000000,6878000000,17552000000,4705000000,5270000000,958000000,39203000000,-25806000000,9479000000,154000000,17687000000,8794000000,27955000000,7000000,7155000000,63459000000,15008000000,701700000
2020-10-09,174.38,8.77,+5.295574%,166.99,166.62,176.06,"10,741,555","1,839,543,026.013900",2020-09-30,7797000000,1103000000,5383000000,2414000000,1249000000,758000000,1148000000,246000000,1103000000,1148000000,63000000,367000000,-82000000,781000000,758000000,-52000000,-96000000,-410000000,205000000,-21000000,1972000000,-54000000,4969000000,3426000000,480000000,-1921000000,-1986000000,47000000,-161000000,-129000000,615000000,63459000000,3494000000,1609000000,45385000000,18074000000,1474000000,361000000,958000000,39203000000,9671000000,15666000000,9282000000,14036000000,17184000000,3550000000,-3436000000,6144000000,28200000000,1047000000,-1086000000,972000000,6878000000,17552000000,4705000000,5270000000,958000000,39203000000,-25806000000,9479000000,154000000,17687000000,8794000000,27955000000,7000000,7155000000,63459000000,15008000000,701700000
2020-10-02,165.61,4.12,+2.551242%,164.44,161.35,167.92,"12,338,786","2,034,658,855.219500",2020-09-30,7797000000,1103000000,5383000000,2414000000,1249000000,758000000,1148000000,246000000,1103000000,1148000000,63000000,367000000,-82000000,781000000,758000000,-52000000,-96000000,-410000000,205000000,-21000000,1972000000,-54000000,4969000000,3426000000,480000000,-1921000000,-1986000000,47000000,-161000000,-129000000,615000000,63459000000,3494000000,1609000000,45385000000,18074000000,1474000000,361000000,958000000,39203000000,9671000000,15666000000,9282000000,14036000000,17184000000,3550000000,-3436000000,6144000000,28200000000,1047000000,-1086000000,972000000,6878000000,17552000000,4705000000,5270000000,958000000,39203000000,-25806000000,9479000000,154000000,17687000000,8794000000,27955000000,7000000,7155000000,63459000000,15008000000,701700000
2020-09-25,161.49,-7.21,-4.273859%,164.82,156.851,165.18,"14,301,367","2,294,424,472.995000",2020-06-30,7477000000,1183000000,5276000000,2201000000,1309000000,1081000000,1219000000,18000000,1183000000,1018000000,90000000,120000000,269000000,1099000000,1081000000,-194000000,71000000,-708000000,-287000000,5870000000,5187000000,-2000000,5959000000,1480000000,250000000,-650000000,-31000000,-168000000,735000000,-20000000,227000000,63604000000,3551000000,1724000000,45231000000,18147000000,1461000000,362000000,958000000,39080000000,9707000000,15518000000,9547000000,13778000000,17341000000,4498000000,-3310000000,5327000000,28321000000,1005000000,-915000000,1349000000,6717000000,17591000000,4753000000,12843000000,958000000,39080000000,-25685000000,9776000000,106000000,17591000000,8838000000,27890000000,7000000,7104000000,63604000000,15127000000,701800000
