Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,fiscalDateEnding,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,operatingIncome,interestExpense,incomeTaxExpense,totalOtherIncomeExpense,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,totalAssets,intangibleAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,commonStockTotalEquity,retainedEarningsTotalEquity,otherNonCurrrentAssets,totalNonCurrentAssets,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding
2020-11-27,176.89,4.0,+2.313610%,173.76,173.45,179.625,"8,470,660","1,490,867,706.013900",2020-09-30,8350000000,6441000000,4303000000,4047000000,2414000000,1413000000,461000000,1805000000,63000000,1677000000,1909000000,128000000,387000000,19000000,1417000000,1413000000,-523000000,221000000,-321000000,758000000,-1337000000,-3498000000,-47000000,1768000000,5598000000,429000000,1413000000,-2540000000,-41000000,241000000,-128000000,379000000,1079000000,-128000000,42000000,-98000000,45390000000,5926000000,426000000,33510000000,11880000000,3060000000,9000000,43285000000,7003000000,13535000000,1759000000,4121000000,7410000000,-7960000000,10060000000,14110000000,-7581000000,440000000,4623000000,18429000000,3984000000,2208000000,9000000,43285000000,1759000000,31280000000,18429000000,3324000000,26037000000,6116000000,45390000000,4561000000,-17236000000,576821878
2020-11-20,172.89,3.1,+1.825785%,172.62,169.3,174.7,"13,283,128","2,289,278,142.793600",2020-09-30,8350000000,6441000000,4303000000,4047000000,2414000000,1413000000,461000000,1805000000,63000000,1677000000,1909000000,128000000,387000000,19000000,1417000000,1413000000,-523000000,221000000,-321000000,758000000,-1337000000,-3498000000,-47000000,1768000000,5598000000,429000000,1413000000,-2540000000,-41000000,241000000,-128000000,379000000,1079000000,-128000000,42000000,-98000000,45390000000,5926000000,426000000,33510000000,11880000000,3060000000,9000000,43285000000,7003000000,13535000000,1759000000,4121000000,7410000000,-7960000000,10060000000,14110000000,-7581000000,440000000,4623000000,18429000000,3984000000,2208000000,9000000,43285000000,1759000000,31280000000,18429000000,3324000000,26037000000,6116000000,45390000000,4561000000,-17236000000,576821878
2020-11-13,169.79,6.77,+4.152865%,174.13,163.15,175.43,"14,834,552","2,490,169,217.977500",2020-09-30,8350000000,6441000000,4303000000,4047000000,2414000000,1413000000,461000000,1805000000,63000000,1677000000,1909000000,128000000,387000000,19000000,1417000000,1413000000,-523000000,221000000,-321000000,758000000,-1337000000,-3498000000,-47000000,1768000000,5598000000,429000000,1413000000,-2540000000,-41000000,241000000,-128000000,379000000,1079000000,-128000000,42000000,-98000000,45390000000,5926000000,426000000,33510000000,11880000000,3060000000,9000000,43285000000,7003000000,13535000000,1759000000,4121000000,7410000000,-7960000000,10060000000,14110000000,-7581000000,440000000,4623000000,18429000000,3984000000,2208000000,9000000,43285000000,1759000000,31280000000,18429000000,3324000000,26037000000,6116000000,45390000000,4561000000,-17236000000,576821878
2020-11-06,163.02,3.06,+1.912978%,162.19,159.9,166.83,"11,018,233","1,797,001,171.856400",2020-09-30,8350000000,6441000000,4303000000,4047000000,2414000000,1413000000,461000000,1805000000,63000000,1677000000,1909000000,128000000,387000000,19000000,1417000000,1413000000,-523000000,221000000,-321000000,758000000,-1337000000,-3498000000,-47000000,1768000000,5598000000,429000000,1413000000,-2540000000,-41000000,241000000,-128000000,379000000,1079000000,-128000000,42000000,-98000000,45390000000,5926000000,426000000,33510000000,11880000000,3060000000,9000000,43285000000,7003000000,13535000000,1759000000,4121000000,7410000000,-7960000000,10060000000,14110000000,-7581000000,440000000,4623000000,18429000000,3984000000,2208000000,9000000,43285000000,1759000000,31280000000,18429000000,3324000000,26037000000,6116000000,45390000000,4561000000,-17236000000,576821878
2020-10-30,159.96,-9.84,-5.795053%,167.68,156.13,168.09,"15,213,757","2,455,701,516.752200",2020-09-30,8350000000,6441000000,4303000000,4047000000,2414000000,1413000000,461000000,1805000000,63000000,1677000000,1909000000,128000000,387000000,19000000,1417000000,1413000000,-523000000,221000000,-321000000,758000000,-1337000000,-3498000000,-47000000,1768000000,5598000000,429000000,1413000000,-2540000000,-41000000,241000000,-128000000,379000000,1079000000,-128000000,42000000,-98000000,45390000000,5926000000,426000000,33510000000,11880000000,3060000000,9000000,43285000000,7003000000,13535000000,1759000000,4121000000,7410000000,-7960000000,10060000000,14110000000,-7581000000,440000000,4623000000,18429000000,3984000000,2208000000,9000000,43285000000,1759000000,31280000000,18429000000,3324000000,26037000000,6116000000,45390000000,4561000000,-17236000000,576821878
2020-10-23,169.8,-1.17,-0.684331%,171.02,168.3901,173.19,"9,035,198","1,540,009,407.897400",2020-09-30,8350000000,6441000000,4303000000,4047000000,2414000000,1413000000,461000000,1805000000,63000000,1677000000,1909000000,128000000,387000000,19000000,1417000000,1413000000,-523000000,221000000,-321000000,758000000,-1337000000,-3498000000,-47000000,1768000000,5598000000,429000000,1413000000,-2540000000,-41000000,241000000,-128000000,379000000,1079000000,-128000000,42000000,-98000000,45390000000,5926000000,426000000,33510000000,11880000000,3060000000,9000000,43285000000,7003000000,13535000000,1759000000,4121000000,7410000000,-7960000000,10060000000,14110000000,-7581000000,440000000,4623000000,18429000000,3984000000,2208000000,9000000,43285000000,1759000000,31280000000,18429000000,3324000000,26037000000,6116000000,45390000000,4561000000,-17236000000,576821878
2020-10-16,170.97,1.67,+0.986415%,169.47,165.8,172.07,"8,661,726","1,464,659,587.457900",2020-09-30,8350000000,6441000000,4303000000,4047000000,2414000000,1413000000,461000000,1805000000,63000000,1677000000,1909000000,128000000,387000000,19000000,1417000000,1413000000,-523000000,221000000,-321000000,758000000,-1337000000,-3498000000,-47000000,1768000000,5598000000,429000000,1413000000,-2540000000,-41000000,241000000,-128000000,379000000,1079000000,-128000000,42000000,-98000000,45390000000,5926000000,426000000,33510000000,11880000000,3060000000,9000000,43285000000,7003000000,13535000000,1759000000,4121000000,7410000000,-7960000000,10060000000,14110000000,-7581000000,440000000,4623000000,18429000000,3984000000,2208000000,9000000,43285000000,1759000000,31280000000,18429000000,3324000000,26037000000,6116000000,45390000000,4561000000,-17236000000,576821878
2020-10-09,169.3,8.94,+5.574956%,162.25,161.76,170.48,"9,553,299","1,586,120,842.898900",2020-09-30,8350000000,6441000000,4303000000,4047000000,2414000000,1413000000,461000000,1805000000,63000000,1677000000,1909000000,128000000,387000000,19000000,1417000000,1413000000,-523000000,221000000,-321000000,758000000,-1337000000,-3498000000,-47000000,1768000000,5598000000,429000000,1413000000,-2540000000,-41000000,241000000,-128000000,379000000,1079000000,-128000000,42000000,-98000000,45390000000,5926000000,426000000,33510000000,11880000000,3060000000,9000000,43285000000,7003000000,13535000000,1759000000,4121000000,7410000000,-7960000000,10060000000,14110000000,-7581000000,440000000,4623000000,18429000000,3984000000,2208000000,9000000,43285000000,1759000000,31280000000,18429000000,3324000000,26037000000,6116000000,45390000000,4561000000,-17236000000,576821878
2020-10-02,160.36,0.09,+0.056155%,162.0,156.25,164.14,"10,939,822","1,756,458,853.450800",2020-09-30,8350000000,6441000000,4303000000,4047000000,2414000000,1413000000,461000000,1805000000,63000000,1677000000,1909000000,128000000,387000000,19000000,1417000000,1413000000,-523000000,221000000,-321000000,758000000,-1337000000,-3498000000,-47000000,1768000000,5598000000,429000000,1413000000,-2540000000,-41000000,241000000,-128000000,379000000,1079000000,-128000000,42000000,-98000000,45390000000,5926000000,426000000,33510000000,11880000000,3060000000,9000000,43285000000,7003000000,13535000000,1759000000,4121000000,7410000000,-7960000000,10060000000,14110000000,-7581000000,440000000,4623000000,18429000000,3984000000,2208000000,9000000,43285000000,1759000000,31280000000,18429000000,3324000000,26037000000,6116000000,45390000000,4561000000,-17236000000,576821878
2020-09-25,160.27,-9.28,-5.473312%,165.98,158.07,166.6699,"11,782,378","1,897,779,634.720800",2020-06-30,7176000000,1631000000,3805000000,3371000000,1629000000,1290000000,424000000,1629000000,-3000000,1594000000,1740000000,137000000,342000000,404000000,1287000000,1290000000,453000000,-76000000,577000000,503000000,-1740000000,-2509000000,-9000000,-27000000,1905000000,-255000000,492000000,-846000000,86000000,9000000,384000000,64000000,379000000,384000000,-7000000,-34000000,45079000000,6033000000,5232000000,34164000000,10857000000,4436000000,9000000,42759000000,6999000000,13360000000,1635000000,4219000000,7282000000,-37985000000,9089000000,14106000000,-8536000000,247000000,4459000000,19276000000,4168000000,2846000000,9000000,42759000000,2491000000,30973000000,19276000000,7606000000,26882000000,6074000000,45079000000,247000000,-16854000000,576019442
